Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,
Rough In - Wall Closure,,,,,,,,,,
,Scope,,,Site QA,Rough In,,,,,
,Rows,,,,,,,,,
,,GROUND FLOOR,grouping,GROUND FLOOR,,,,,,
,,FCU-G.1 - Wall Closure 1 Rough In [A],,Site QA,Rough In,GROUND FLOOR,FCU-G.1,Wall Closure 1 Rough In [A],,
,,FCU-G.2 - Wall Closure 1 Rough In [A],,Site QA,Rough In,GROUND FLOOR,FCU-G.2,Wall Closure 1 Rough In [A],,
,,FCU-G.3 - Wall Closure 1 Rough In [A],,Site QA,Rough In,GROUND FLOOR,FCU-G.3,Wall Closure 1 Rough In [A],,
,,FCU-G.4 - Wall Closure 1 Rough In [A],,Site QA,Rough In,GROUND FLOOR,FCU-G.4,Wall Closure 1 Rough In [A],,
,,FCU-G.5 - Wall Closure 1 Rough In [A],,Site QA,Rough In,GROUND FLOOR,FCU-G.5,Wall Closure 1 Rough In [A],,
,,FCU-G.6 - Wall Closure 1 Rough In [A],,Site QA,Rough In,GROUND FLOOR,FCU-G.6,Wall Closure 1 Rough In [A],,
,,FCU-G.7 - Wall Closure 1 Rough In [A],,Site QA,Rough In,GROUND FLOOR,FCU-G.7,Wall Closure 1 Rough In [A],,
,,FCU-G.8 - Wall Closure 1 Rough In [A],,Site QA,Rough In,GROUND FLOOR,FCU-G.8,Wall Closure 1 Rough In [A],,
,,FCU-G.9 - Wall Closure 1 Rough In [A],,Site QA,Rough In,GROUND FLOOR,FCU-G.9,Wall Closure 1 Rough In [A],,
,,FCU-G.10 - Wall Closure 1 Rough In [A],,Site QA,Rough In,GROUND FLOOR,FCU-G.10,Wall Closure 1 Rough In [A],,
,,FCU-G.11 - Wall Closure 1 Rough In [A],,Site QA,Rough In,GROUND FLOOR,FCU-G.11,Wall Closure 1 Rough In [A],,
,,FCU-G.12 - Wall Closure 1 Rough In [A],,Site QA,Rough In,GROUND FLOOR,FCU-G.12,Wall Closure 1 Rough In [A],,
,,FCU-G.13 - Wall Closure 1 Rough In [A],,Site QA,Rough In,GROUND FLOOR,FCU-G.13,Wall Closure 1 Rough In [A],,
,,FCU-G.14 - Wall Closure 1 Rough In [A],,Site QA,Rough In,GROUND FLOOR,FCU-G.14,Wall Closure 1 Rough In [A],,
,,FCU-G.15 - Wall Closure 1 Rough In [A],,Site QA,Rough In,GROUND FLOOR,FCU-G.15,Wall Closure 1 Rough In [A],,
,,ERV-G.1 - Wall Closure 1 Rough In [A],,Site QA,Rough In,GROUND FLOOR,ERV-G.1,Wall Closure 1 Rough In [A],,
,,BUILDING A,grouping,BUILDING A,,,,,,
,,Ground Level - A0-01 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Ground Level,Apartment Wall Closure,A0-01,Wall Closure 1 Rough In [A]
,,Ground Level - A0-02 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Ground Level,Apartment Wall Closure,A0-02,Wall Closure 1 Rough In [A]
,,Ground Level - A0-03 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Ground Level,Apartment Wall Closure,A0-03,Wall Closure 1 Rough In [A]
,,Ground Level - A0-04 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Ground Level,Apartment Wall Closure,A0-04,Wall Closure 1 Rough In [A]
,,Ground Level - A0-05 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Ground Level,Apartment Wall Closure,A0-05,Wall Closure 1 Rough In [A]
,,Ground Level - A0-06 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Ground Level,Apartment Wall Closure,A0-06,Wall Closure 1 Rough In [A]
,,Ground Level - A0-07 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Ground Level,Apartment Wall Closure,A0-07,Wall Closure 1 Rough In [A]
,,Ground Level - A0-08 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Ground Level,Apartment Wall Closure,A0-08,Wall Closure 1 Rough In [A]
,,Ground Level - A0-09 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Ground Level,Apartment Wall Closure,A0-09,Wall Closure 1 Rough In [A]
,,Ground Level - A0-10 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Ground Level,Apartment Wall Closure,A0-10,Wall Closure 1 Rough In [A]
,,Level 1 - A1-01 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Level 1,Apartment Wall Closure,A1-01,Wall Closure 1 Rough In [A]
,,Level 1 - A1-02 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Level 1,Apartment Wall Closure,A1-02,Wall Closure 1 Rough In [A]
,,Level 1 - A1-03 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Level 1,Apartment Wall Closure,A1-03,Wall Closure 1 Rough In [A]
,,Level 1 - A1-04 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Level 1,Apartment Wall Closure,A1-04,Wall Closure 1 Rough In [A]
,,Level 1 - A1-05 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Level 1,Apartment Wall Closure,A1-05,Wall Closure 1 Rough In [A]
,,Level 1 - A1-06 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Level 1,Apartment Wall Closure,A1-06,Wall Closure 1 Rough In [A]
,,Level 1 - A1-07 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Level 1,Apartment Wall Closure,A1-07,Wall Closure 1 Rough In [A]
,,Level 1 - A1-08 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Level 1,Apartment Wall Closure,A1-08,Wall Closure 1 Rough In [A]
,,Level 1 - A1-09 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Level 1,Apartment Wall Closure,A1-09,Wall Closure 1 Rough In [A]
,,Level 1 - A1-10 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Level 1,Apartment Wall Closure,A1-10,Wall Closure 1 Rough In [A]
,,Level 2 - A2-01 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Level 2,Apartment Wall Closure,A2-01,Wall Closure 1 Rough In [A]
,,Level 2 - A2-02 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Level 2,Apartment Wall Closure,A2-02,Wall Closure 1 Rough In [A]
,,Level 2 - A2-03 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Level 2,Apartment Wall Closure,A2-03,Wall Closure 1 Rough In [A]
,,Level 2 - A2-04 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Level 2,Apartment Wall Closure,A2-04,Wall Closure 1 Rough In [A]
,,Level 2 - A2-05 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Level 2,Apartment Wall Closure,A2-05,Wall Closure 1 Rough In [A]
,,Level 2 - A2-06 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Level 2,Apartment Wall Closure,A2-06,Wall Closure 1 Rough In [A]
,,Level 3 - A3-01 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Level 3,Apartment Wall Closure,A3-01,Wall Closure 1 Rough In [A]
,,Level 3 - A3-02 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Level 3,Apartment Wall Closure,A3-02,Wall Closure 1 Rough In [A]
,,Level 3 - A3-03 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Level 3,Apartment Wall Closure,A3-03,Wall Closure 1 Rough In [A]
,,Level 3 - A3-04 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Level 3,Apartment Wall Closure,A3-04,Wall Closure 1 Rough In [A]
,,Level 3 - A3-05 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Level 3,Apartment Wall Closure,A3-05,Wall Closure 1 Rough In [A]
,,Level 3 - A3-06 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Level 3,Apartment Wall Closure,A3-06,Wall Closure 1 Rough In [A]
,,Level 4 - A4-01 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Level 4,Apartment Wall Closure,A4-01,Wall Closure 1 Rough In [A]
,,Level 4 - A4-02 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Level 4,Apartment Wall Closure,A4-02,Wall Closure 1 Rough In [A]
,,Level 4 - A4-03 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Level 4,Apartment Wall Closure,A4-03,Wall Closure 1 Rough In [A]
,,Level 4 - A4-04 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Level 4,Apartment Wall Closure,A4-04,Wall Closure 1 Rough In [A]
,,Level 5 - A5-01 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Level 5,Apartment Wall Closure,A5-01,Wall Closure 1 Rough In [A]
,,Level 5 - A4-01 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Level 5,Apartment Wall Closure,A4-01,Wall Closure 1 Rough In [A]
,,Level 5 - A4-03 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Level 5,Apartment Wall Closure,A4-03,Wall Closure 1 Rough In [A]
,,Level 5 - A4-04 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING A,Level 5,Apartment Wall Closure,A4-04,Wall Closure 1 Rough In [A]
,,BUILDING B,grouping,BUILDING B,,,,,,
,,Ground Level - B0-01 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING B,Ground Level,Apartment Wall Closure,B0-01,Wall Closure 1 Rough In [A]
,,Ground Level - B0-02 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING B,Ground Level,Apartment Wall Closure,B0-02,Wall Closure 1 Rough In [A]
,,Ground Level - B0-03 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING B,Ground Level,Apartment Wall Closure,B0-03,Wall Closure 1 Rough In [A]
,,Ground Level - B0-04 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING B,Ground Level,Apartment Wall Closure,B0-04,Wall Closure 1 Rough In [A]
,,Ground Level - B0-05 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING B,Ground Level,Apartment Wall Closure,B0-05,Wall Closure 1 Rough In [A]
,,Ground Level - B0-06 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING B,Ground Level,Apartment Wall Closure,B0-06,Wall Closure 1 Rough In [A]
,,Ground Level - B0-07 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING B,Ground Level,Apartment Wall Closure,B0-07,Wall Closure 1 Rough In [A]
,,Ground Level - B0-08 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING B,Ground Level,Apartment Wall Closure,B0-08,Wall Closure 1 Rough In [A]
,,Ground Level - B0-09 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING B,Ground Level,Apartment Wall Closure,B0-09,Wall Closure 1 Rough In [A]
,,Level 1 - B0-01 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING B,Level 1,Apartment Wall Closure,B0-01,Wall Closure 1 Rough In [A]
,,Level 1 - B0-02 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING B,Level 1,Apartment Wall Closure,B0-02,Wall Closure 1 Rough In [A]
,,Level 1 - B0-03 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING B,Level 1,Apartment Wall Closure,B0-03,Wall Closure 1 Rough In [A]
,,Level 1 - B0-04 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING B,Level 1,Apartment Wall Closure,B0-04,Wall Closure 1 Rough In [A]
,,Level 1 - B0-05 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING B,Level 1,Apartment Wall Closure,B0-05,Wall Closure 1 Rough In [A]
,,Level 1 - B0-06 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING B,Level 1,Apartment Wall Closure,B0-06,Wall Closure 1 Rough In [A]
,,Level 1 - B0-07 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING B,Level 1,Apartment Wall Closure,B0-07,Wall Closure 1 Rough In [A]
,,Level 1 - B0-08 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING B,Level 1,Apartment Wall Closure,B0-08,Wall Closure 1 Rough In [A]
,,Level 1 - B0-09 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING B,Level 1,Apartment Wall Closure,B0-09,Wall Closure 1 Rough In [A]
,,Level 1 - FCU-L1.3 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING B,Level 1,Library Wall Closure,FCU-L1.3,Wall Closure 1 Rough In [A]
,,Level 1 - FCU-L1.1 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING B,Level 1,Lobby Wall Closure,FCU-L1.1,Wall Closure 1 Rough In [A]
,,Level 1 - FCU-L1.2 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING B,Level 1,Lobby Wall Closure,FCU-L1.2,Wall Closure 1 Rough In [A]
,,Level 2 - B2-01 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING B,Level 2,Apartment Wall Closure,B2-01,Wall Closure 1 Rough In [A]
,,Level 2 - B2-02 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING B,Level 2,Apartment Wall Closure,B2-02,Wall Closure 1 Rough In [A]
,,Level 2 - B2-03 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING B,Level 2,Apartment Wall Closure,B2-03,Wall Closure 1 Rough In [A]
,,Level 2 - B2-04 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING B,Level 2,Apartment Wall Closure,B2-04,Wall Closure 1 Rough In [A]
,,Level 2 - B2-05 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING B,Level 2,Apartment Wall Closure,B2-05,Wall Closure 1 Rough In [A]
,,Level 2 - B2-06 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING B,Level 2,Apartment Wall Closure,B2-06,Wall Closure 1 Rough In [A]
,,Level 2 - B2-07 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING B,Level 2,Apartment Wall Closure,B2-07,Wall Closure 1 Rough In [A]
,,Level 2 - B2-08 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING B,Level 2,Apartment Wall Closure,B2-08,Wall Closure 1 Rough In [A]
,,Level 2 - B2-09 - Wall Closure 1 Rough In [A],,Site QA,Rough In,BUILDING B,Level 2,Apartment Wall Closure,B2-09,Wall Closure 1 Rough In [A]
