Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Public Lighting and ITS [Intelligent Transport System] - Lot Register,,,,,,
,Scope,,,site qa,public lighting and its [intelligent transport system],
,Rows,,,,,
,,McGregor Road North,dynamic,public lighting and its [intelligent transport system],mcgregor rd - north,site qa
,,McGregor Road South,dynamic,public lighting and its [intelligent transport system],mcgregor rd - south,site qa
,,HKWRR North,dynamic,public lighting and its [intelligent transport system],hkwrr north,site qa
,,HKWRR South,dynamic,public lighting and its [intelligent transport system],site qa,hkwrr south
,Columns,,,,,
,,Lot Map,Lot map,1.1.1 - lot map,1.0 pre-start activities,
,,Enviromental Permit,Environmental permit,1.1.2 - environmental permit,1.0 pre-start activities,
,,NCR,NCR raised?,8.0 Work Lot Close Out ,lot conformance,
,,Lot Status,Lot Status,8.0 Work Lot Close Out ,lot conformance,
,,Lot Opened On,Lot opened date:,8.0 Work Lot Close Out ,lot conformance,
,,Lot Opened By,Lot opened by:,8.0 Work Lot Close Out ,lot conformance,
,,Comments,Comments,8.0 Work Lot Close Out ,lot conformance,
