QUALITY MANAGEMENT SYSTEM  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSPECTION AND TEST PLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:,,,Bourke Street Zetland,Inspector,,Authorised by Client:,,,,,,,,,,,,,,,,,,,,,,,,,,Prepared by:        Daniel Wade 
BUILDER:,,,Binah ,X:  Inspection,Pre-Con,Revision:,,A,Ref : ,,,,,,,,,,,,,,,,,,,,,,,
ITP No.,,,ITP-J282,H: Hold Point,Rough-in ,Date:,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction Process: ,,,MECH,W: Witness Point,Fit-off ,Supervisor Name  ,,,Daniel Wade ,,,,,,,,,,,,,,,,,,,,,,,
Criteria ,Pre-Con,Pre-Con,Pre-Con,Pre-Con,,Rough-in ,,Rough-in ,Rough-in ,Rough-in ,Rough-in ,Rough-in ,,,Rough-in ,Rough-in ,,Fit-off ,Fit-off ,Fit-off ,Fit-off ,Fit-off ,Fit-off ,,Fit-off ,Fit-off ,Fit-off ,Fit-off ,,,,
Apt No ,Unit No. ,Safety Induction ,Drawings Approved ,Site Inspection ,"Hold Point, Sup Sign & Date ",Check Material ,Install FCUs,Install Fans,Install Pipework ,"Install Cabling, Controls Etc  ",Install Flexible Ducts ,Install Drains and test ,"Fire Boxes/Collars/Dampers Installed, Photos Taken  ",Install Flat Pack Duct ,Access Panels Marked ,Pressure Testing ,"Hold Point, Sup Sign & Date ",Check Pressure ,Install Condensers ,Terminate Drain ,Terminate Power and Controller,Install Grilles ,Pressure test ,Vacuum  system ,Access To Equipment Checked ,Commission, Model No, Serial No. ,Subcontractor Sign-off Supervisor/Date ,Head Contract Sign-off ,Client Sign-off ,Notes 
Builder/Client Inspection Points ,×,×,×,×,,,,,,,,,,,,×,,,,,,,,,,,,,,,,
Ground Floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.01,AC-G.01-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-G.01-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0121SPHY-E,,,,,
,CU-G.01,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
G.02,AC-G.02-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-G.02-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0121SPHY-E,,,,,
,CU-G.02,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
G.03,AC-G.03-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-G.03-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-G.03,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
G.04,AC-G.04-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-G.04-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-G.04,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
G.05,AC-G.05-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-G.05-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0121SPHY-E,,,,,
,CU-G.05,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
G.06,AC-G.06-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-G.06-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0121SPHY-E,,,,,
,CU-G.06,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
G.07,AC-G.07-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
