Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,
c6971a4b-852e-5fa2-aa31-2c4c904add97,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL4 M-14 11/10,Post Pour,Mill certificate attached
1001c012-1f66-54c1-90c8-3bbbe458e63f,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL4 M-15 12/10,Post Pour,Mill certificate attached
12f52cd1-18fb-55bd-bb6a-36f05a4a32c9,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL4 M-16 12/10,Post Pour,Mill certificate attached
7e345012-88db-5485-a12a-96ca9d8c321d,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL4 M-17 12/10,Post Pour,Mill certificate attached
4543dbda-c805-5617-ac1a-aa6531a4ff19,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL4 M-18 12/10,Post Pour,Mill certificate attached
182400f1-15b9-53b8-ae13-6f347b6e236f,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL4 M -19 13/10,Post Pour,Mill certificate attached
9126d5d7-c073-56ef-bcc1-c4e6ee629423,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL4 M-20 13/10,Post Pour,Mill certificate attached
f89d5239-7d0f-56ba-bf43-ba79bbb6b28e,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL4 M-21 14/10,Post Pour,Mill certificate attached
7e2e63b6-00ad-56fd-9752-d7ab2cb17a9c,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL4 M- 22 14/10,Post Pour,Mill certificate attached
63cfb0ab-7db9-594a-bb69-a25a4514442f,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL4 M-23 16/10,Post Pour,Mill certificate attached
a37ef791-8677-57c0-b958-a0b1388121dc,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL4 M-24 16/10,Post Pour,Mill certificate attached
76e60eec-0794-5ff0-9cda-5bb70a76aab4,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL4 M-25 17/10,Post Pour,Mill certificate attached
62ca5993-dbb6-546c-b6d4-aae0599bb049,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL4-M 26 17/10,Post Pour,Mill certificate attached
8c526ef1-dc37-5f57-9bc7-8c7155db4d07,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL4-M 27 17/10,Post Pour,Mill certificate attached
f1d3a8ad-e94d-51cd-a5c8-fd60b89b9258,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL4-M 28 17/10,Post Pour,Mill certificate attached
64a3b65e-ea0a-5cba-b5da-0032344e967b,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL4-M 29 18/10,Post Pour,Mill certificate attached
99a1ab6d-086d-5dab-a86d-1993c96f2827,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL4-M 30 18/10,Post Pour,Mill certificate attached
6c78ecd3-fd9f-5899-ad50-5e3cb9b841f2,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL4-M 31 18/10,Post Pour,Mill certificate attached
94ff3ab7-9423-51f3-8caf-84704194165e,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL4-M 32 18/10,Post Pour,Mill certificate attached
6e3411ea-d3d8-5b59-8986-4aa09eac6494,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL4 M-33 19/10,Post Pour,Mill certificate attached
9503178f-00e8-5073-a97b-56174be31bf8,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL4 M-34 19/10,Post Pour,Mill certificate attached
1f39e4f5-0b1f-54f6-99ca-2868c437ae18,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL-4 M 35 24/10,Post Pour,Mill certificate attached
fabfb326-da47-5b6a-b949-c2083fcb8516,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL-4 M 36 24/10,Post Pour,Mill certificate attached
93094d5c-ff79-5cd4-8e1e-4a089b3d162e,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL4-M 37 25/10,Post Pour,Mill certificate attached
2b0ef82b-98f6-557a-a646-9761eacaeb66,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL4-M 38 25/10,Post Pour,Mill certificate attached
c89f9a1c-09ce-55e2-93f4-d828f31c75a6,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL-4 M 39 26/10,Post Pour,Mill certificate attached
bf33c52f-c72e-5327-85ce-9b279fec4a5f,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL-4 M 40 26/10,Post Pour,Mill certificate attached
81253545-cb4f-5aa4-bb89-ff985f0605be,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL-4 M 41 27/10,Post Pour,Mill certificate attached
08994cf5-7f26-5f1a-9525-a9c99312d52c,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL-4 M 42 27/10,Post Pour,Mill certificate attached
efc03799-92ee-5d07-b360-cfe0892f9826,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL-4 M 43 31/10,Post Pour,Mill certificate attached
02242764-174f-58da-9390-0a1518ee4164,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median 6m,TL-4 M 44 2/11,Post Pour,Mill certificate attached
5846e5fc-0ca5-5753-b779-0a3ba387d8bd,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 Median (3 meter) 1/11,Post Pour,Mill certificate attached,
abd6ab17-34ae-553b-8887-bee14de1d648,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 6M,TL4 6m - 01 16/11,Post Pour,Mill certificate attached
13c12487-4959-516b-a385-95b8890c04bf,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 6M,TL4 6m - 02 17/11,Post Pour,Mill certificate attached
01886f9e-fc1d-5cac-a0ba-24cea03f53aa,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 6M,TL4 6m-03 20/11,Post Pour,Mill certificate attached
69617434-825f-5ff3-8339-61c6e6ce5d4d,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 6M,TL4 6m-04 21/11,Post Pour,Mill certificate attached
0d36f705-153e-57f2-91f6-6f8666b6f663,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 6M,TL4 6m-05 21/11,Post Pour,Mill certificate attached
cfb970c7-ee62-5f50-a6ba-34b32e63f523,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 6M,TL4 6M -06 22/11,Post Pour,Mill certificate attached
a55fdb4a-1a6f-5f56-be05-f7c6b38495a4,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 6M,TL4 6M -07 22/11,Post Pour,Mill certificate attached
04f0fdcc-8b25-53a0-bd5f-96e36f93c872,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 6M,TL4 6M-08 23/11,Post Pour,Mill certificate attached
0a9391ca-380e-5642-8927-1cd1e32e879c,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 6M,TL4 6M-09 23/11,Post Pour,Mill certificate attached
bf24063e-a70a-5c40-b106-450bde94426a,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 6M,TL4 6M-10 24/11,Post Pour,Mill certificate attached
1c0e2262-84ea-5af8-8b1d-ddbe45214b1f,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 6M,TL4 6M-11 24/11,Post Pour,Mill certificate attached
47fe9c3c-9bcf-58ce-8a98-0aeaa16b78ba,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 6M,TL4 6M-12  27/11,Post Pour,Mill certificate attached
