Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,
Manufacture QA Progress,,,,,,,
,Scope,,,manufacture qa,,,
,Rows,,,,,,
,,Podium,grouping,podium,,,
,,Level 2 Panel,dynamic,panel,manufacture qa,level 2,podium
,,Level 3 Balustrade,dynamic,balustrade,manufacture qa,podium,level 3
,,Level 3 Panel,dynamic,panel,manufacture qa,podium,level 3
,,Level 4 Balustrade,dynamic,level 4,balustrade,manufacture qa,podium
,,Level 4 Panel,dynamic,level 4,panel,manufacture qa,podium
,,Tower 1,grouping,tower 1,,,
,,Level 5 Balustrade,dynamic,balustrade,level 5,tower 1,manufacture qa
,,Level 5 Panel,dynamic,level 5,tower 1,panel,manufacture qa
,,Level 6 Panel,dynamic,level 6,tower 1,panel,manufacture qa
,,Level 7 Panel,dynamic,level 7,tower 1,panel,manufacture qa
,,Level 8 Panel,dynamic,tower 1,level 8,panel,manufacture qa
,,Level 9 Panel,dynamic,tower 1,panel,manufacture qa,level 9
,,Level 10 Panel,dynamic,level 10,tower 1,panel,manufacture qa
,,Level 11 Panel,dynamic,tower 1,panel,manufacture qa,level 11
,,Level 12 Panel,dynamic,tower 1,level 12,panel,manufacture qa
,,Level 13 Panel,dynamic,tower 1,panel,manufacture qa,level 13
,,Level 14 Panel,dynamic,tower 1,panel,manufacture qa,level 14
,,Level 15 Panel,dynamic,level 15,tower 1,panel,manufacture qa
,,Level 16 Panel,dynamic,level 16,tower 1,panel,manufacture qa
,,Level 17 Panel,dynamic,level 17,tower 1,panel,manufacture qa
,,Level 18 Panel,dynamic,level 18,tower 1,panel,manufacture qa
,,Level 19 Panel,dynamic,level 19,tower 1,panel,manufacture qa
,,Tower 2,grouping,tower 2,,,
,,Level 5 Balustrade,dynamic,balustrade,level 5,tower 2,manufacture qa
,,Level 5 Panel,dynamic,level 5,tower 2,panel,manufacture qa
,,Level 6 Panel,dynamic,level 6,tower 2,panel,manufacture qa
,,Level 7 Panel,dynamic,tower 2,level 7,panel,manufacture qa
,,Level 8 Panel,dynamic,tower 2,level 8,panel,manufacture qa
,,Level 9 Panel,dynamic,tower 2,panel,manufacture qa,level 9
,,Level 10 Panel,dynamic,tower 2,level 10,panel,manufacture qa
,,Level 11 Panel,dynamic,tower 2,panel,manufacture qa,level 11
,,Level 12 Panel,dynamic,tower 2,level 12,panel,manufacture qa
,,Level 13 Panel,dynamic,tower 2,panel,manufacture qa,level 13
,,Level 14 Panel,dynamic,tower 2,panel,manufacture qa,level 14
,,Level 15 Panel,dynamic,level 15,tower 2,panel,manufacture qa
,,Level 16 Panel,dynamic,level 16,tower 2,panel,manufacture qa
,,Level 17 Panel,dynamic,level 17,tower 2,panel,manufacture qa
,,Level 18 Panel,dynamic,level 18,tower 2,panel,manufacture qa
,,Level 19 Panel,dynamic,level 19,tower 2,panel,manufacture qa
,Columns,,,,,,
,,Manufacturing Documents,,manufacturing documents,,,
,,Pre-Pour Checks,,pre-pour checks,,,
,,Concrete Pour Checks,,concrete pour checks,,,
,,Post-Pour / Pre Delivery Checks,,post-pour / pre delivery checks,,,
,,Concrete Test Results,,concrete test results,,,
,,,,,,,
Installation QA Progress,,,,,,,
,Scope,,,installation qa,,,
,Rows,,,,,,
,,Podium,grouping,podium,,,
,,Level 2 Panel,dynamic,panel,installation qa,level 2,podium
,,Level 2 Balustrade,dynamic,balustrade,installation qa,level 2,podium
,,Level 3 Balustrade,dynamic,balustrade,installation qa,podium,level 3
,,Level 3 Panel,dynamic,panel,installation qa,podium,level 3
,,Level 4 Balustrade,dynamic,level 4,balustrade,installation qa,podium
,,Level 4 Panel,dynamic,level 4,panel,installation qa,podium
,,Tower 1,grouping,tower 1,,,
,,Level 5 Balustrade,dynamic,level 5,balustrade,tower 1,installation qa
,,Level 5 Panel,dynamic,level 5,tower 1,panel,installation qa
,,Level 6 Panel,dynamic,level 6,tower 1,panel,installation qa
,,Level 7 Panel,dynamic,level 7,tower 1,panel,installation qa
,,Level 8 Panel,dynamic,tower 1,level 8,panel,installation qa
,,Level 9 Panel,dynamic,tower 1,panel,level 9,installation qa
,,Level 10 Panel,dynamic,level 10,tower 1,panel,installation qa
,,Level 11 Panel,dynamic,tower 1,panel,level 11,installation qa
,,Level 12 Panel,dynamic,tower 1,level 12,panel,installation qa
,,Level 13 Panel,dynamic,tower 1,panel,installation qa,level 13
,,Level 14 Panel,dynamic,tower 1,panel,installation qa,level 14
,,Level 15 Panel,dynamic,level 15,tower 1,panel,installation qa
,,Level 16 Panel,dynamic,level 16,tower 1,panel,installation qa
,,Level 17 Panel,dynamic,level 17,tower 1,panel,installation qa
,,Level 18 Panel,dynamic,level 18,tower 1,panel,installation qa
,,Level 19 Panel,dynamic,level 19,tower 1,panel,installation qa
,,Tower 2,grouping,tower 2,,,
,,Level 5 Balustrade,dynamic,balustrade,level 5,tower 2,installation qa
,,Level 5 Panel,dynamic,level 5,tower 2,panel,installation qa
,,Level 6 Panel,dynamic,level 6,tower 2,panel,installation qa
,,Level 7 Panel,dynamic,tower 2,level 7,panel,installation qa
,,Level 8 Panel,dynamic,tower 2,level 8,panel,installation qa
,,Level 9 Panel,dynamic,tower 2,panel,level 9,installation qa
,,Level 10 Panel,dynamic,tower 2,level 10,panel,installation qa
,,Level 11 Panel,dynamic,tower 2,panel,level 11,installation qa
,,Level 12 Panel,dynamic,tower 2,level 12,panel,installation qa
,,Level 13 Panel,dynamic,tower 2,panel,installation qa,level 13
,,Level 14 Panel,dynamic,tower 2,panel,installation qa,level 14
,,Level 15 Panel,dynamic,level 15,tower 2,panel,installation qa
,,Level 16 Panel,dynamic,level 16,tower 2,panel,installation qa
,,Level 17 Panel,dynamic,level 17,tower 2,panel,installation qa
,,Level 18 Panel,dynamic,level 18,tower 2,panel,installation qa
,,Level 19 Panel,dynamic,level 19,tower 2,panel,installation qa
