type,name,values,prefix,postfix,usage count,user addable,template name,
checklist,DS2672-ITP-S106 - Piling First Pile Hold Points - Rev 1,itp,,,,,DS2672-ITP-S106 - Piling First Pile Hold Points - Rev 1,
section,7.07 First Pile at Every Structure,,,,,,,
checkpoint,7.07.01 - Inspection of any Reinforcement Cage Extension,,,,,,,
note,Acceptance / Conformance Criteria - Designer inspection of reinforcement cage extensions for the first pile at every structure with the Opportunity to inspect (at random for subsequent piles at the same structure).,,,,,,,
note,Standard / Specification - 51/33669 - 9.4,,,,,,,
note,Verifying Document - Reinforcement Cage Inspection Record,,,,,,,
note,Frequency - First pile at every structure with the Opportunity to inspect remainder,,,,,,,
note,Activity - HP,,,,,,,
note,By - ENG,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint,7.07.02 - Inspection of Reinforcement Cages Prior to Installation,,,,,,,
note,Acceptance / Conformance Criteria - Designer inspection of the reinforcement cage for the first pile at every structure with the Opportunity to inspect (at random for subsequent piles at the same structure).,,,,,,,
note,Standard / Specification - 51/33669 - 9.4,,,,,,,
note,Verifying Document - Reinforcement Cage Inspection Record,,,,,,,
note,Frequency - First pile at every structure with the Opportunity to inspect remainder,,,,,,,
note,Activity - HP,,,,,,,
note,By - ENG,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint,7.07.03 - Concreting of Piles,,,,,,,
note,Acceptance / Conformance Criteria - Designer inspection of concreting for the first pile at every structure with the Opportunity to inspect (at random for subsequent piles at the same structure).,,,,,,,
note,Standard / Specification - 51/33669 - 9.4,,,,,,,
note,Verifying Document - Pile Construction Record Card,,,,,,,
note,Frequency - First pile at every structure with the Opportunity to inspect remainder,,,,,,,
note,Activity - HP,,,,,,,
note,By - ENG,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint,7.07.08 - Pile Head Initial Inspection,,,,,,,
note,Acceptance / Conformance Criteria - Designer inspection of the pile head prior to incorporation into the connecting structure for the first pile at every structure with the Opportunity to inspect (at random for subsequent piles at the same structure),,,,,,,
note,Standard / Specification - 51/33669 - 9.4,,,,,,,
note,Verifying Document - Hold Point Release,,,,,,,
note,Frequency - First pile at every structure,,,,,,,
note,Activity - HP,,,,,,,
note,By - ENG,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
