"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ba06ee12-eb39-4429-a97f-38c4f88371e1","","fail","","folder","TRUE","FALSE","Zone 5"
"bc086b57-bbae-42a5-acb0-cf1366686e62","","fail","","folder","TRUE","FALSE","Zone 5","G"
"964144aa-0fbf-4c2d-8b4f-aab9d903b788","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-656"
"af4a6db2-a377-4f19-9562-18eb26f571b1","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-657"
"5df70d69-d75f-41bf-9f0b-d16be21cd835","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-658"
"84362e4d-77b6-411c-b8ad-e0616975cd56","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-660"
"c1a16115-cc91-45b4-b527-6e17ca5652e7","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-665"
"f387e9f5-8eb0-47a0-a0f1-d893dca8ad9b","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-683"
"b5c0cfc4-d8b6-4b78-b790-99efe4c00116","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-679"
"66c314fe-01bf-42c9-a223-d34c4df4c470","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-680"
"5ce7f9dd-c30d-4c37-b42d-323c9dc8e2c8","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-681"
"fd6b6b7d-c963-4bb1-abd8-4059dacca4aa","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-682"
"6e735d79-f807-49f6-bc48-cef72573be19","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-684"
"ee1a8bd8-71e8-4ac2-91e1-4ac3c73ca82d","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-685"
"9bc21b1a-d9b4-40a4-b436-c27b154c01d3","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-686"
"c0f3ce0d-e146-4211-9fc4-c50bdf5c2315","","work-in-progress","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-687"
"694473cd-01e3-4490-9f22-6eeb499d91c9","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-691"
"9d393405-1eaa-4a53-a4ec-6045f00d6d1e","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-692"
"21d5c161-6487-40c4-8caf-cea8f6dd7d16","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-693"
"50a115e6-13a7-4464-9985-aad844c353e3","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-696"
"8bacef5e-82ca-4181-8b0b-00ce7f8c1470","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-697"
"f32f0c38-f1e6-4063-a4f5-15a2107cc06d","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-698"
"1e0aa50d-7276-41c5-aea0-112280f7d5f0","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-699"
"010392b7-43a3-4f24-90dc-1afa87de9387","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-700"
"0689ea53-0077-40c0-bb2f-ada7d808d67e","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-705"
"e734780a-74e3-4077-b030-22976463d7b3","","not-started","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-706"
"f5e097ed-eabf-44f9-aab4-4c94a2750acb","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-707"
"5784b678-5bb4-4f7e-a6cc-79dd06d2ab53","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-708"
"6d15d6e1-eeea-4090-bf67-fc2c790711fb","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-736"
"dd844a4f-f59e-43ac-bf74-747320342c7b","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-740"
"644b4654-e29a-4163-96f5-a7de6bec6950","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-741"
"c98ec6b9-75f0-49b3-a91b-c9d94b8c528d","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-742"
"6bf37926-3928-46e8-a566-b6997fae865f","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-743"
"e9d52f08-4df1-4600-aa1d-ddcaf201060e","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-745"
"128547ae-b83e-4514-b088-71804ac5ddeb","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-746"
"b1b35bd3-f154-4888-8d3d-81650f107e12","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-747"
"f04fd7f9-0f6b-4009-a672-5da2a9bd886f","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-748"
