type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,ITP - Stainless Steel Pipe Site Welding,itp,,,,,ITP - Stainless Steel Pipe Site Welding,
section,Details,,,,,,,
checkpoint,Inspect all pipe & fittings are correct to job requirements and no signs of damage,,,,,,,
label,Quality: Hold Point - W,,,,,,,
label,Quality: Sign - LS,,,,,,,
label,Quality: Witness - AG,,,,,,,
checkpoint,Inspect all pipe & fittings are correct to job requirements and no signs of damage,,,,,,,
label,Quality: Sign - AK,,,,,,,
checkpoint,Familiarise yourself with the job,,,,,,,
label,Quality: Sign - AK,,,,,,,
checkpoint,"Setup worksite, welding equipment & rollers",,,,,,,
label,Quality: Sign - AK,,,,,,,
checkpoint,Load length into rollers,,,,,,,
label,Quality: Sign - AK,,,,,,,
checkpoint,Bevel pipe ends,,,,,,,
label,Quality: Sign - AK,,,,,,,
checkpoint,Tack weld 6m lengths into instructed lengths,,,,,,,
label,Quality: Sign - AK,,,,,,,
label,Quality: ID - AK1,,,,,,,
checkpoint,Check for straightness alignment,,,,,,,
label,Quality: Hold Point - C,,,,,,,
label,Quality: Sign - AK,,,,,,,
label,Quality: Witness - AG,,,,,,,
checkpoint,Setup purge baloons & purge with nitrogen,,,,,,,
label,Quality: Hold Point - C,,,,,,,
label,Quality: Sign - AK,,,,,,,
label,Quality: Witness - AG,,,,,,,
checkpoint,Peform butt welds,,,,,,,
label,Quality: Sign - AK,,,,,,,
label,Quality: ID - AK1,,,,,,,
checkpoint,Tack flanges on spool lengths & check for square,,,,,,,
label,Quality: Hold Point - C,,,,,,,
label,Quality: Sign - AK,,,,,,,
label,Quality: ID - AK1,,,,,,,
label,Quality: Witness - AG,,,,,,,
checkpoint,Weld flanges on ends,,,,,,,
label,Quality: Sign - AK,,,,,,,
label,Quality: ID - AK1,,,,,,,
checkpoint,Passivate all welds,,,,,,,
label,Quality: Sign - AK,,,,,,,
checkpoint,Remove from rollers and move to lay down area,,,,,,,
label,Quality: Sign - AK,,,,,,,
checkpoint,Final inspection,,,,,,,
label,Quality: Hold Point - H,,,,,,,
label,Quality: Sign - AG,,,,,,,
label,Quality: Witness - LS,,,,,,,
holdpoint,HOLD POINT,,,,,,,
