"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"679e2ceb-3c34-4608-aad1-2f0451768dff","","work-in-progress","","folder","TRUE","FALSE","Zone 1"
"6d187910-42d4-474e-b2a6-5394e3b5947b","","work-in-progress","QA - Brickwork Level 0","checklist","FALSE","FALSE","Zone 1","Level 0"
"ac4b7954-621f-4ecc-a9af-89ab93ce502a","","not-started","QA - Brickwork Level 1","checklist","FALSE","FALSE","Zone 1","Level 1"
"3d267ac1-73eb-4df6-ab56-7c86e5f3e4e1","","not-started","","folder","TRUE","FALSE","Zone 2"
"1118d9f9-3474-47d8-a0e8-ad13d1d3a8ef","","not-started","QA - Brickwork Level 0","checklist","FALSE","FALSE","Zone 2","Level 0"
"d6575602-3b61-49c5-83e0-ac820bc363a4","","not-started","QA - Brickwork Level 1","checklist","FALSE","FALSE","Zone 2","Level 1"
"ed9560b7-ebcc-493b-bc62-0499041bc939","","not-started","QA - Brickwork Level 1","checklist","FALSE","FALSE","Zone 2","Level 2"
"c37b68ab-16ae-4221-96f3-9b7a9f4558a7","","not-started","","folder","TRUE","FALSE","Zone 3"
"b5cd0fae-c644-43c9-bda3-813b5bcc22a8","","not-started","QA - Brickwork Zone 3 Level 0","checklist","FALSE","FALSE","Zone 3","Level 0"
"03b36589-11cd-46e3-86cd-ac1d7e0ea6aa","","not-started","QA - Brickwork Zone 3 Level 1","checklist","FALSE","FALSE","Zone 3","Level 1"
"f3a6a85b-cd7d-475b-a42d-003a93a383a7","","not-started","QA - Brickwork Zone 3 Level 2","checklist","FALSE","FALSE","Zone 3","Level 2"
