"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"93ac8164-2b06-49a2-95ff-6d45e48d9258","","pass","","folder","TRUE","FALSE","Basement "
"6e5ae90a-ab81-4df9-888e-f19a0f484eca","","pass","","folder","TRUE","FALSE","Basement ","Level 1"
"6c31109d-fea5-43ba-aee5-fddaab1eac98","","pass","","folder","TRUE","FALSE","Basement ","Level 1","Zone 1"
"65375d9b-e631-457d-903c-5b068d0a9923","","pass","QA - Blocklaying","checklist","FALSE","FALSE","Basement ","Level 1","Zone 1","QA - Blocklaying"
"8b686273-8c67-4e0e-9d15-f1119756059e","","pass","","folder","TRUE","FALSE","Basement ","Level 1","Zone 4"
"288d0019-dfa8-4b16-8180-69f8c035d5ce","","pass","QA - Blocklaying","checklist","FALSE","FALSE","Basement ","Level 1","Zone 4","QA - Blocklaying"
"c15584d1-5fb4-4dc3-afe9-3a7b9ef29b70","","pass","","folder","TRUE","FALSE","Basement ","Level 2"
"3cbebe09-bcea-47a3-9b3d-843a69d6d5a3","","pass","","folder","FALSE","FALSE","Basement ","Level 2","Zone 1"
"1103cc02-dcea-4929-9faf-7ddb9387212f","","pass","QA - Blocklaying","checklist","FALSE","FALSE","Basement ","Level 2","Zone 1","QA - Blocklaying"
"e1c28844-afca-4458-b164-7a6f8656cb69","","pass","","folder","FALSE","FALSE","Basement ","Level 2","Zone 2"
"0eb73c0f-18f2-4efb-9038-1d3328df507a","","pass","QA - Blocklaying","checklist","FALSE","FALSE","Basement ","Level 2","Zone 2","QA - Blocklaying"
"e926d2dc-d122-4ad8-a22e-8ef0174bee0e","","pass","","folder","TRUE","FALSE","Basement ","Level 2","scooter parking"
"6722471e-5e01-4580-ae34-ca39e65c830c","","pass","QA - Blocklaying","checklist","FALSE","FALSE","Basement ","Level 2","scooter parking","QA - Blocklaying"
"5de5cb7e-ce5b-4f07-9e14-06f6e4f1f392","","pass","","folder","TRUE","FALSE","Transformer Room"
"2b7f00b0-721d-4487-b0e2-fa9442d27d32","","pass","QA - Blocklaying","checklist","FALSE","FALSE","Transformer Room","QA - Blocklaying"
"e3e15dfe-eb8a-47e9-aabf-13ccd87ce336","","pass","","folder","TRUE","FALSE","Building A"
"ff7816ff-b6aa-499f-91bc-15f030292661","","not-applicable","QA - Brickwork - Block A","checklist","FALSE","FALSE","Building A","QA - Brickwork - Block A"
"e8a329b2-c39a-4b7c-8a00-ff6f56927f03","","pass","","folder","TRUE","FALSE","Building A","Level 2"
"f804be27-3654-40bb-9b90-e6757ce465c4","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building A","Level 2","Zone 1"
"c7b1c881-2f20-494b-a4fc-fa36bd07e522","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building A","Level 2","Zone 2"
"18395fd7-345f-40b5-9c58-13815e8ecd10","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building A","Level 2","Zone 3"
"878bb4b3-89ef-4697-a232-2f40f8c12ba4","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building A","Level 2","Zone 4"
"e7403068-ec47-4aab-ba8b-50e3a1c8b18b","","pass","","folder","TRUE","FALSE","Building A","Level 3"
"c1fc565b-024c-401b-b63b-e52805d9e3e2","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building A","Level 3","Zone 1"
"8227dba5-2c1e-47a9-bebb-dda68cecb5d5","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building A","Level 3","Zone 2"
"f7f64cc8-f0b6-4157-90c4-6362e250604a","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building A","Level 3","Zone 3"
"16e09462-9a99-430f-b2e0-fda76d576047","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building A","Level 3","Zone 4"
"be714c4b-7bc8-4cf2-ab56-7f2e375d5fa9","","pass","","folder","TRUE","FALSE","Building A","Level 4"
"bc7056e6-02cf-44f8-a228-355891854443","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building A","Level 4","Zone 1"
"d7dd9b66-e93c-46c0-99fe-fa6c381013d7","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building A","Level 4","Zone 2"
"8adcfbe9-558d-43e2-8da9-c77f58a84572","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building A","Level 4","Zone 3"
"326bfcff-1205-4f94-84a1-7dc7fdf73dfa","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building A","Level 4","Zone 4"
"3934fd83-8491-45aa-8ddd-6d573fc738c1","","pass","","folder","TRUE","FALSE","Building A","Level 5"
"a6f3d070-40f8-4741-bf1f-3eb4858bb22e","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building A","Level 5","Zone 1"
"990ee6c3-75e1-474d-b25d-df879effd15e","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building A","Level 5","Zone 2"
"e39debaf-176f-4577-9b9b-03515ffc4797","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building A","Level 5","Zone 3"
"07e2b535-dce0-41a4-a813-b8213396c912","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building A","Level 5","Zone 4"
"50b1f553-a82a-4140-a3a7-6b2da6ec7aea","","work-in-progress","","folder","TRUE","FALSE","Building B"
"8624b0bb-fc88-4573-b50b-62393630e67c","","work-in-progress","","folder","TRUE","FALSE","Building B","Level 2"
"c9325184-cdca-4339-be3f-7f7fd61c7123","","work-in-progress","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building B","Level 2","Zone 1"
"7d093fbc-aafd-4131-a018-7e38c3adf4dd","","work-in-progress","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building B","Level 2","Zone 2"
"dbbf0a4a-d13b-41cd-84af-7301a3116a3f","","work-in-progress","","folder","TRUE","FALSE","Building B","Level 3"
"6cdbe768-5dc3-4d56-9ed4-a0255a4c04c7","","work-in-progress","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building B","Level 3","Zone 1"
"1509f206-89db-4809-8f73-d3c319da82d3","","work-in-progress","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building B","Level 3","Zone 2"
"633548ea-04b2-4fc5-9d28-3ac820d488d1","","work-in-progress","","folder","TRUE","FALSE","Building B","Level 4"
"6a10eaf2-60c8-4265-b02a-1bf9e8053e0f","","work-in-progress","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building B","Level 4","Zone 1"
"0a40bd39-dbb3-4a5d-8a5c-b1c6093a3937","","work-in-progress","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building B","Level 4","Zone 2"
"8411c1fa-3a7d-45c6-acff-b751d3e0dd24","","work-in-progress","","folder","TRUE","FALSE","Building B","Level 5"
"bf199e93-9f6f-492c-9505-370e62ef12bc","","work-in-progress","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building B","Level 5","Zone 1"
"20ad3d4d-35e6-4988-8481-a97df6311404","","work-in-progress","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building B","Level 5","Zone 2"
"a779df00-6f3b-411a-b76d-881775f30f83","","work-in-progress","","folder","TRUE","FALSE","Building B","Level 6"
"7160f6fd-dcba-43de-b8c9-3fc027b83b14","","work-in-progress","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building B","Level 6","Zone 1"
"3af54c84-0154-4758-98a3-874607a4d502","","not-started","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building B","Level 6","Zone 2"
"d1286a21-09df-4a26-b119-644fca42b248","","pass","","folder","TRUE","FALSE","Building D"
"5f8b4397-af6d-4bb0-924d-5c04e91b596f","","pass","","folder","TRUE","FALSE","Building D","Level 3"
"37e52c68-6512-4dca-a217-81331c23b722","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building D","Level 3","Zone 1"
"4349540a-7465-44ca-8618-812916373082","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building D","Level 3","Zone 2"
"f8c1fb83-fbd1-4992-9b3e-b9d2aacf25c3","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building D","Level 3","Zone 3"
"b990d2ff-eb80-4282-b74d-29dabb30dea3","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building D","Level 3","Zone 4"
"f8966b8f-5c70-4fd2-a22e-0b5767127dcf","","pass","","folder","TRUE","FALSE","Building D","Level 4"
"b6546d6f-83e3-41f9-8802-9cfb4457409f","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building D","Level 4","Zone 1"
"28b3f2f0-91de-4aa9-805c-36bd5fc1e34e","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building D","Level 4","Zone 2"
"60d7b189-ade4-4bbe-a6f4-d47456aca9c5","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building D","Level 4","Zone 3"
