"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"100f1456-dfd6-4b92-b137-dbfce401983a","","not-started","","folder","TRUE","FALSE","Zone 1"
"7e26ceb5-a766-4371-87dd-81eb624b67ee","","not-started","QA - Brickwork Level 0","checklist","FALSE","FALSE","Zone 1","Level 0"
"bcd476c6-e666-476d-8e5c-a27291384da0","","not-started","QA - Brickwork Level 2","checklist","FALSE","FALSE","Zone 1","Level 1"
"b8f97dae-b809-446d-97a1-eabd7c4ea9e1","","not-started","","folder","TRUE","FALSE","Zone 2"
"61c774ca-3912-45ca-9983-3c66748f94d7","","not-started","QA - Brickwork Level 0","checklist","FALSE","FALSE","Zone 2","Level 0"
"081597eb-3e85-4f72-b3d9-5e1d77d92e57","","not-started","QA - Brickwork Level 2","checklist","FALSE","FALSE","Zone 2","Level 1"
"fcadb1ab-23ce-411d-ab44-614bd945b647","","not-started","QA - Brickwork Level 2","checklist","FALSE","FALSE","Zone 2","Level 2"
"2318d1f9-6d7b-4b70-ba90-88dca05237b9","","not-started","","folder","TRUE","FALSE","Zone 3"
"c47fd7ce-0753-4ccb-ac71-1707819bc435","","not-started","QA - Brickwork Zone 3 Level 0","checklist","FALSE","FALSE","Zone 3","Level 0"
"36834b5b-dcdb-41e8-9f2c-debc538b5cf8","","not-started","QA - Brickwork Zone 3 Level 1","checklist","FALSE","FALSE","Zone 3","Level 1"
"84bd553e-f7e8-428d-9fed-7f98d7287a63","","not-started","QA - Brickwork Zone 3 Level 2","checklist","FALSE","FALSE","Zone 3","Level 2"
