"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9b59e636-7931-4f6b-86d3-fa67266ce410","","work-in-progress","","folder","TRUE","FALSE","Villas"
"515e9135-6d2c-46e3-a885-21ec0d0416b9","","work-in-progress","","folder","TRUE","FALSE","Villas","Block 07"
"89358d95-38b2-4533-9f2d-6c29196b6226","","work-in-progress","QA - Brickwork","checklist","FALSE","FALSE","Villas","Block 07","QA - Brickwork"
"2c750f65-8eb0-4cd2-995b-092567c9c565","","work-in-progress","","folder","TRUE","FALSE","Villas","Block 05"
"306b78e4-e25a-4755-9bff-76d1f5c3d2bc","","work-in-progress","QA - Brickwork","checklist","FALSE","FALSE","Villas","Block 05","QA - Brickwork"
"f29f0ca7-68c7-4e25-b9ad-f14f574f362a","","work-in-progress","","folder","TRUE","FALSE","Villas","Block 08"
"086300d3-5dd6-43d0-986f-9d18ba2b0d5c","","work-in-progress","QA - Brickwork","checklist","FALSE","FALSE","Villas","Block 08","QA - Brickwork"
"0be7bce7-67a0-4e71-be3b-4964bffeb636","","pass","","folder","TRUE","FALSE","Villas","Block 09"
"d3fc02f9-cb2b-4261-8ce0-0a684d8f9fea","","pass","QA - Brickwork","checklist","FALSE","FALSE","Villas","Block 09","QA - Brickwork"
"40d89a4b-1299-44f7-b96b-00cc892c0f36","","pass","","folder","TRUE","FALSE","Villas","B10"
"98f4e5f2-581b-4ff5-971f-e9303218d6d4","","pass","QA - Brickwork","checklist","FALSE","FALSE","Villas","B10","QA - Brickwork"
"420783c1-437f-4f9d-a1fe-5a3349599da9","","pass","","folder","TRUE","FALSE","Villas","B11"
"9696720c-84b3-4868-b4c6-4e8e8a737dec","","pass","QA - Brickwork","checklist","FALSE","FALSE","Villas","B11","QA - Brickwork"
"06c76df2-88c3-4994-acf5-879f861a3ec6","","pass","","folder","TRUE","FALSE","Villas","Block 12"
"7d568482-3724-404a-9f2b-53eaa1bbed7f","","pass","QA - Brickwork","checklist","FALSE","FALSE","Villas","Block 12","QA - Brickwork"
