type,name,values,prefix,postfix,usage count,user addable,template name,
checklist-flat,Brickwork for Area:,,,,,Yes,QA - Brickwork,203783e8-1292-43bd-b992-4c4a29c286ea
checkpoint-status,Substrate Acceptable and Ready ,,,,,,,
boolean,"Take delivery, stored correctly",,,,,,,
boolean,"Correct brick type, colour, grade",,,,,,,
boolean,Scaffold situation suitable,,,,,,,
checkpoint-status,"Correct cavity size, Cavity clean & clear of mortar",,,,,,,
checkpoint-status,"Brick ties, correct fixings grade and spacings",,,,,,,
checkpoint-status,Wire to joint reinforcement,,,,,,,
checkpoint-status,Lintels correct type & position,,,,,,,
checkpoint-status,Brick shelf angles correct type & position,,,,,,,
label,"Fixings to angles correct type, size & position",,,,,,,
checkpoint-status,DPC to windows,,,,,,,
checkpoint-status,Mortar - Quantities & consistancy correct,,,,,,,
checkpoint-status,"Weep, breathing holes in place, clear, vent gaps",,,,,,,
checkpoint-status,Vermin stop in place,,,,,,,
checkpoint-status,Work area left clean & damage free,,,,,,,
boolean,Joints uniform & clean,,,,,,,
boolean,Raked,,,,,,,
checkpoint-status,10mm gap from brick work to aluminium joinery.,,,,,,,
checkpoint-status,Final check to ensure no other trades have damaged the brick work,,,,,,,
,,,,,,,,
,,,,,,,,
checklist-flat,Blockwork Checklist,,,,,Yes,Blockwork Checklist,17955318-59ef-418a-a687-3e332e10aacc
checkpoint-status,"Take delivery, stored correctly",,,,,,,
checkpoint-status,"Correct Block type, colour, grade",,,,,,,
checkpoint-status,Scaffold situation suitable,,,,,,,
checkpoint-status,"Correct steel size, tied and placed",,,,,,,
checkpoint-status,Washouts clean & clear of mortar,,,,,,,
checkpoint-status,Block lintels correct steel type & position,,,,,,,
checkpoint-status,Mortar - Quantities & consistancy correct,,,,,,,
checkpoint-status,Block fill correct Mpa & additives if specified,,,,,,,
label,See Delivery Dockets (attached),,,,,,,
checkpoint-status,Area damage Free,,,,,,,
checkpoint-status,Work area left clean & tidy,,,,,,,
checkpoint-status,Joints uniform & clean,,,,,,,
checkpoint-status,"Control Joints. Correct steel R16, Denzo tape, Position.",,,,,,,
checkpoint-status,Final check to ensure no other trades have damaged the block work,,,,,,,
