Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,
Testing & Commissioning - Fuel Farm - Low Voltage Cable (Mains/Submains),,,,,,,,
,Scope,,,Testing & Commissioning,Fuel Farm,,,
,Rows,,,,,,,
,,Main Switchboards - MSBD-2702-DIM-25001,dynamic,Testing & Commissioning,Fuel Farm,Main Switchboards,MSBD-2702-DIM-25001,Low Voltage Cables (Mains/Submains) ITC
,,Main Switchboards - MSBD-2702-DIM-25002,dynamic,Testing & Commissioning,Fuel Farm,Main Switchboards,MSBD-2702-DIM-25002,Low Voltage Cables (Mains/Submains) ITC
,,Main Switchboards - 2702-SWO-71301,dynamic,Testing & Commissioning,Fuel Farm,Main Switchboards,2702-SWO-71301,
,,Distribution Boards - DIS-21001,dynamic,Testing & Commissioning,Fuel Farm,Distribution Boards,DIS-21001,Low Voltage Cables (Mains/Submains)
,,Distribution Boards - DIS-25001,dynamic,Testing & Commissioning,Fuel Farm,Distribution Boards,DIS-25001,Low Voltage Cables (Mains/Submains)
,,Distribution Boards - DIS-25002,dynamic,Testing & Commissioning,Fuel Farm,Distribution Boards,DIS-25002,Low Voltage Cables (Mains/Submains)
,,Distribution Boards - DIS-33001,dynamic,Testing & Commissioning,Fuel Farm,Distribution Boards,DIS-33001,Low Voltage Cables (Mains/Submains)
,,UPS MDBs - UDB-21003 [FROM MSB-1A & 1B],dynamic,Testing & Commissioning,Fuel Farm,UPS MDBs,UDB-21003 [FROM MSB-1A & 1B],Low Voltage Cables (Mains/Submains)
,Columns,,,,,,,
,,Pre-energisation,,Low Voltage Cables - Mains/Submains (Pre-Energisation),,,,
,,Energised,,Low Voltage Cables - Mains/Submains (Energised),,,,
