"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,
,"Rows"
,,"Ground","dynamic","ground"
,,"Level 1","dynamic","level 1"
,,"Roof Level","dynamic","roof level"
,,"Lower Level Roof","dynamic","lower level roof"
,"Columns"
,,"Duct Installation",,"duct installation"
,,"Pipe Installation",,"pipe installation"
,,"Fans",,"fans"
,,"Fan Coil Units",,"fan coil units"
,,"Fan Wall Units",,"fan wall units"
,,"Condenser Unit",,"condenser unit"
,,"Switchboards",,"switchboards"

