"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4c440d13-3e02-4189-a3f7-fcc7d06f416d","","work-in-progress","","folder","TRUE","FALSE","PIPE ITPs"
"95930e70-d766-409d-9691-4128a3b7e520","","work-in-progress","1.01 - Drainage - Pipe Laying","checklist","FALSE","FALSE","PIPE ITPs","7ABE0230-1.01-JP33-JP34"
"e37e53ef-edb5-41ca-b8af-87939d75738d","","work-in-progress","1.01 - Drainage - Pipe Laying","checklist","FALSE","FALSE","PIPE ITPs","7ABE0230-1.01-JP34-JP35"
"24455b14-7069-46dd-a92b-6976030f1a4d","","work-in-progress","1.01 - Drainage - Pipe Laying","checklist","FALSE","FALSE","PIPE ITPs","7ABE0230-1.01-JP35-JP36"
"89f448e5-a655-46a2-96a8-7b768b8097e4","","work-in-progress","1.01 - Drainage - Pipe Laying","checklist","FALSE","FALSE","PIPE ITPs","7ABE0230-1.01-JP36-JP37"
"3984d248-aa2d-4a9b-a410-8c0dc1e6bf1e","","work-in-progress","1.01 - Drainage - Pipe Laying","checklist","FALSE","FALSE","PIPE ITPs","7ABE0230-1.01-JP37-JP38"
"c9b661cf-8f78-4b3d-b7bd-722d65804729","","work-in-progress","1.01 - Drainage - Pipe Laying","checklist","FALSE","FALSE","PIPE ITPs","7ABE0230-1.01-JP38-JP39"
"c25e0f28-a589-435f-af88-80ca22a8b7a5","","not-started","1.01 - Drainage - Pipe Laying","checklist","FALSE","FALSE","PIPE ITPs","7ABE0230-1.01-JP39-JP40"
"93e0e7e7-7b17-4e1a-bf11-4451c865b3c3","","not-started","1.01 - Drainage - Pipe Laying","checklist","FALSE","FALSE","PIPE ITPs","7ABE0230-1.01-JP40-JP41"
"90d21c0d-28bb-4ce8-aa83-a6d952b0e5d2","","not-started","1.01 - Drainage - Pipe Laying","checklist","FALSE","FALSE","PIPE ITPs","7ABE0230-1.01-JP41-JP42"
"9fe0e008-d6a4-45aa-91e3-3ece41107718","","not-started","1.01 - Drainage - Pipe Laying","checklist","FALSE","FALSE","PIPE ITPs","7ABE0230-1.01-JP42-JP43"
