type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,
checklist,Ingrounds (Zone 1),,,,,,,,
section,Stormwater,,,,,,,,
checkpoint,Lay bed base for preparation of pipe,,,,,,,,
checkpoint,Pipes installed as per plan ,,,,,,,,
checkpoint,Pipes installed to correct levels,,,,,,,,
checkpoint,Has pipe been tested,,,,,,,,
checkpoint,Backfill,,,,,,,,
section,Stormwater pit 1,,,,,,,,
checkpoint,Pit installed as per manufactures instructions ,,,,,,,,
checkpoint,Correct pipe sizes ,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pump out lines to correct location ,,,,,,,,
checkpoint,Electrical conduits installed ,,,,,,,,
checkpoint,Correct pumpout size ,,,,,,,,
section,Stormwater pit 19,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
section,Stormwater pit 20,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
section,Stormwater pit 21,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
section,Stormwater pit 22,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
section,Stormwater pit 23,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
section,Sewer,,,,,,,,
checkpoint,Lay bed base for preparation of pipe,,,,,,,,
checkpoint,Pipes installed as per plan ,,,,,,,,
checkpoint,Pipes installed to correct levels,,,,,,,,
checkpoint,Has pipe been tested,,,,,,,,
checkpoint,Backfill,,,,,,,,
,,,,,,,,,
checklist,Ingrounds (Zone 2),,,,,,,,
section,Stormwater,,,,,,,,
checkpoint,Lay bed base for preparation of pipe,,,,,,,,
checkpoint,Pipes installed as per plan ,,,,,,,,
checkpoint,Pipes installed to correct levels,,,,,,,,
checkpoint,Has pipe been tested,,,,,,,,
checkpoint,Backfill,,,,,,,,
section,Stormwater pit 24,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
section,Stormwater pit 25,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
