"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2541c63e-9704-4f3a-b0f3-5145924cfbef","","folder-normal","","","step","TRUE","FALSE","Zone 1 - West"
"c0f74c73-7386-4106-91c9-ec0ddaa21977","","checklist-sectioned","","fcd5e602e0fbf66a01327b1764b6ed2935676c54ca4dceac2c2d406d7887cf9a","checklist","FALSE","FALSE","Zone 1 - West","ITP - Earthworks - 101 - Rev 2"
"98d414d1-9ba5-48e6-be65-7721f6d05b3b","","checklist-sectioned","","ITP - Stormwater - 102 - Rev A","checklist","FALSE","FALSE","Zone 1 - West","ITP - Stormwater - 102 - Rev A"
"0a87c417-3fb4-41fc-b197-75c4d7752db3","","checklist-sectioned","","020fab1972fb3646c0de4b90cfde10a3feddc8428d33d4538aa4d76b4ab4706f","checklist","FALSE","FALSE","Zone 1 - West","ITP - Concrete and Structures - 103 - Rev A"
"e0d26047-447f-4cd5-9316-33b378bb23ca","","folder-normal","","","step","TRUE","FALSE","Zone 1 - East"
"3445656c-c825-4bba-b808-11394908249d","","checklist-sectioned","","fbdf26c008287e7f5b463ee8bc7263cd0540e346df8d50d57059cf4a8c4b11a9","checklist","FALSE","FALSE","Zone 1 - East","ITP - Earthworks - 101 - Rev 2"
"dd5a9029-d387-4496-b9f7-2442b176f34c","","checklist-sectioned","","ITP - Stormwater - 102 - Rev A","checklist","FALSE","FALSE","Zone 1 - East","ITP - Stormwater - 102 - Rev A"
"79869666-280e-48b8-bab0-12a909f7dc7c","","checklist-sectioned","","020fab1972fb3646c0de4b90cfde10a3feddc8428d33d4538aa4d76b4ab4706f","checklist","FALSE","FALSE","Zone 1 - East","ITP - Concrete and Structures - 103 - Rev A"
"d1327429-a71d-4654-9cc0-998570e53a33","","checklist-sectioned","","ITP - Concrete Pours - 103 - Rev B","checklist","FALSE","FALSE","Zone 1 - East","ITP - Concrete Pours - 103 - Rev 1"
"2ae300ef-9f5f-4fd3-8871-66e69b62c88b","","folder-normal","","","step","TRUE","FALSE","Mid Zone"
"a5370a78-a06a-4498-ba1f-48450e217a98","","checklist-sectioned","","ITP - Earthworks - 101 - Rev 2","checklist","FALSE","FALSE","Mid Zone","ITP - Earthworks - 101 - Rev 2"
"be3fe991-c5c5-4c03-8c02-9ccd15b8e50c","","checklist-sectioned","","ITP - Stormwater - 102 - Rev A","checklist","FALSE","FALSE","Mid Zone","ITP - Stormwater - 102 - Rev A"
"62624780-0f8a-45fe-8245-234565c820b5","","folder-normal","","","step","TRUE","FALSE","Zone 2"
"4adeeae7-00eb-49b1-91fb-aaeb83d18ae8","","checklist-sectioned","","6dfbb295499436b5363215bf7019126cfbf71d491d5ee6e8556bc5ff7b0805f5","checklist","FALSE","FALSE","Zone 2","ITP - Earthworks - 101 - Rev 2"
"1354de3a-6274-482e-830a-a0eeb8b7aa01","","checklist-sectioned","","ITP - Stormwater - 102 - Rev A","checklist","FALSE","FALSE","Zone 2","ITP - Stormwater - 102 - Rev A"
"9bb44726-4ee9-4a3e-adb3-e92cf4ea87e8","","folder-normal","","","step","TRUE","FALSE","Tie In Hamilton"
"6f8350d8-e1d8-4f53-8d06-4703186317b9","","checklist-sectioned","","ITP - Earthworks - 101 - Rev 2","checklist","FALSE","FALSE","Tie In Hamilton","ITP - Earthworks - 101 - Rev 2"
"9a92714f-16b2-45f0-87d2-024d88a06591","","checklist-sectioned","","ITP - Stormwater - 102 - Rev A","checklist","FALSE","FALSE","Tie In Hamilton","ITP - Stormwater - 102 - Rev A"
"f52cb294-3f0e-417e-9ef1-eb45dce1c5cd","","folder-normal","","","step","TRUE","FALSE","Tie in Tauranga"
"1e92b790-c34f-4a51-8c13-25e2f2bce6b0","","checklist-sectioned","","c48c83bb97c738f216886d5aa06fef10dbfb5d34a6bb58548f7dafd3f6f0f22b","checklist","FALSE","FALSE","Tie in Tauranga","ITP - Earthworks - 101 - Rev 2"
"4c6a3bd9-351b-4fd6-b039-9f9a698294c8","","checklist-sectioned","","ITP - Stormwater - 102 - Rev A","checklist","FALSE","FALSE","Tie in Tauranga","ITP - Stormwater - 102 - Rev A"
"ab2bc646-65cc-447c-9788-5aa15013bb7e","","folder-normal","","","step","TRUE","FALSE","Tie in Tirau"
"19714914-ff54-4263-9dda-1f103d8350d0","","checklist-sectioned","","ITP - Earthworks - 101 - Rev 2","checklist","FALSE","FALSE","Tie in Tirau","ITP - Earthworks - 101 - Rev 2"
"003b2f32-8870-4193-ba09-29cba81f9388","","checklist-sectioned","","ITP - Stormwater - 102 - Rev A","checklist","FALSE","FALSE","Tie in Tirau","ITP - Stormwater - 102 - Rev A"
