resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,step,,,Manufacture QA,,,,,,,,
,,step,,,Manufacture QA,Ground Floor,,,,,,,
,,step,,,Manufacture QA,Ground Floor,G01,,,,,,
Pre-Pour Checklist,,checklist,,,Manufacture QA,Ground Floor,G01,Pre-Pour Checklist,,,,,
Post-Pour Checklist,,checklist,,,Manufacture QA,Ground Floor,G01,Post-Pour Checklist,,,,,
,,step,,,Manufacture QA,Ground Floor,G02,,,,,,
Pre-Pour Checklist,,checklist,,,Manufacture QA,Ground Floor,G02,Pre-Pour Checklist,,,,,
Post-Pour Checklist,,checklist,,,Manufacture QA,Ground Floor,G02,Post-Pour Checklist,,,,,
,,step,,,Manufacture QA,Level 1,,,,,,,
,,step,,,Manufacture QA,Level 1,1P01,,,,,,
Pre-Pour Checklist,,checklist,,,Manufacture QA,Level 1,1P01,Pre-Pour Checklist,,,,,
Post-Pour Checklist,,checklist,,,Manufacture QA,Level 1,1P01,Post-Pour Checklist,,,,,
,,step,,,Manufacture QA,Level 1,1P02,,,,,,
Pre-Pour Checklist,,checklist,,,Manufacture QA,Level 1,1P02,Pre-Pour Checklist,,,,,
Post-Pour Checklist,,checklist,,,Manufacture QA,Level 1,1P02,Post-Pour Checklist,,,,,
,,step,,,Manufacture QA,Level 2,,,,,,,
,,step,,,Manufacture QA,Level 2,2P01,,,,,,
Pre-Pour Checklist,,checklist,,,Manufacture QA,Level 2,2P01,Pre-Pour Checklist,,,,,
Post-Pour Checklist,,checklist,,,Manufacture QA,Level 2,2P01,Post-Pour Checklist,,,,,
,,step,,,Manufacture QA,Level 2,2P02,,,,,,
Pre-Pour Checklist,,checklist,,,Manufacture QA,Level 2,2P02,Pre-Pour Checklist,,,,,
Post-Pour Checklist,,checklist,,,Manufacture QA,Level 2,2P02,Post-Pour Checklist,,,,,
