"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4115dd0f-25f2-47db-a9f6-d1e5db73b77e","","work-in-progress","","folder","TRUE","FALSE","INSPECTION TEST PLAN / CHECK LIST"
"fe5a4607-bf35-4ff3-8554-e0b46560b0e8","","work-in-progress","","folder","TRUE","FALSE","INSPECTION TEST PLAN / CHECK LIST","Centre Wall"
"988256e6-d54f-408a-8593-6f431f3ce84a","","not-started","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST","Centre Wall","Panel No. P-01"
"5f211851-8951-45e8-a840-782f2ff59b0f","","not-started","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST","Centre Wall","Panel No. P-02"
"3f36d7c2-4f5a-4ad5-90ee-7d24b12707c6","","work-in-progress","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST","Centre Wall","Panel No. P-03"
"2baa4861-f3e3-46e8-932e-d81b97276add","","work-in-progress","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST","Centre Wall","Panel No. P-04"
"9f863337-cae9-4d1e-a5fe-310e86f66709","","work-in-progress","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST","Centre Wall","Panel No. P-05"
"d5c71ba8-5d30-4dec-8a0a-c3f667c57691","","work-in-progress","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST","Centre Wall","Panel No. P-06"
"af5f2376-df7e-47a9-9d72-7b9f46649740","","work-in-progress","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST","Centre Wall","Panel No. P-07"
"149d164f-267b-4f0e-b9e1-2c356701d636","","work-in-progress","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST","Centre Wall","Panel No. P-08"
"1ca5f93b-2f10-4f09-9e1c-489470ede28b","","work-in-progress","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST","Centre Wall","Panel No. P-09"
"52c213b5-3cdf-4aea-996b-04bead3dc57c","","work-in-progress","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST","Centre Wall","Panel No. P-10"
"3754be22-97ae-4d76-b5e7-82dae5059267","","work-in-progress","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST","Centre Wall","Panel No. P-11"
"ff3fbd45-a34d-427e-afd6-e51a18238deb","","work-in-progress","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST","Centre Wall","Panel No. P-12"
"b0e16b9a-3d40-4cf7-b4d8-a4fb44cf0168","","work-in-progress","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST","Centre Wall","Panel No. P-13"
"97d96361-d473-493f-82b6-5bb8478bf0f3","","work-in-progress","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST","Centre Wall","Panel No. P-14"
"b7bbbe95-7e5e-42ed-8c6f-57aae36f7448","","not-started","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST","Centre Wall","Panel No. P-15"
"505efc95-1402-40ff-b834-11bb5e7e2c01","","not-started","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST","Centre Wall","Panel No. P-16"
