resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,step,,,STAGE 1B,,,,,,,,
,,step,,,,PODIUM,,,,,,,
Photos,,checklist,,,,,PODIUM OUTLETS,,,,,,
Photos,,checklist,,,,,CHANNEL DRAIN,,,,,,
,,step,,,,,DOWNPIPES,,,,,,
Downpipes + Decks Checklist,,checklist,,,,,,STAIRWELL DOWNPIPE,,,,,
Downpipes + Decks Checklist,,checklist,,,,,,CANOPY DOWNPIPES,,,,,
Photos,,checklist,,,,,,RAINHEAD,,,,,
,,step,,,,B1,,,,,,,
Photos,,checklist,,,,,SPOONDRAIN,,,,,,
,,step,,,,,LIFT,,,,,,
Photos,,checklist,,,,,,SUMP,,,,,
Photos,,checklist,,,,,CLEANOUTS,,,,,,
,,step,,,,LEVEL 1,,,,,,,
,,step,,,,,BATHROOM 1,,,,,,
,,step,,,,,,WC1,,,,,
Toilet Checklist,,checklist,,,,,,,WC,,,,
Hand Basin,,checklist,,,,,,,WHB,,,,
FWG First Fix Checklist,FWG Second Fix Checklist,folder-with-checklists,,,,,,,FWG,,,,
,,step,,,,,,WC2,,,,,
Toilet Checklist,,checklist,,,,,,,WC,,,,
Hand Basin,,checklist,,,,,,,WHB,,,,
FWG First Fix Checklist,FWG Second Fix Checklist,folder-with-checklists,,,,,,,FWG,,,,
,,step,,,,,,WC3,,,,,
Toilet Checklist,,checklist,,,,,,,WC,,,,
Hand Basin,,checklist,,,,,,,WHB,,,,
FWG First Fix Checklist,FWG Second Fix Checklist,folder-with-checklists,,,,,,,FWG,,,,
Photos,,checklist,,,,,,TMV,,,,,
Photos,,checklist,,,,,,TV,,,,,
,,step,,,,,BATHROOM 2,,,,,,
,,step,,,,,,WC1,,,,,
Toilet Checklist,,checklist,,,,,,,WC,,,,
Hand Basin,,checklist,,,,,,,WHB,,,,
FWG First Fix Checklist,FWG Second Fix Checklist,folder-with-checklists,,,,,,,FWG,,,,
,,step,,,,,,WC2,,,,,
Toilet Checklist,,checklist,,,,,,,WC,,,,
Hand Basin,,checklist,,,,,,,WHB,,,,
FWG First Fix Checklist,FWG Second Fix Checklist,folder-with-checklists,,,,,,,FWG,,,,
,,step,,,,,,HWC,,,,,
Hot Water Cylinder Checklist,,checklist,,,,,,,HWC,,,,
Photos,,checklist,,,,,,,HW CIRCULATION SYSTEM,,,,
Photos,,checklist,,,,,,TMV,,,,,
Photos,,checklist,,,,,,TV,,,,,
,,step,,,,LEVEL 2,,,,,,,
,,step,,,,,BATHROOM 1,,,,,,
,,step,,,,,,WC1,,,,,
Toilet Checklist,,checklist,,,,,,,WC,,,,
Hand Basin,,checklist,,,,,,,WHB,,,,
FWG First Fix Checklist,FWG Second Fix Checklist,folder-with-checklists,,,,,,,FWG,,,,
,,step,,,,,,WC2,,,,,
Toilet Checklist,,checklist,,,,,,,WC,,,,
Hand Basin,,checklist,,,,,,,WHB,,,,
FWG First Fix Checklist,FWG Second Fix Checklist,folder-with-checklists,,,,,,,FWG,,,,
,,step,,,,,,WC3,,,,,
Toilet Checklist,,checklist,,,,,,,WC,,,,
Hand Basin,,checklist,,,,,,,WHB,,,,
FWG First Fix Checklist,FWG Second Fix Checklist,folder-with-checklists,,,,,,,FWG,,,,
Photos,,checklist,,,,,,TMV,,,,,
Photos,,checklist,,,,,,TV,,,,,
,,step,,,,,BATHROOM 2,,,,,,
,,step,,,,,,WC1,,,,,
Toilet Checklist,,checklist,,,,,,,WC,,,,
Hand Basin,,checklist,,,,,,,WHB,,,,
FWG First Fix Checklist,FWG Second Fix Checklist,folder-with-checklists,,,,,,,FWG,,,,
,,step,,,,,,WC2,,,,,
Toilet Checklist,,checklist,,,,,,,WC,,,,
Hand Basin,,checklist,,,,,,,WHB,,,,
FWG First Fix Checklist,FWG Second Fix Checklist,folder-with-checklists,,,,,,,FWG,,,,
,,step,,,,,,HWC,,,,,
Hot Water Cylinder Checklist,,checklist,,,,,,,HWC,,,,
Photos,,checklist,,,,,,,HW CIRCULATION SYSTEM,,,,
Photos,,checklist,,,,,,TMV,,,,,
Photos,,checklist,,,,,,TV,,,,,
,,step,,,,LEVEL 3,,,,,,,
,,step,,,,,BATHROOM 1,,,,,,
,,step,,,,,,WC1,,,,,
Toilet Checklist,,checklist,,,,,,,WC,,,,
Hand Basin,,checklist,,,,,,,WHB,,,,
FWG First Fix Checklist,FWG Second Fix Checklist,folder-with-checklists,,,,,,,FWG,,,,
,,step,,,,,,WC2,,,,,
Toilet Checklist,,checklist,,,,,,,WC,,,,
Hand Basin,,checklist,,,,,,,WHB,,,,
FWG First Fix Checklist,FWG Second Fix Checklist,folder-with-checklists,,,,,,,FWG,,,,
,,step,,,,,,WC3,,,,,
Toilet Checklist,,checklist,,,,,,,WC,,,,
Hand Basin,,checklist,,,,,,,WHB,,,,
FWG First Fix Checklist,FWG Second Fix Checklist,folder-with-checklists,,,,,,,FWG,,,,
Photos,,checklist,,,,,,TMV,,,,,
Photos,,checklist,,,,,,TV,,,,,
,,step,,,,,BATHROOM 2,,,,,,
,,step,,,,,,WC1,,,,,
Toilet Checklist,,checklist,,,,,,,WC,,,,
Hand Basin,,checklist,,,,,,,WHB,,,,
FWG First Fix Checklist,FWG Second Fix Checklist,folder-with-checklists,,,,,,,FWG,,,,
,,step,,,,,,WC2,,,,,
Toilet Checklist,,checklist,,,,,,,WC,,,,
Hand Basin,,checklist,,,,,,,WHB,,,,
FWG First Fix Checklist,FWG Second Fix Checklist,folder-with-checklists,,,,,,,FWG,,,,
,,step,,,,,,HWC,,,,,
Hot Water Cylinder Checklist,,checklist,,,,,,,HWC,,,,
Photos,,checklist,,,,,,,HW CIRCULATION SYSTEM,,,,
Photos,,checklist,,,,,,TMV,,,,,
Photos,,checklist,,,,,,TV,,,,,
,,step,,,,,BALCONY,,,,,,
Photos,,checklist,,,,,,RWO,,,,,
Photos,,checklist,,,,,,RWOF,,,,,
,,step,,,,ROOF,,,,,,,
Photos,,checklist,,,,,RWO,,,,,,
Photos,,checklist,,,,,RWOF,,,,,,
Photos,,checklist,,,,,TERMINAL VENTS,,,,,,
