"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4093c6a7-23ec-42e3-81f2-b546636cfd2a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Documentation"
"c66ab3c4-b380-4ff9-b77c-a9898479cb13","","folder-normal","work-in-progress","","step","TRUE","FALSE","Leemark - Site QA"
"956dfdd3-81d9-48dc-b53c-ed36e70d772f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Leemark - Site QA","Wet Fire"
"d3703feb-b941-475c-832b-84c7e35ca765","","folder-normal","work-in-progress","","step","TRUE","FALSE","Leemark - Site QA","Wet Fire","Infrastructure (Wet and Dry Fire)"
"4eb9d8d1-4ed2-4b70-923b-878516767f94","","folder-normal","work-in-progress","","step","TRUE","FALSE","Leemark - Site QA","Wet Fire","Infrastructure (Wet and Dry Fire)","Tank Installation"
"f6b484d4-2c06-4d9f-80d6-1b923a3f2106","","checklist-sectioned","not-started","LM-FOR-40-ITR-302.4 Tank Installation","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Infrastructure (Wet and Dry Fire)","Tank Installation","Fire Tank 01"
"24095759-691d-4298-a994-9144ad837322","","checklist-sectioned","work-in-progress","LM-FOR-40-ITR-302.4 Tank Installation","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Infrastructure (Wet and Dry Fire)","Tank Installation","Fire Tank 02"
"3dffe1c8-56c2-49e4-ae1c-9963a41609db","","folder-normal","not-started","","step","TRUE","FALSE","Leemark - Site QA","Wet Fire","Infrastructure (Wet and Dry Fire)","Fire Panel Installation"
"558e04d9-d116-4973-ab11-64e3cc45c7af","","checklist-sectioned","not-started","LM-FOR-50-ITR-303.1 Fire Panel Installation","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Infrastructure (Wet and Dry Fire)","Fire Panel Installation","FDCIE NODE 1"
"b5afd672-48ea-4450-a8b9-aa1bd5ba433f","","checklist-sectioned","not-started","LM-FOR-50-ITR-303.1 Fire Panel Installation","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Infrastructure (Wet and Dry Fire)","Fire Panel Installation","BOWS"
"46f83a47-4ce1-45a0-b8a3-176e093334ac","","folder-normal","not-started","","step","TRUE","FALSE","Leemark - Site QA","Wet Fire","Infrastructure (Wet and Dry Fire)","Fire Pump Installation"
"3b61af39-8383-4a3d-b560-d9f13a60d25b","","checklist-sectioned","not-started","LM-FOR-40-ITR-302.1 Fire Pump Installation","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Infrastructure (Wet and Dry Fire)","Fire Pump Installation","Electric Pump"
"e447bfa1-398a-4c6d-831b-26c612fb64b9","","checklist-sectioned","not-started","LM-FOR-40-ITR-302.1 Fire Pump Installation","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Infrastructure (Wet and Dry Fire)","Fire Pump Installation","Diesel Pump"
"71c4a8a2-8ef6-4e9c-9467-d9f17a6026fb","","folder-normal","not-started","","step","TRUE","FALSE","Leemark - Site QA","Wet Fire","Booster Cupboard (FSW-ITR-500)"
"dd161536-0e53-45fa-ba7f-4d310185f4dc","","checklist-sectioned","not-started","LM-FOR-40-ITR-302.5 Booster Assembly","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Booster Cupboard (FSW-ITR-500)","Booster Assembly Installation"
"1df7b134-03a4-437c-b53d-bb954b76be4b","","checklist-sectioned","not-started","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Booster Cupboard (FSW-ITR-500)","Sprinkler & Hydrant Hydrostatic Test"
"7465a037-9bb5-4c77-9415-0b5d48b9ad00","","folder-normal","work-in-progress","","step","TRUE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Control Valve Assembly 2 (West)"
"943dc995-bb09-451b-b973-a34f4bfa01d2","","folder-normal","work-in-progress","","step","TRUE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Control Valve Assembly 2 (West)","PAV.DH3"
"1927a0a9-13f3-4a39-a921-57664b0bf031","","checklist-sectioned","work-in-progress","ITP/R Test Report Pre-Action System (V.260521)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Control Valve Assembly 2 (West)","PAV.DH3","Pre-Action Valve"
"2470ca15-a05e-4645-9609-e52727ce5921","","folder-normal","work-in-progress","","step","TRUE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Control Valve Assembly 2 (West)","PAV.LV3"
"ec7413fa-6587-4a47-aeb5-852ea0b968e2","","checklist-sectioned","work-in-progress","ITP/R Test Report Pre-Action System (V.260521)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Control Valve Assembly 2 (West)","PAV.LV3","Pre-Action Valve"
"e71bc759-1e92-4570-9894-febe0865dde2","","folder-normal","work-in-progress","","step","TRUE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Control Valve Assembly 2 (West)","PAV.DH6"
"ccff2703-308a-478c-ad36-2d0c65da0ca5","","checklist-sectioned","work-in-progress","ITP/R Test Report Pre-Action System (V.260521)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Control Valve Assembly 2 (West)","PAV.DH6","Pre-Action Valve"
"4bbcd64d-973c-4d50-9674-9b8418d1421d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Control Valve Assembly 2 (West)","PAV.LV6"
"78b70fb4-0d57-4081-b952-a559f3e8bd35","","checklist-sectioned","work-in-progress","ITP/R Test Report Pre-Action System (V.260521)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Control Valve Assembly 2 (West)","PAV.LV6","Pre-Action Valve"
"3d43fabe-314a-4af6-9f3f-fa1ef06cdc08","","folder-normal","work-in-progress","","step","TRUE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Control Valve Assembly 2 (West)","PAV.DH9"
"9feb3f48-d709-43d7-a329-bc0e9e8b6fb1","","checklist-sectioned","work-in-progress","ITP/R Test Report Pre-Action System (V.260521)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Control Valve Assembly 2 (West)","PAV.DH9","Pre-Action Valve"
"9eb7df84-1536-47d2-8332-49e80c07c164","","folder-normal","work-in-progress","","step","TRUE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Control Valve Assembly 2 (West)","PAV.LV9"
"5d468282-efc4-4a47-b9d5-0e8e383db213","","checklist-sectioned","work-in-progress","ITP/R Test Report Pre-Action System (V.260521)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Control Valve Assembly 2 (West)","PAV.LV9","Pre-Action Valve"
"d6343307-56f8-43b8-ae42-997c2b91020d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Control Valve Assembly 2 (West)","PAV.STO"
"3f0fddb4-7407-474c-9956-a0e2c2409df1","","checklist-sectioned","work-in-progress","ITP/R Test Report Pre-Action System (V.260521)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Control Valve Assembly 2 (West)","PAV.STO","Pre-Action Valve"
"a9f4f325-0f59-49e4-8eb0-27cb161de212","","folder-normal","work-in-progress","","step","TRUE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Control Valve Assembly 2 (West)","PAV.LV8"
"902cd337-eaed-4a22-954e-cd080619f8a4","","checklist-sectioned","work-in-progress","ITP/R Test Report Pre-Action System (V.260521)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Control Valve Assembly 2 (West)","PAV.LV8","Pre-Action Valve"
"88ecccdc-f39f-4923-a4b0-753a088baa33","","folder-normal","work-in-progress","","step","TRUE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Control Valve Assembly 2 (West)","PAV.LV5"
"1365cb64-41aa-4e8c-acdb-b720b1b619cf","","checklist-sectioned","work-in-progress","ITP/R Test Report Pre-Action System (V.260521)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Control Valve Assembly 2 (West)","PAV.LV5","Pre-Action Valve"
"75b554b0-694d-4515-84e6-389b18213154","","folder-normal","work-in-progress","","step","TRUE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Control Valve Assembly 2 (West)","PAV.H"
"d5658575-31ce-4af4-aa9f-07f02d710e5d","","checklist-sectioned","work-in-progress","ITP/R Test Report Pre-Action System (V.260521)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Control Valve Assembly 2 (West)","PAV.H","Pre-Action Valve"
"4a8edbae-196b-4c56-8f2a-45d6f663dabd","","checklist-sectioned","pass","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Control Valve Assembly 2 (West)","PAV.H","Sprinkler Installation/Fitoff"
"93e4df27-404f-45b3-b4b9-801b1b6e38e5","","checklist-sectioned","pass","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Control Valve Assembly 2 (West)","PAV.H","Sprinkler & Hydrant Hydrostatic Test"
"a52e374a-e647-4bb9-bb3a-e6a758358000","","folder-normal","work-in-progress","","step","TRUE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Control Valve Assembly 2 (West)","PAV.LV2"
"371e7e95-da7d-4e22-aae5-a3951c125e09","","checklist-sectioned","work-in-progress","ITP/R Test Report Pre-Action System (V.260521)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Control Valve Assembly 2 (West)","PAV.LV2","Pre-Action Valve"
"b833713f-9f8c-497c-b0d0-c866a0a2bccc","","checklist-sectioned","pass","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Control Valve Assembly 2 (West)","PAV.LV2","Sprinkler Installation/Fitoff"
"33b296ff-bbef-441a-876d-5decf1a9786b","","checklist-sectioned","pass","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Control Valve Assembly 2 (West)","PAV.LV2","Sprinkler & Hydrant Hydrostatic Test"
"c13f0d77-a8a2-4152-ae1e-e4bd4de44a14","","folder-normal","work-in-progress","","step","TRUE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Control Valve Assembly 1 (East)"
