Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,
Bathroom Checklist,,,,,,,,,,
,Scope,,,,,,,,,
,Rows,,,,,,,,,
,,BLOCK 3A,grouping,BLOCK 3A,,,,,,
,,TYPE A3(a) - Grid A-B - Ground Floor,,Bathroom,Ground Floor,Grid A-B,TYPE A3(a),Block 3A,Unit Types,Site QA
,,TYPE A3(a) - Grid A-B - L1,,Bathroom,L1,Grid A-B,TYPE A3(a),Block 3A,Unit Types,Site QA
,,TYPE A3(a) - Grid A-B - L2,,Bathroom,L2,Grid A-B,TYPE A3(a),Block 3A,Unit Types,Site QA
,,TYPE C - Grid B-C - Ground Floor,,Bathroom,Ground Floor,Grid B-C,TYPE C,Block 3A,Unit Types,Site QA
,,TYPE C - Grid B-C - L1,,Bathroom,L1,Grid B-C,TYPE C,Block 3A,Unit Types,Site QA
,,TYPE C - Grid B-C - L2,,Bathroom,L2,Grid B-C,TYPE C,Block 3A,Unit Types,Site QA
,,TYPE C - Grid C-D - Ground Floor,,Bathroom,Ground Floor,Grid C-D,TYPE C,Block 3A,Unit Types,Site QA
,,TYPE C - Grid C-D - L1,,Bathroom,L1,Grid C-D,TYPE C,Block 3A,Unit Types,Site QA
,,TYPE C - Grid C-D - L2,,Bathroom,L2,Grid C-D,TYPE C,Block 3A,Unit Types,Site QA
,,TYPE A3(a) - Grid D-E - Ground Floor,,Bathroom,Ground Floor,Grid D-E,TYPE A3(a),Block 3A,Unit Types,Site QA
,,TYPE A3(a) - Grid D-E - L1,,Bathroom,L1,Grid D-E,TYPE A3(a),Block 3A,Unit Types,Site QA
,,TYPE A3(a) - Grid D-E - L2,,Bathroom,L2,Grid D-E,TYPE A3(a),Block 3A,Unit Types,Site QA
,,BLOCK 3B,grouping,BLOCK 3B,,,,,,
,,TYPE A3(a) - Grid F-G - Ground Floor,,Bathroom,Ground Floor,Grid F-G,TYPE A3(a),Block 3B,Unit Types,Site QA
,,TYPE A3(a) - Grid F-G - L1,,Bathroom,L1,Grid F-G,TYPE A3(a),Block 3B,Unit Types,Site QA
,,TYPE A3(a) - Grid F-G - L2,,Bathroom,L2,Grid F-G,TYPE A3(a),Block 3B,Unit Types,Site QA
