"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e5ee0ca5-1802-4ff3-bde0-73a737835782","","folder-normal","no-status-not-started","","step","TRUE","FALSE","H1302 - SH50 - Recovery - RS0049/RP5 to 10km"
"ea46046a-a8e8-4f96-8575-50ad087c890b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","H1302 - SH50 - Recovery - RS0049/RP5 to 10km","H1302A - Mangamate Stream Bridge"
"51c0e9b6-6b24-462f-9581-775c5fba000f","","folder-normal","work-in-progress","","step","TRUE","FALSE","H1501 - SH50 - Recovery - RS0079/RP0 to 5km"
"8bc0453b-318f-4733-b9ef-a774acf4aa5f","","folder-normal","work-in-progress","","step","TRUE","FALSE","H1501 - SH50 - Recovery - RS0079/RP0 to 5km","H1501A - Tukipo Stream Bridge"
"554c447e-8bc0-463d-a009-094da884b5b7","","checklist-flat","work-in-progress","ITP - Tupiko Stream Bridge - Scour Protection - H1501A - Reinforced Slope (Rock Bolts, Soil Nails)","checklist-flat","FALSE","FALSE","H1501 - SH50 - Recovery - RS0079/RP0 to 5km","H1501A - Tukipo Stream Bridge","ITP - Tupiko Stream Bridge - Scour Protection - H1501A - Reinforced Slope (Rock Bolts, Soil Nails)"
"c6f6d191-399f-4ad6-b749-eeb6cc17b658","","folder-normal","no-status-not-started","","step","TRUE","FALSE","H2001 - SH2 - Recovery - 0658 - 0 to 5km"
"d731f272-75d8-4ad1-933f-07bf1f819dfc","","folder-normal","no-status-not-started","","step","TRUE","FALSE","H2001 - SH2 - Recovery - 0658 - 0 to 5km","H2001A - Ngaruroro River Bridge Flooding"
