"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,
,"Rows"
,,"Project QA","dynamic","project qa"
,"Columns"
,,"Site Observation and Inductions",,"site observation and inductions"
,,"Deliveries",,"deliveries"
,,"Material Storage",,"material storage"
,,"Pre-Construction",,"pre-construction"
,,"Installation (Base Build)",,"installation (base build)"
,,"Installation (Panel Build)",,"installation (panel build)"
,,"Installation (Doors and Windows)",,"installation (doors and windows)"
,,"Penetrations",,"penetrations"
,,"Completion",,"completion"

