Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Overall Progress,,,,,
,Scope,,,,
,Rows,,,,
,,Stage 1,grouping,Stage 1,
,,Demolition / isolations,expanded,Demolition / isolations,Stage 1
,,Cable containment,expanded,Cable containment,Stage 1
,,First fix,expanded,First fix,Stage 1
,,Second fix,expanded,Second fix,Stage 1
,,Stage 2,grouping,Stage 2,
,,Demolition / isolations,expanded,Demolition / isolations,Stage 2
,,Cable containment,expanded,Cable containment,Stage 2
,,First fix,expanded,First fix,Stage 2
,,Second fix,expanded,Second fix,Stage 2
,,Stage 3,grouping,Stage 3,
,,Demolition / isolations,expanded,Demolition / isolations,Stage 3
,,Cable containment,expanded,Cable containment,Stage 3
,,First fix,expanded,First fix,Stage 3
,,Second fix,expanded,Second fix,Stage 3
,Columns,,,,
,,Demolition / isolations,,Demolition / isolations,
,,Catenaries,,Catenaries,
,,Cable tray,,Cable tray,
,,Floor penetrations,,Floor penetrations,
,,Flush boxes,,Flush boxes,
,,Cabling,,Cabling,
,,Power,,Power,
,,Lighting,,Lighting,
,,Data,,Data,
,,Switchboard,,Switchboard,
