"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6d2c0980-f80a-4a20-9417-a7de1fdc4572","","pass","","folder","TRUE","FALSE","Eastern Retaining Wall"
"38116142-8fd9-4a3d-a6c3-89a27e704c97","Child Photographs of Concrete dockets (495b67ca-50e7-563f-ad2c-ac5c44ae1d90): Multiple signoffs are not allowed","pass","QA - Retaining Wall Checklist","checklist","FALSE","FALSE","Eastern Retaining Wall","ERW-48"
"e16dbb24-423d-493f-9ff6-93e71584819d","Child Photographs of Concrete dockets (1113ec3b-2b13-5014-8262-2aabefeaf099): Multiple signoffs are not allowed","pass","QA - Retaining Wall Checklist","checklist","FALSE","FALSE","Eastern Retaining Wall","ERW-47"
"a80484a5-7437-460b-a8c9-b6e69ebcf02f","Child Photographs of Concrete dockets (e0c2a8f8-b9ab-55ae-82b8-a5ca9dbbd88a): Multiple signoffs are not allowed","pass","QA - Retaining Wall Checklist","checklist","FALSE","FALSE","Eastern Retaining Wall","ERW-46"
"3d8f7791-a620-4116-9b3c-65b6df8688e1","Child Photographs of Concrete dockets (88498fbc-ca8c-5484-b27f-f4adcc741157): Multiple signoffs are not allowed","pass","QA - Retaining Wall Checklist","checklist","FALSE","FALSE","Eastern Retaining Wall","ERW-45"
"d381567b-69dd-4fb4-8271-b42c9b42df09","Child Photographs of Concrete dockets (a1ce2ce2-92d4-5ac5-9703-12cd975e25f0): Multiple signoffs are not allowed","pass","QA - Retaining Wall Checklist","checklist","FALSE","FALSE","Eastern Retaining Wall","ERW-44"
"c290d648-84c7-4d29-84f3-fa3d328df5ab","Child Photographs of Concrete dockets (9e4071ea-abac-571e-82c9-d385f33f2fba): Multiple signoffs are not allowed","pass","QA - Retaining Wall Checklist","checklist","FALSE","FALSE","Eastern Retaining Wall","ERW-43"
"1c557a0a-8cc5-4b04-b934-c43fbd09c6e8","Child Photographs of Concrete dockets (9c684dbe-382f-5c2a-ad7f-c0c92f07a7e7): Multiple signoffs are not allowed","pass","QA - Retaining Wall Checklist","checklist","FALSE","FALSE","Eastern Retaining Wall","ERW-42"
"bcfda008-858e-49ef-aa8f-766d14bfe682","Child Photographs of Concrete dockets (c3c87dcb-cab5-5b65-8b98-074ba4367232): Multiple signoffs are not allowed","pass","QA - Retaining Wall Checklist","checklist","FALSE","FALSE","Eastern Retaining Wall","ERW-41"
"63492e7d-d960-4b83-853c-d62c55ce5878","Child Photographs of Concrete dockets (904c32b1-13c6-5055-8ebf-d839b5019e21): Multiple signoffs are not allowed","pass","QA - Retaining Wall Checklist","checklist","FALSE","FALSE","Eastern Retaining Wall","ERW-40"
"06321abb-3a49-4e04-a06a-68c9debc50ea","Child Photographs of Concrete dockets (e937e840-ebd1-5796-ad56-8860f2fc30ad): Multiple signoffs are not allowed","pass","QA - Retaining Wall Checklist","checklist","FALSE","FALSE","Eastern Retaining Wall","ERW-39"
