"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"48dfe161-7a18-49da-bc2a-e921d2a14233","","folder-normal","pass","","step","TRUE","FALSE","Confined Space Entry Permit"
"c23edc2b-cb5a-488f-bfad-9396266d67cf","","checklist-flat","pass","Confined Space Entry Permit","checklist-flat","FALSE","FALSE","Confined Space Entry Permit","Confined Space Entry Permit 14th june"
"4a834a4b-8690-43a5-a5a6-2afb85600bd0","","folder-normal","pass","","step","TRUE","FALSE","Daily Site Diary"
"4b606248-bca3-42bc-847b-5ab80b055172","","checklist-flat","pass","Daily Site Diary","checklist-flat","FALSE","FALSE","Daily Site Diary","Daily Site Diary 24/03/23"
"23b38a8d-331b-4ced-a093-e29d89855bce","","checklist-flat","pass","Daily Site Diary","checklist-flat","FALSE","FALSE","Daily Site Diary","Daily Site Diary 27/03/23"
"c69bbdfd-ae89-4130-bf98-0dfcb94c96ff","","checklist-flat","pass","Daily Site Diary","checklist-flat","FALSE","FALSE","Daily Site Diary","Daily Site Diary 28/04/23"
"efdd7a43-6552-4b90-9635-ae6031e9c68a","","checklist-flat","pass","Daily Site Diary","checklist-flat","FALSE","FALSE","Daily Site Diary","Daily Site Diary 29/03/23"
"730d4f6e-d6f3-43c0-9c60-b657309d3efc","","checklist-flat","pass","Daily Site Diary","checklist-flat","FALSE","FALSE","Daily Site Diary","Daily Site Diary 30/03/23"
"59a5bed8-f525-488f-9cc8-229ac483bb79","","checklist-flat","pass","Daily Site Diary","checklist-flat","FALSE","FALSE","Daily Site Diary","Daily Site Diary 31/03/23"
"7b73ef9c-0fbc-4e64-9b9b-2dd05d0eaeaa","","checklist-flat","pass","Daily Site Diary","checklist-flat","FALSE","FALSE","Daily Site Diary","Daily Site Diary 01/04/23"
"4bb185d2-d159-4eee-a87b-97f6f5c80432","","checklist-flat","pass","Daily Site Diary","checklist-flat","FALSE","FALSE","Daily Site Diary","Daily Site Diary 04/04/23"
"8660c6c8-8edd-4508-b214-bfd8d113659f","","checklist-flat","pass","Daily Site Diary","checklist-flat","FALSE","FALSE","Daily Site Diary","Daily Site Diary 05/04/23"
"a737a38d-fc0c-441e-8c14-d776fadce905","","checklist-flat","pass","Daily Site Diary","checklist-flat","FALSE","FALSE","Daily Site Diary","Daily Site Diary 06/04/23"
"6ae3a19c-b7b0-4126-82f8-94c334e213f3","","checklist-flat","pass","Daily Site Diary","checklist-flat","FALSE","FALSE","Daily Site Diary","Tuesday 11th April 2023"
"4729a80e-e066-453a-b8ce-3bee0ed59ab3","","checklist-flat","pass","Daily Site Diary","checklist-flat","FALSE","FALSE","Daily Site Diary","Daily Site Diary 17th april"
"2921632a-45fc-4b47-abc6-847c598fd6cd","","checklist-flat","pass","Daily Site Diary","checklist-flat","FALSE","FALSE","Daily Site Diary","Daily Site Diary 1 may 2023"
"474ece81-82c0-437f-80ee-1e69a8a8f4b2","","checklist-flat","pass","Daily Site Diary","checklist-flat","FALSE","FALSE","Daily Site Diary","Daily Site Diary may 2nd"
"3f2c9dac-940f-4f28-a139-1e20ad83a651","","checklist-flat","pass","Daily Site Diary","checklist-flat","FALSE","FALSE","Daily Site Diary","Daily Site Diary 1st june"
"12b53c48-36cd-4a23-b48f-41646a1f5b2e","","checklist-flat","pass","Daily Site Diary","checklist-flat","FALSE","FALSE","Daily Site Diary","Daily Site Diary 2nd june"
"ff2f350c-1564-4bc8-89e4-c27e40a695f0","","checklist-flat","pass","Daily Site Diary","checklist-flat","FALSE","FALSE","Daily Site Diary","Daily Site Diary 13th june"
"020d555a-0598-4a71-b2e8-84f8349ec4a4","","folder-normal","pass","","step","TRUE","FALSE","Delivery Dockets"
"9cf39dcc-d024-40d0-b13f-f7730adfe62b","","checklist-flat","pass","Deliveries & Dockets","checklist-flat","FALSE","FALSE","Delivery Dockets","24/03/23"
