Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,
Plumbing - Tower Apartments (Fit-Off),,,,,,,,
,Scope,,,Plumbing Fit-Off,,,,
,Rows,,,,,,,
,,L44,grouping,L44,,,,
,,D4401,expanded,D4401,L44,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
,,D4402,expanded,D4402,L44,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
,,D4403,expanded,D4403,L44,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
,,D4404,expanded,D4404,L44,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
,,D4405,expanded,D4405,L44,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
,,D4406,expanded,D4406,L44,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
,,D4407,expanded,D4407,L44,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
,,D4408,expanded,D4408,L44,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
,,D4409,expanded,D4409,L44,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
,,D4410,expanded,D4410,L44,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
,,D4411,expanded,D4411,L44,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
,,D4412,expanded,D4412,L44,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
,,D4413,expanded,D4413,L44,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
,,L45,grouping,L45,,,,
,,D4501,expanded,D4501,L45,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
,,D4502,expanded,D4502,L45,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
,,D4503,expanded,D4503,L45,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
,,D4504,expanded,D4504,L45,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
,,D4505,expanded,D4505,L45,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
,,D4506,expanded,D4506,L45,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
,,D4507,expanded,D4507,L45,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
,,D4508,expanded,D4508,L45,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
,,D4509,expanded,D4509,L45,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
,,D4510,expanded,D4510,L45,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
,,D4511,expanded,D4511,L45,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
,,D4512,expanded,D4512,L45,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
,,D4513,expanded,D4513,L45,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
,,L46,grouping,L46,,,,
,,D4601,expanded,D4601,L46,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
,,D4602,expanded,D4602,L46,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
,,D4603,expanded,D4603,L46,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
,,D4604,expanded,D4604,L46,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
,,D4605,expanded,D4605,L46,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
,,D4606,expanded,D4606,L46,Tower Apartments (Fit-Off),Plumbing Fit-Off,Tower-4
