"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Plumbing Fit-Off - Common Area"
,"Scope",,
,"Rows"
,,"Common Area - B1","grouping","plumbing fit-off","common amenities (fit-off)","b1"
,,"cleaner room","expanded","cleaner room","plumbing fit-off","common amenities (fit-off)","b1"
,,"retail staff change rooms (m)","expanded","plumbing fit-off","retail staff change rooms (m)","common amenities (fit-off)","b1"
,,"retail staff change rooms (f)","expanded","plumbing fit-off","retail staff change rooms (f)","common amenities (fit-off)","b1"
,,"retail staff change rooms (d)","expanded","plumbing fit-off","common amenities (fit-off)","retail staff change rooms (d)","b1"
,,"Common Area - Gl","grouping","gl","plumbing fit-off","common amenities (fit-off)"
,,"public wc (m)","expanded","plumbing fit-off","public wc (m)","gl","common amenities (fit-off)"
,,"public wc (f)","expanded","plumbing fit-off","gl","public wc (f)","common amenities (fit-off)"
,,"public wc (d)","expanded","plumbing fit-off","public wc (d)","gl","common amenities (fit-off)"
,,"Common Area - L1","grouping","l1","plumbing fit-off","common amenities (fit-off)"
,,"retail wc (m) 1","expanded","plumbing fit-off","l1","common amenities (fit-off)","retail wc (m) 1"
,,"retail wc (f) 1","expanded","retail wc (f) 1","plumbing fit-off","l1","common amenities (fit-off)"
,,"retail wc (d) 1","expanded","plumbing fit-off","retail wc (d) 1","l1","common amenities (fit-off)"
,,"cleaner room 1","expanded","cleaner room 1","plumbing fit-off","l1","common amenities (fit-off)"
,,"retail wc (m) 2","expanded","plumbing fit-off","l1","retail wc (m) 2","common amenities (fit-off)"
,,"retail wc (f) 2","expanded","plumbing fit-off","retail wc (f) 2","l1","common amenities (fit-off)"
,,"retail wc (d) 2","expanded","plumbing fit-off","retail wc (d) 2","l1","common amenities (fit-off)"
,,"cleaner room 2","expanded","cleaner room 2","plumbing fit-off","l1","common amenities (fit-off)"
,,"public wc (f)","expanded","plumbing fit-off","l1","public wc (f)","common amenities (fit-off)"
,,"public wc (d)","expanded","plumbing fit-off","public wc (d)","l1","common amenities (fit-off)"
,,"Common Area - L2","grouping","plumbing fit-off","l2","common amenities (fit-off)"
,,"treatment room (1)","expanded","treatment room (1)","plumbing fit-off","l2","common amenities (fit-off)"
,,"treatment room (2)","expanded","treatment room (2)","plumbing fit-off","l2","common amenities (fit-off)"
,,"Common Area - L9","grouping","l9","plumbing fit-off","common amenities (fit-off)"
,,"kitchen (1)","expanded","plumbing fit-off","l9","common amenities (fit-off)","kitchen (1)"
,,"kitchen (2)","expanded","kitchen (2)","plumbing fit-off","l9","common amenities (fit-off)"
,,"residents wc (m)","expanded","plumbing fit-off","residents wc (m)","l9","common amenities (fit-off)"
,,"residents wc (f)","expanded","plumbing fit-off","residents wc (f)","l9","common amenities (fit-off)"
,,"residents wc (d)","expanded","residents wc (d)","plumbing fit-off","l9","common amenities (fit-off)"
,,"Common Area - L10","grouping","plumbing fit-off","l10","common amenities (fit-off)"
,,"bar sink","expanded","bar sink","plumbing fit-off","l10","common amenities (fit-off)"
,,"public wc (unisex)","expanded","plumbing fit-off","l10","public wc (unisex)","common amenities (fit-off)"
,,"public wc (d)","expanded","plumbing fit-off","l10","public wc (d)","common amenities (fit-off)"
,"Columns"
,,"8.1 FO Toilets & Cisterns Installation",,"8.1 fo toilets & cisterns installation"
,,"8.2 FO Urinals & Cisterns Installation",,"8.2 fo urinals & cisterns installation"
,,"8.3 FO Wash Basins & Tapware Installation",,"8.3 fo wash basins & tapware installation"
,,"8.4 FO Showers & Tapware Installation",,"8.4 fo showers & tapware installation"
,,"8.6 FO Kitchen Sinks & Tapware Installation",,"8.6 fo kitchen sinks & tapware installation"
,,"8.7 FO Dishwashers Installation",,"8.7 fo dishwashers installation"
,,"8.11 FO Hose Taps Installation",,"8.11 fo hose taps installation"
,,"8.12 FO Thermostatic Mixing Valve (TMV) Installation",,"8.12 fo thermostatic mixing valve (tmv) installation"
,,"8.13 FO Tempering Valve (TV) Installation",,"8.13 fo tempering valve (tv) installation"
,,"8.14 FO Gas Cook-Top/Gas Appliance Installation",,"8.14 fo gas cook-top/gas appliance installation"
,,"8.15 FO Cleaners Sinks & Tapware Installation",,"8.15 fo cleaners sinks & tapware installation"

"Plumbing Fit-Off - Hotel Suites"
,"Scope",,
,"Rows"
,,"Hotel Suites - L3","grouping","hotel suites (fit-off)","plumbing fit-off","l3"
,,"h10","expanded","plumbing fit-off","hotel suites (fit-off)","h10","l3"
,,"h11","expanded","h11","plumbing fit-off","hotel suites (fit-off)","l3"
,,"h12","expanded","h12","plumbing fit-off","hotel suites (fit-off)","l3"
,,"h13","expanded","plumbing fit-off","h13","hotel suites (fit-off)","l3"
