type,name,values,prefix,postfix,usage count,user addable,template name,
checklist-sectioned,Standard Window QA,,,,,Yes,Standard Window QA,14f3ecf5-441c-464e-ad3d-43291a5307ca
checkpoint-group,Standard Window Installation,,,,,,,
checkpoint-status,Acceptance of opening,,,,,,,
checkpoint-status,Opening prep.,,,,,,,
checkpoint-status,Window frame check,,,,,,,
checkpoint-status,Window frame installed,,,,,,,
checkpoint-status,Fixing types,,,,,,,
text,Types:,,,,,,,
checkpoint-status,Fixing centres as per shop drawings,,,,,,,
boolean,Photo taken,,,,,,,
checkpoint-status,Embedment length as per shop drawings,,,,,,,
text,Length:,,,,,,,
checkpoint-status,Edge distance as per shop drawings,,,,,,,
text,Distance:,,,,,,,
boolean,Photo taken,,,,,,,
checkpoint-status,Air seal - PEF rod continuous,,,,,,,
boolean,Photo taken,,,,,,,
checkpoint-status,Air seal - sealant width/depth ratio,,,,,,,
checkpoint-status,Fit rainshield angle,,,,,,,
checkpoint-group,Standard Window Final QA,,,,,,,
checkpoint-status,Hardware fitted and functioning,,,,,,,
checkpoint-status,All complete and no visible defects,,,,,,,
checkpoint-status,Remedial Works,,,,,,,
,,,,,,,,
checklist-sectioned,Sliding Door QA,,,,,Yes,Sliding Door QA,eb2c3c94-ea56-4b9d-97e0-1a85899a5a9e
checkpoint-group,Sliding Door Installation,,,,,,,
checkpoint-status,Acceptance of opening,,,,,,,
checkpoint-status,Opening prep.,,,,,,,
checkpoint-status,Door frame check,,,,,,,
checkpoint-status,Install wanz bar,,,,,,,
checkpoint-status,Door frame installed,,,,,,,
checkpoint-status,Fixing types,,,,,,,
text,Types:,,,,,,,
checkpoint-status,Fixing centres as per shop drawings,,,,,,,
boolean,Photo taken,,,,,,,
checkpoint-status,Embedment length as per shop drawings,,,,,,,
text,Length:,,,,,,,
checkpoint-status,Edge distance as per shop drawings,,,,,,,
text,Distance:,,,,,,,
boolean,Photo taken,,,,,,,
checkpoint-status,Air seal - PEF rod continuous,,,,,,,
boolean,Photo taken,,,,,,,
checkpoint-status,Air seal - sealant width/depth ratio,,,,,,,
checkpoint-status,Fit rainshield angle,,,,,,,
checkpoint-group,Sliding Door Final QA,,,,,,,
checkpoint-status,Hardware fitted and functioning,,,,,,,
checkpoint-status,All complete and no visible defects,,,,,,,
checkpoint-status,Remedial Works,,,,,,,
