"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0664fd2f-99a9-4946-88ac-e7672ec505d9","","not-started","","folder","TRUE","FALSE","Site QA"
"da009e2c-bbbf-4b14-98ce-92a5ab1e481a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 1"
"632e60f3-685b-48c1-9db3-72ed54369bc8","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 1","101 - Horahora"
"cf1878d7-66da-4714-9ac6-af31f2409f5e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 1","102 - Oak Tree Bends"
"8a89c3dd-ea7d-4d23-8d8d-8a51d6265161","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 1","103 - Tirau"
"eede14c4-dc25-432a-a383-bca9c6b07f43","","not-started","","folder","TRUE","FALSE","Site QA","Zone 2"
"22f333e0-247f-4b0a-b0ae-f5994e4babf8","","not-started","","folder","TRUE","FALSE","Site QA","Zone 2","201 - Hutton's"
"5bdfd1db-cbd5-4f8f-84b5-96f05f3bbe41","","not-started","ITP - Subsoil Drainage Rev 1","checklist","FALSE","FALSE","Site QA","Zone 2","201 - Hutton's","SSD-ITP - Subsoil Drainage-LOT-001 - 201 - Hutton,s Subsoil Drainage"
"ad971291-9cbf-4b66-8068-b29ee3b8affd","","not-started","ITP - Subsoil Drainage Rev 1","checklist","FALSE","FALSE","Site QA","Zone 2","201 - Hutton's","SSD-ITP - Subsoil Drainage-LOT-002 - Subsoil SH001N-RP2335-2455"
"17dbf353-1a1b-4adc-9f6b-b907d4d97fdc","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 2","202 - Putaruru"
"9f0314c3-0dda-425b-b827-4edaf6bb6908","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 3"
"bd33d8e9-00ba-47be-b562-64daec34f485","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 3","301 - Market Street"
"514beff3-164b-4c6a-8e70-4ece0c8c1d5e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 3","302 - Pinedale North"
"fd0d8a21-12e2-4dd1-8266-e91498d6252c","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 3","303 - Timber Museum"
