"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"62c547b4-f37f-4f3c-b54a-7416deecba8f","","no-status-not-started","","folder","TRUE","FALSE","Earthing and Lightning protection "
"1a3d7b42-db96-4193-a8a3-83f33fadcb40","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation"
"0fa8e141-aa50-4b73-b826-8332bdf72d33","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","Basement 1"
"1791d736-b760-4d63-8fcd-84c50d3d5ab3","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","Basement 2"
"2dbe9216-f198-49a5-b8ba-5e5a3cfe7c45","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","Podium 1"
"d042f71b-ac2f-4cdc-aa20-555bfedf27d6","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","Podium 2"
"3621ed88-02e7-4448-9c19-c748b3f582d3","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 1"
"a837a011-8577-4e3d-8e81-30d22c234ec2","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 2"
"e2b961bb-a5db-434d-b795-b3c61478609e","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 3"
"36b123e7-6bc4-4dee-92d8-71a92dcf3310","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 4"
"2e62181b-4025-48f3-a7ef-01cd2fce51da","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 5"
"14fdaf1d-b4e6-4d03-b179-7720c6f55453","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 6"
"da176eeb-37e3-4fa9-8356-ef9f7b54e3ce","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 7"
"1c7bee14-4d6e-4730-a7e0-6a0bfa100c18","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 8"
"eb98f801-6f4c-4113-8af5-92267745d455","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 9"
"028a51be-9ecf-4fdb-b93a-544a269e9595","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 10"
"16c63eb6-d6a0-4084-9935-2004381183de","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 11"
"35580d87-a615-474c-af7c-544948720a8d","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 12"
"1f487b21-f5b5-4490-bd34-707606ac84c1","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 13"
"80f58e3c-58a4-40a8-a3d1-c5238834af74","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 14"
"386fbf1c-2248-4fd2-8af7-9209215216fe","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 15"
"54fac2f5-04d1-4d23-a27f-d2bb447720cc","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 16"
"1ace124a-9781-4aa9-8e9f-39ebf51767fe","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 17"
