"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"64aa2dd4-8306-4e75-ba95-93bc025e2066","","checklist-sectioned","pass","SYM-ITP-012 - Stratavaults (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","12) ITP-012 Stratavault","SYM-PURL-STV-1B-1 (SV2)"
"67bdf82f-e894-4abf-bbfd-bce986733709","","folder-normal","pass","","step","TRUE","FALSE","Construction","STAGE 1","ZONE 1B","16) ITP-016 GPT"
"709d1ed6-3448-4d9a-a7ac-032d6cfb5974","","checklist-sectioned","pass","SYM-ITP-016 - Gross Pollutant Trap & Diversion Structure PV-GPT-2 (RevA)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","16) ITP-016 GPT","SYM-PURL-GPT-1B-1 (PV-GPT-2)"
"7a946ddc-f307-454a-95e5-0ccd0d264b5b","","folder-normal","not-started","","step","TRUE","FALSE","Construction","STAGE 1","ZONE 1B","17) ITP-017 Traffic Signals"
"a724ac42-aa56-48bc-8771-2f85497f8779","","checklist-sectioned","not-started","SYM-ITP-017 - Traffic Signals (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","17) ITP-017 Traffic Signals","SYM-PURL-TRS-1B-1"
"67f596ee-a843-4b02-a8de-bf3d3cf73824","","folder-normal","not-started","","step","TRUE","FALSE","Construction","STAGE 1","ZONE 1B","18) ITP-018 Public Lighting"
"df650c9a-bdc9-4616-afd5-a4841a53e324","","checklist-sectioned","not-started","SYM-ITP-018 - Public Lighting (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","18) ITP-018 Public Lighting","SYM-PURL-PUL-1B-1"
"84fdd7df-1443-485b-b7be-14abe30d2a52","","folder-normal","not-started","","step","TRUE","FALSE","Construction","STAGE 1","ZONE 1B","20) ITP-020 Paving Works"
"0cfe8ee7-f492-43a4-8942-a4f2e0cb368c","","checklist-sectioned","not-started","SYM-ITP-020 - Paving (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","20) ITP-020 Paving Works","SYM-PURL-PAV-1B-1 (BLUESTONE PAVING)"
"60d50199-06a1-4a81-9389-969cb37095f5","","checklist-sectioned","not-started","SYM-ITP-020 - Paving (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","20) ITP-020 Paving Works","SYM-PURL-PAV-1B-2 (BLUESTONE KERB)"
"c7922387-d697-4a55-9595-33ab5616bbfb","","folder-normal","not-started","","step","TRUE","FALSE","Construction","STAGE 1","ZONE 1C"
"145acbbb-d535-4bc8-a8cd-0080f44e8e70","","folder-normal","not-started","","step","TRUE","FALSE","Construction","STAGE 1","ZONE 1C","17) ITP-017 Traffic Signals"
"8f18f18b-036c-4a18-88ae-461e8a554ef1","","checklist-sectioned","not-started","SYM-ITP-017 - Traffic Signals (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1C","17) ITP-017 Traffic Signals","SYM-PURL-TRS-1C-1"
"7dd6c988-4021-4e4e-99cf-a29018f65ef5","","folder-normal","not-started","","step","TRUE","FALSE","Construction","STAGE 1","ZONE 1C","18) ITP-018 Public Lighting"
"e7232f38-f5ca-4ee8-b295-f9517f2db55a","","checklist-sectioned","not-started","SYM-ITP-018 - Public Lighting (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1C","18) ITP-018 Public Lighting","SYM-PURL-PUL-1C-1"
"dc4c4fa9-8bde-4b91-ba50-14478b305b70","","folder-normal","work-in-progress","","step","TRUE","FALSE","Construction","STAGE 1","ZONE 1D"
"8a31c085-c513-41c9-acc9-0dc7d0f3ca86","","folder-normal","work-in-progress","","step","TRUE","FALSE","Construction","STAGE 1","ZONE 1D","1) ITP-001 Subgrade"
"93eeb06a-b03e-44d0-8fed-4e1a6f043fcd","","checklist-sectioned","work-in-progress","SYM-ITP-001 - Subgrade Preparation (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","1) ITP-001 Subgrade","SYM-PURL-SUB-2E-1 (F9 Lot 1)"
"1b1e988a-6fd9-46ad-a9ab-5ad0e1164f31","","folder-normal","pass","","step","TRUE","FALSE","Construction","STAGE 1","ZONE 1D","2) ITP-002 Flexible Pavement"
"1978a8af-807e-4d96-b089-77dbdb8e9c2a","","checklist-sectioned","pass","SYM-ITP-002 - Flexible Pavements (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","2) ITP-002 Flexible Pavement","SYM-PURL-PFLX-1D-1 (PA2 Subbase)"
"563d929f-9b53-46fb-8d61-881af7e08329","","checklist-sectioned","pass","SYM-ITP-002 - Flexible Pavements (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","2) ITP-002 Flexible Pavement","SYM-PURL-PFLX-1D-2 (F3 Subbase)"
"4a8c03d7-88f8-44c5-a294-ed9b3867c5cb","","checklist-sectioned","pass","SYM-ITP-002 - Flexible Pavements (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","2) ITP-002 Flexible Pavement","SYM-PURL-PFLX-1D-3 (FP1 LSB)"
"0e9c949e-a32a-479b-bdec-a0ab15e8d536","","checklist-sectioned","pass","SYM-ITP-002 - Flexible Pavements (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","2) ITP-002 Flexible Pavement","SYM-PURL-PFLX-1D-4 (FP1 USB)"
"c3ba5bf9-f1c2-4e06-927d-81af50b304a7","","folder-normal","work-in-progress","","step","TRUE","FALSE","Construction","STAGE 1","ZONE 1D","3) ITP-003 Asphalt"
"b25a4a9f-1d6f-4ecd-bba0-562dbde6bf34","","checklist-sectioned","work-in-progress","SYM-ITP-003 - Asphalt Placement 1 (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","3) ITP-003 Asphalt","SYM-PURL-ASP-1D-1 (FP1 BC)"
