"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,
,"Rows"
,,"Level B2 - Zone 3","dynamic","level b2","zone 3","on site qa"
,,"Level B1 - Zone 1","dynamic","level b1","on site qa","zone 1"
,,"Level B1 - Zone 2","dynamic","zone 2","level b1","on site qa"
,,"Level B1 - Zone 3","dynamic","zone 3","level b1","on site qa"
,,"Level 00 - Zone 1","dynamic","level 00","on site qa","zone 1"
,,"Level 00 - Zone 2","dynamic","zone 2","level 00","on site qa"
,,"Level 01 - Zone 1","dynamic","level 01","on site qa","zone 1"
,,"Level 01 - Zone 2","dynamic","level 01","zone 2","on site qa"
,,"Level 01 - Zone 3","dynamic","level 01","zone 3","on site qa"
,,"Level 02 - Zone 1","dynamic","on site qa","level 02","zone 1"
,,"Level 02 - Zone 2","dynamic","zone 2","on site qa","level 02"
,,"Level 03 - Zone 1","dynamic","level 03","on site qa","zone 1"
,,"Level 03 - Zone 2","dynamic","zone 2","level 03","on site qa"
,,"Level 04 - Zone 1","dynamic","level 04","on site qa","zone 1"
,,"Level 04 - Zone 2","dynamic","zone 2","level 04","on site qa"
,,"Level 05 - Zone 1","dynamic","level 05","on site qa","zone 1"
,,"Level 05 - Zone 2","dynamic","level 05","zone 2","on site qa"
,,"Level 06 - Zone 1","dynamic","on site qa","level 06","zone 1"
,,"Level 06 - Zone 2","dynamic","zone 2","on site qa","level 06"
,,"Level 07 - Zone 1","dynamic","level 07","on site qa","zone 1"
,,"Level 07 - Zone 2","dynamic","zone 2","level 07","on site qa"
,"Columns"
,,"Daily QC Checklist",,"daily qc checklist"
,,"QC Inspection Report",,"qc inspection report"
,,"QA Inspection Report",,"qa inspection report"
,,"Area Completion",,"area completion"

