Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Rough-in Overall Progress,,,,,
,Scope,,,,
,Rows,,,,
,,Basement,,Basement,Rough-in
,,Level 1,,Level 1,Rough-in
,,Level 2,,Level 2,Rough-in
,,Level 3,,Level 3,Rough-in
,,Level 4,,Level 4,Rough-in
,,Level 5,,Level 5,Rough-in
,,Level 6,,Level 6,Rough-in
,,Level 7,,Level 7,Rough-in
,,Level 8,,Level 8,Rough-in
,,Level 9,,Level 9,Rough-in
,,Level 10,,Level 10,Rough-in
,,Level 11,,Level 11,Rough-in
,,Level 12,,Level 12,Rough-in
,,Level 13,,Level 13,Rough-in
,,Level 14,,Level 14,Rough-in
,,Level 15,,Level 15,Rough-in
,,Level 16,,Level 16,Rough-in
,,Level 17,,Level 17,Rough-in
,,Level 18,,Level 18,Rough-in
,Columns,,,,
,,Pipework,,Pipework,
,,Ductwork,,Ductwork,
,,Electrical Wiring,,Electrical Wiring,
,,Insulation,,Insulation,
,,Fire Dampers,,Fire Dampers,
,,Access Panel,,Access Panel,
,,FCU's,,FCU's,
,,Fans,,Fans,
