"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ae1b1994-1bb7-4cfe-9c9e-4941ee7cfa0e","","folder-normal","work-in-progress","","step","TRUE","FALSE","R&B Zone 1"
"6863507c-0bb7-4348-b7fa-f98bb786b413","","folder-normal","work-in-progress","","step","TRUE","FALSE","R&B Zone 1","Level 0"
"6fcb0984-2212-4dea-88f3-48b588363c8c","","checklist-flat","work-in-progress","QA - Brickwork","checklist-flat","FALSE","FALSE","R&B Zone 1","Level 0","QA - Brickwork"
"67c2130a-3144-41ca-a8c1-250a8ed3a06a","","checklist-flat","work-in-progress","QA - Blockwork","checklist-flat","FALSE","FALSE","R&B Zone 1","Level 0","QA - Blockwork"
"72605f4d-fcb6-4edc-a779-78c8bf5090d0","","folder-normal","work-in-progress","","step","TRUE","FALSE","R&B Zone 1","Level 1"
"816b8b0a-36cd-4054-bb22-ba504724dce9","","checklist-flat","work-in-progress","a9e3a0162a71f2bde082d63c2c9de400ee8bbae38189b16f72284788540d8d0e","checklist-flat","FALSE","FALSE","R&B Zone 1","Level 1","QA - Brickwork"
"c8d0b396-4456-4e73-be50-a1ec7c7e727d","","folder-normal","work-in-progress","","step","TRUE","FALSE","R&B Zone 2"
"6926692f-458f-4eb9-bef2-2386ef4053b8","","folder-normal","work-in-progress","","step","TRUE","FALSE","R&B Zone 2","Level 0"
"92779499-db7a-4d45-9d71-f5d063198bc1","","checklist-flat","work-in-progress","c61268dfd23e20ccc485cf7c3bb98e0c8ad8c7cfe0ea289109f00e6e14434ef8","checklist-flat","FALSE","FALSE","R&B Zone 2","Level 0","QA - Brickwork"
"575c38b1-e00c-4bac-9425-758bf4a181ef","","folder-normal","work-in-progress","","step","TRUE","FALSE","R&B Zone 2","Level 1"
"cf75aaf9-4281-4987-bf1c-3941bb116800","","checklist-flat","work-in-progress","QA - Brickwork (Zone 2)","checklist-flat","FALSE","FALSE","R&B Zone 2","Level 1","QA - Brickwork"
"8a9769b4-75dc-4f88-889c-b9419a1189b2","","folder-normal","work-in-progress","","step","TRUE","FALSE","R&B Zone 2","Level 2"
"6c7030a8-8133-481a-8b22-4ec6f4f3f543","","checklist-flat","work-in-progress","QA - Brickwork (Zone 2)","checklist-flat","FALSE","FALSE","R&B Zone 2","Level 2","QA - Brickwork"
"27757a20-27ab-41fa-8dd2-905231ae7a8d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Villa's"
"3ab07590-9ac9-4524-9f2e-b9083dada6e1","","folder-normal","pass","","step","TRUE","FALSE","Villa's","Block 69"
"a73eeeb7-7079-43a8-9189-0e86074dacd6","","checklist-flat","pass","QA - Brickwork","checklist-flat","FALSE","FALSE","Villa's","Block 69","QA - Brickwork"
"25f5022b-b446-4bbc-98fd-e178aa401914","","folder-normal","pass","","step","TRUE","FALSE","Villa's","Block 01"
"62ebfeb9-8a54-4365-a7f1-53509e49c7ea","","checklist-flat","pass","QA - Brickwork","checklist-flat","FALSE","FALSE","Villa's","Block 01","QA - Brickwork"
"cd8ca625-092e-4e91-8994-8e4ed06adba5","","folder-normal","pass","","step","TRUE","FALSE","Villa's","Block 70"
"7c5cf47c-0071-4b86-b3dc-1a9ac6cf48f7","","checklist-flat","pass","QA - Brickwork","checklist-flat","FALSE","FALSE","Villa's","Block 70","QA - Brickwork"
"79997946-068f-4d52-8580-2f377a4d6038","","folder-normal","pass","","step","TRUE","FALSE","Villa's","Block 02"
"37b92ae3-ffa1-4967-bcb4-215f9abc2692","","checklist-flat","pass","QA - Brickwork","checklist-flat","FALSE","FALSE","Villa's","Block 02","QA - Brickwork"
"030f6790-57b5-4e1a-b980-a0572a1f3f74","","folder-normal","pass","","step","TRUE","FALSE","Villa's","Block 27 - Bricklaying "
"b8bb3a4b-6bdd-4f37-8b8f-dbaf676ed022","","checklist-flat","pass","QA - Brickwork","checklist-flat","FALSE","FALSE","Villa's","Block 27 - Bricklaying ","QA - Brickwork"
"a3276015-a042-4f24-b601-81a0ae5e2403","","folder-normal","pass","","step","TRUE","FALSE","Villa's","Block 34"
"645e6e57-f3b3-46f5-a1a2-4c8d0b0f8545","","checklist-flat","pass","QA - Brickwork","checklist-flat","FALSE","FALSE","Villa's","Block 34","QA - Brickwork"
"6a94fb35-e29d-4881-aed9-6a53eb6e1f2e","","folder-normal","pass","","step","TRUE","FALSE","Villa's","Block 27 - Tiling"
"fe64ddb7-d104-488c-8372-f81b56e1ffea","","checklist-flat","pass","QA - Tiling","checklist-flat","FALSE","FALSE","Villa's","Block 27 - Tiling","QA - Tiling"
"57be34ed-92cb-4e8e-83c4-05de5e120f1e","","folder-normal","pass","","step","TRUE","FALSE","Villa's","Block 32"
"c5a8ae7c-5ba1-44bd-9887-031af2f57226","","checklist-flat","pass","QA - Brickwork","checklist-flat","FALSE","FALSE","Villa's","Block 32","QA - Brickwork"
"32af7833-5725-4e1b-a51b-78c0e8102f88","","folder-normal","pass","","step","TRUE","FALSE","Villa's","Block 36"
"d3936279-54ec-4ebe-8304-7a7f3cf7cad2","","checklist-flat","pass","QA - Brickwork","checklist-flat","FALSE","FALSE","Villa's","Block 36","QA - Brickwork"
"3d9977cd-29a5-482b-999d-e72da98a13f2","","folder-normal","pass","","step","TRUE","FALSE","Villa's","Passive fire checks "
"a3615611-a7e1-4771-9646-f49d74c7a387","","folder-normal","pass","","step","TRUE","FALSE","Villa's","Passive fire checks ","block 58"
"818fad3e-7a0c-4763-8c9d-1d0cc20ea9af","","checklist-flat","pass","Passive Fire Checks","checklist-flat","FALSE","FALSE","Villa's","Passive fire checks ","block 58","Passive Fire Checks"
"e4a9720c-b5a9-4206-89e7-598554872f69","","folder-normal","pass","","step","TRUE","FALSE","Villa's","Passive fire checks ","Block 74"
"5ec3e351-c5ad-4b6d-a46e-f12456d7e447","","checklist-flat","pass","Passive Fire Checks","checklist-flat","FALSE","FALSE","Villa's","Passive fire checks ","Block 74","Passive Fire Checks"
"9947688a-2c6f-49d6-8fda-1fa3c4e4cbd5","","folder-normal","pass","","step","TRUE","FALSE","Villa's","Passive fire checks ","Block 73"
"ac573101-df30-4573-af97-400d15e1f8af","","checklist-flat","pass","Passive Fire Checks","checklist-flat","FALSE","FALSE","Villa's","Passive fire checks ","Block 73","Passive Fire Checks"
"9b3eff90-355a-42b4-9d01-2f0d0825f72e","","folder-normal","pass","","step","TRUE","FALSE","Villa's","Passive fire checks ","Block 67"
"a58aca0a-0f3a-4aa2-b852-a499de0fb676","","checklist-flat","pass","Passive Fire Checks","checklist-flat","FALSE","FALSE","Villa's","Passive fire checks ","Block 67","Passive Fire Checks"
"e495b06e-f4fe-45ea-bdff-e9298285545e","","folder-normal","pass","","step","TRUE","FALSE","Villa's","Passive fire checks ","Block 44"
"2c954332-ac57-43a7-b185-c42fd6f548fd","","checklist-flat","pass","Passive Fire Checks","checklist-flat","FALSE","FALSE","Villa's","Passive fire checks ","Block 44","Passive Fire Checks"
"1c0fca70-1ea9-4b35-a97f-c65d1bb230a0","","folder-normal","pass","","step","TRUE","FALSE","Villa's","Passive fire checks ","Block 40"
