"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"cc9bc8f7-a0c4-4655-8bcd-80e4c4330afe","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"e9a3d784-f609-45a5-a26f-fe516dec6e06","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","McGregor Rd - North"
"f27bee02-1442-4fec-994c-6face971f94c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Verge LHS - Layer 3"
"0925c618-dc42-4fa4-af6e-090cb3f86339","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Verge LHS - Layer 2"
"e9312ba1-bb4b-4789-a5ca-71a8f5ae32c0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Verge LHS - Layer 1"
"03821da4-99b8-41d8-ac72-18ecf9fc79c3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Verge RHS - Layer 3"
"b3e2cd03-3d8a-44bb-8c4b-1a8d2ef61910","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Verge RHS - Layer 2"
"6a82cf9e-d013-4d05-9e84-c3c51c9f3c93","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Verge RHS - Layer 1"
"935529f6-c0b1-45cb-8fd3-61f768b300bd","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Type V Asphalt"
"8154c276-7d6a-4d0e-9368-77166e246ec0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Type SS Asphalt"
"86766c37-d8bd-4e57-aff1-e49bc364e759","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Type SF Asphalt"
"050faa33-afc9-497a-9792-bd0cfc6be2e3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Upper Subbase - CTCR"
"bde6d7c8-ff98-42d3-8989-3844f4e7d603","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Lower Subbase - Class 4 Crushed Rock"
"5dac2f40-ed04-4a03-a814-1b8647eca987","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Type B - Layer 6"
"58d7e86b-ae88-412f-bf26-b4ba864054c5","","checklist-sectioned","not-started","1630-P200-SYM-QAC-ITP-0007 Fill Earthworks Type B","checklist","FALSE","FALSE","Site QA","McGregor Rd - North","Type B - Layer 6","Change to Lot # when allocated"
"00e673e9-95d8-4daa-8f09-733fc7335a47","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Type B - Layer 5"
"7c711c59-5704-4cfb-8e6a-9a97c0d7d49c","","checklist-sectioned","not-started","1630-P200-SYM-QAC-ITP-0007 Fill Earthworks Type B","checklist","FALSE","FALSE","Site QA","McGregor Rd - North","Type B - Layer 5","Change to Lot # when allocated"
"6229e16e-f3df-4398-87d7-9d4c1c4b56ed","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Type B - Layer 4"
"f91bc378-c9e9-46ae-94f2-94a89a60e103","","checklist-sectioned","work-in-progress","1630-P200-SYM-QAC-ITP-0007 Fill Earthworks Type B","checklist","FALSE","FALSE","Site QA","McGregor Rd - North","Type B - Layer 4","1630-SYM-EAL-0076"
"c6bba707-3f6f-4924-9f26-6a712609f7f2","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Type B - Layer 3"
"8fe03727-1c89-4330-85c0-28b46db380c5","","checklist-sectioned","work-in-progress","1630-P200-SYM-QAC-ITP-0007 Fill Earthworks Type B","checklist","FALSE","FALSE","Site QA","McGregor Rd - North","Type B - Layer 3","1630-SYM-EAL-0073"
"4cc02279-82b5-469c-afd1-e95ddd737794","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Type B - Layer 2"
"3e7f7458-c989-4510-a55d-b8278345b888","","checklist-sectioned","work-in-progress","1630-P200-SYM-QAC-ITP-0007 Fill Earthworks Type B","checklist","FALSE","FALSE","Site QA","McGregor Rd - North","Type B - Layer 2","1630-SYM-EAL-0071"
"3253fed5-31ea-4628-b083-7d7b04e59cf3","","checklist-sectioned","work-in-progress","1630-P200-SYM-QAC-ITP-0007 Fill Earthworks Type B","checklist","FALSE","FALSE","Site QA","McGregor Rd - North","Type B - Layer 2","1630-SYM-EAL-0072"
"408a1889-a30e-4419-b29f-05d18d471f42","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Type B - Layer 1"
"f9e26bfa-81bc-4b10-9b94-eb8d266acf1a","","checklist-sectioned","work-in-progress","1630-P200-SYM-QAC-ITP-0007 Fill Earthworks Type B","checklist","FALSE","FALSE","Site QA","McGregor Rd - North","Type B - Layer 1","1630-SYM-EAL-0070"
"2ee24b03-0da5-4bcc-8756-5e69240a9db8","","checklist-sectioned","not-started","1630-P200-SYM-QAC-ITP-0001 Site Clearing and Grubbing","checklist","FALSE","FALSE","Site QA","McGregor Rd - North","Clearing & Grubbing"
"84d60c7b-cdb4-45a1-9027-d8eca57a5ff9","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Topsoil Strip"
"060b7aae-f69a-4d5f-afe5-c91e8ed15326","","checklist-sectioned","not-started","1630-P200-SYM-QAC-ITP-0001 Site Clearing and Grubbing","checklist","FALSE","FALSE","Site QA","McGregor Rd - North","Topsoil Strip","1630-SYM-EAL-0015"
"8b597f55-1264-4bac-938b-f8aa514a05ea","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Cut Floor"
"55103e0a-f71a-4f0a-a366-afa0d2e1e39f","","checklist-sectioned","not-started","1630-P200-SYM-QAC-ITP-0002 Cut Floor/Topsoil Stripping","checklist","FALSE","FALSE","Site QA","McGregor Rd - North","Cut Floor","1630-SYM-CIL-0001"
"4cc78e83-8270-4bce-b651-34ab09230218","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - South"
"9d69fad3-d3eb-4f78-ab80-c107509a369b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - South","Verge LHS - Layer 3"
"902c266f-7dc3-4232-ba9a-d22973345261","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - South","Verge LHS - Layer 2"
"4885bea8-1207-4771-84cc-7937063a2b03","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - South","Verge LHS - Layer 1"
