Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,
fbbf89a9-70a7-47cb-a307-1fcfe626a9dd,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 4,South,Columns,C9,Electrical Services
a32d736d-1dfa-4595-8a3b-07983e6cd76a,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 4,South,Columns,C10,Electrical Services
26afc227-4d4f-4940-9f55-0f632798550e,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 4,South,Columns,C11,Electrical Services
28fceb2b-9484-401e-b5ba-b5cfab32186b,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 4,South,Columns,C13,Electrical Services
081418a4-3a78-4f6e-9356-fbdadfabf5bd,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 4,West,Columns,C8,Electrical Services
b107d047-b224-471f-b858-30fe837f2981,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 4,North,Columns,C2,Electrical Services
56bc6ac0-0a67-4fa6-ae9d-458954ee3fbf,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 4,North,Columns,C4,Electrical Services
1266a5c0-4339-4f23-b526-856ddd61a3d4,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 4,North,Columns,C6,Electrical Services
e66e8466-45e9-4651-9489-6c5238c1e054,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 5,South,Columns,C9,Electrical Services
a367db04-4b43-4d9d-a95c-32107dbfd2ce,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 5,South,Columns,C10,Electrical Services
1ba857fa-3fd3-49c4-a9f2-e497c903c27a,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 5,South,Columns,C11,Electrical Services
9a22081c-30d0-4023-8143-4f1c49b35d97,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 5,South,Columns,C13,Electrical Services
432eaf72-a031-4b9d-9a1e-3271095f4aa9,,checklist-sectioned,not-applicable,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 5,West,Columns,C8,Electrical Services
080a2de9-b509-4093-967e-d51fb82833dd,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 5,North,Columns,C2,Electrical Services
368991cc-758a-4db8-8290-85a15d8f7274,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 5,North,Columns,C4,Electrical Services
cb5c95be-4460-4c78-882c-0e06914b21e0,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 5,North,Columns,C6,Electrical Services
4dd2e1aa-6035-433d-a06f-251be7e7d2b8,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 6,South,Columns,C9,Electrical Services
de86cc07-269c-47cd-b7e8-da3a00ed87d6,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 6,South,Columns,C10,Electrical Services
f7268f55-a88e-4b58-ad7b-619ec6bc6d06,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 6,South,Columns,C11,Electrical Services
1f4b658e-54e8-4e93-a3f0-55e93f84f87d,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 6,South,Columns,C13,Electrical Services
