"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e7a84e65-2b34-40aa-a271-5d199db12a60","","folder-normal","pass","","step","TRUE","FALSE","Graeme Road"
"b4c8be45-9ed9-40df-b9b4-1637852b6e69","","checklist-flat","pass","Graeme Ave - ITP - Raised Pedestrian Crossing","checklist-flat","FALSE","FALSE","Graeme Road","ITP - Raised Pedestrian Crossing"
"31836c4a-ea07-41f0-959c-260f9734f6a7","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Graeme Road","ITP - Enabling Works - Footpath, Kerb and channel"
"be0b3125-c77d-458f-b433-e3a28e189d17","","checklist-flat","pass","Graeme Ave - ITP - Stormwater Drainage","checklist-flat","FALSE","FALSE","Graeme Road","ITP - Stormwater Drainage"
"edf572f8-3fd5-4eb7-9e8a-1da1e6fa3a40","","folder-normal","pass","","step","TRUE","FALSE","Stancombe Road"
"c0ea0a3b-45c5-444b-ab29-3436ae4330e2","","checklist-sectioned","pass","Stancombe Road - ITP - Enabling Works - Footpath + Pram","checklist","FALSE","FALSE","Stancombe Road","ITP - Enabling Works - Footpath + Pram"
"49225bf8-0b23-4aff-ad20-1a5dc1f0a20b","","checklist-sectioned","pass","Stancombe Road - ITP - Traffic Islands","checklist","FALSE","FALSE","Stancombe Road","ITP - Traffic Islands"
"89e2c651-e80e-4033-bcfd-73dbf2a02c3f","","folder-normal","pass","","step","TRUE","FALSE","Portland Road"
"6b2acbcb-facc-4051-94d4-83e3be4a6ebf","","checklist-sectioned","pass","Portland Road - ITP - Enabling Works - Footpath, Kerb and Channel","checklist","FALSE","FALSE","Portland Road","ITP - Enabling Works - Footpath, Kerb and Channel"
"2deaba16-01bd-4f2e-a076-080725b95419","","checklist-flat","pass","Portland Road - ITP - Raised Pedestrian Crossing","checklist-flat","FALSE","FALSE","Portland Road","ITP - Raised Pedestrian Crossing"
"f48e30bd-4120-4e1e-8355-c20c90df3894","","checklist-flat","pass","Portland Road - ITP - Stormwater Drainage","checklist-flat","FALSE","FALSE","Portland Road","ITP - Stormwater Drainage"
"c36395ad-ce7c-4e84-886d-a58ea79afb40","","folder-normal","work-in-progress","","step","TRUE","FALSE","Raleigh Road Bus Lane"
"8c4906a4-b981-4214-9591-2e8745043f3f","","folder-normal","pass","","step","TRUE","FALSE","Raleigh Road Bus Lane","Midblock 1"
"5731bef7-904e-40e6-85ac-40228f5d24f3","","checklist-sectioned","pass","Raleigh Road Bus Lane - ITP - Civil Works","checklist","FALSE","FALSE","Raleigh Road Bus Lane","Midblock 1","ITP - Civil Works"
