Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,
Fit Out - Basement,,,,,,,,
,Scope,,,Fit Out,,,,
,Rows,,,,,,,
,,Basement 4,,fit out,basement 4,,,
,,Basement 3,,fit out,basement 3,,,
,,Basement 2,,fit out,basement 2,,,
,,Basement 1,,fit out,basement 1,,,
,Columns,,,,,,,
,,Lift 01,,lift 01,,,,
,,Lift 02,,lift 02,,,,
,,Lift 04,,lift 04,,,,
,,Lift 05,,lift 05,,,,
,,Lift 06,,lift 06,,,,
,,Lift 07,,lift 07,,,,
,,Lift 08,,lift 08,,,,
,,FS01,,fs01,,,,
,,FS03,,fs03,,,,
,,FS05,,fs05,,,,
,,Carpark & Line Markings,,carpark & line markings,,,,
,,Storage Room,,storage room,,,,
,,Storage Lockers,,storage lockers,,,,
,,Bike Rack,,bike rack,,,,
,,Framing/Carpentry,,framing/carpentry,,,,
,,Plumbing,,plumbing,,,,
,,Electrical,,electrical,,,,
,,Mechanical,,mechanical,,,,
,,Fire Services,,fire services,,,,
,,,,,,,,
,,,,,,,,
Building A - Fit-Out Progress,,,,,,,,
,Scope,,,Building A,,,,
,Rows,,,,,,,
,,Waterproofing,grouping,Waterproofing,,,,
,,Ground Floor - Walkway,,Walkway Waterproofing,Ground Floor,Building A,Fit Out,Site QA
,,Roof,,Roof Waterproofing,Building A,Fit Out,Site QA,
,,Ground Floor,grouping,ground floor,building a,,,
,,"Lobby, Lift & Stairs",,ground floor,fit out,building a,"lobby, lift & stairs",
,,Commercial Space,,ground floor,commercial space,fit out,building a,
,,Level 1,grouping,building a,level 1,,,
,,"Lobby, Lift & Stairs",,fit out,building a,level 1,"lobby, lift & stairs",
,,Commercial Space,,commercial space,fit out,building a,level 1,
,,Level 2,dynamic,fit out,building a,level 2,,
,,Level 3,dynamic,fit out,building a,level 3,,
,,Level 4,dynamic,level 4,fit out,building a,,
,,Level 5,dynamic,fit out,level 5,building a,,
,,Level 6,dynamic,fit out,building a,level 6,,
,,Level 7,dynamic,fit out,building a,level 7,,
,,Level 8,dynamic,level 8,fit out,building a,,
,,Level 9,dynamic,fit out,level 9,building a,,
,,Level 10,dynamic,fit out,building a,level 10,,
,,Level 11,dynamic,fit out,building a,level 11,,
,,Level 12,dynamic,fit out,level 12,building a,,
,,Level 13,dynamic,fit out,building a,level 13,,
,,Level 14,dynamic,fit out,building a,level 14,,
,,Level 15,dynamic,fit out,level 15,building a,,
,,Level 16,dynamic,level 16,fit out,building a,,
,,Level 17,dynamic,fit out,building a,level 17,,
,,Level 18,dynamic,fit out,building a,level 18,,
,,Level 19,dynamic,fit out,level 19,building a,,
,,Level 20,dynamic,fit out,building a,level 20,,
,Columns,,,,,,,
,,Framing,,framing,,,,
,,Plumbing Rough-In,,plumbing rough-in,,,,
,,Fire Rough-In,,fire rough-in,,,,
,,Electrical Rough-In,,electrical rough-in,,,,
,,Mechanical Rough-In,,mechanical rough-in,,,,
,,Pre-Lining,,pre-lining,,,,
,,Post-Lining,,post-lining,,,,
,,Carpet,,carpet,,,,
,,Joinery Fit-Out,,joinery fit-out,,,,
,,Services Fit-Out,,services fit-out,,,,
,,Internal Painting,,internal painting,,,,
,,External Waterproofing,,External Waterproofing,,,,
,,Internal Waterproofing,,Internal Waterproofing,,,,
,,Tiling,,Tiling,,,,
,,Slab Edges,,Slab Edges,,,,
,,Walkway Waterproofing,,Walkway Waterproofing,,,,
,,Roof Waterproofing,,Roof Waterproofing,,,,
,,,,,,,,
Building B - Fit-Out Progress,,,,,,,,
,Scope,,,Building B,,,,
,Rows,,,,,,,
,,Waterproofing,grouping,Waterproofing,,,,
,,Walkway,,Walkway Waterproofing,Building B,Fit Out,Site QA,
,,Roof,,Roof Waterproofing,Building B,Fit Out,Site QA,
,,Ground Floor,grouping,ground floor,building b,,,
,,"Lobby, Lift & Stairs",,ground floor,fit out,building b,"lobby, lift & stairs",
,,Commercial Space,,ground floor,commercial space,fit out,building b,
,,Level 1,grouping,level 1,building b,,,
,,"Lobby, Lift & Stairs",,fit out,level 1,building b,"lobby, lift & stairs",
,,Level 2,dynamic,fit out,building b,level 2,,
,,Level 3,dynamic,fit out,building b,level 3,,
,,Level 4,dynamic,level 4,fit out,building b,,
,,Level 5,dynamic,fit out,level 5,building b,,
,,Level 6,dynamic,fit out,level 6,building b,,
,,Level 7,dynamic,fit out,building b,level 7,,
,,Level 8,dynamic,level 8,fit out,building b,,
,,Level 9,dynamic,fit out,level 9,building b,,
,,Level 10,dynamic,fit out,building b,level 10,,
,,Level 11,dynamic,fit out,level 11,building b,,
,,Level 12,dynamic,fit out,level 12,building b,,
,,Level 13,dynamic,fit out,building b,level 13,,
,,Level 14,dynamic,fit out,building b,level 14,,
,Columns,,,,,,,
,,Framing,,framing,,,,
,,Plumbing Rough-In,,plumbing rough-in,,,,
,,Fire Rough-In,,fire rough-in,,,,
,,Electrical Rough-In,,electrical rough-in,,,,
,,Mechanical Rough-In,,mechanical rough-in,,,,
,,Pre-Lining,,pre-lining,,,,
,,Post-Lining,,post-lining,,,,
,,Carpet,,carpet,,,,
,,Joinery Fit-Out,,joinery fit-out,,,,
,,Services Fit-Out,,services fit-out,,,,
,,Internal Painting,,internal painting,,,,
,,External Waterproofing,,External Waterproofing,,,,
,,Internal Waterproofing,,Internal Waterproofing,,,,
,,Tiling,,Tiling,,,,
,,Slab Edges,,Slab Edges,,,,
,,Walkway Waterproofing,,Walkway Waterproofing,,,,
,,Roof Waterproofing,,Roof Waterproofing,,,,
,,,,,,,,
Building C - Fit-Out Progress,,,,,,,,
,Scope,,,Building C,,,,
,Rows,,,,,,,
,,Waterproofing,grouping,Waterproofing,,,,
,,Walkway,,Walkway Waterproofing,Building C,Fit Out,Site QA,
,,Roof,,Roof Waterproofing,Building C,Fit Out,Site QA,
,,Ground Floor,grouping,ground floor,building a,,,
,,"Lobby, Lift & Stairs",,ground floor,fit out,"lobby, lift & stairs",building c,
,,Commercial Space,,ground floor,commercial space,fit out,building c,
,,Level 1,grouping,level 1,building c,,,
,,"Lobby, Lift & Stairs",,fit out,level 1,"lobby, lift & stairs",building c,
,,Level 2,dynamic,fit out,level 2,building c,,
,,Level 3,dynamic,fit out,building c,level 3,,
,,Level 4,dynamic,level 4,fit out,building c,,
,,Level 5,dynamic,fit out,level 5,building c,,
,Columns,,,,,,,
,,Framing,,framing,,,,
,,Plumbing Rough-In,,plumbing rough-in,,,,
,,Fire Rough-In,,fire rough-in,,,,
,,Electrical Rough-In,,electrical rough-in,,,,
,,Mechanical Rough-In,,mechanical rough-in,,,,
,,Pre-Lining,,pre-lining,,,,
,,Post-Lining,,post-lining,,,,
,,Carpet,,carpet,,,,
,,Joinery Fit-Out,,joinery fit-out,,,,
,,Services Fit-Out,,services fit-out,,,,
,,Internal Painting,,internal painting,,,,
,,External Waterproofing,,External Waterproofing,,,,
,,Internal Waterproofing,,Internal Waterproofing,,,,
,,Tiling,,Tiling,,,,
,,Slab Edges,,Slab Edges,,,,
,,Walkway Waterproofing,,Walkway Waterproofing,,,,
,,Roof Waterproofing,,Roof Waterproofing,,,,
