type,name,values,prefix,postfix,usage count,user addable,template name,
checklist-flat,Fire Systems ITP - Ground,,,,,Yes,Fire Systems ITP - Ground,45e9a3da-b43f-40ce-b65c-80a914d80008
checkpoint-status,25% - Exposed Ranges With Sprinklers Installed,,,,,,,
checkpoint-status,50% - Exposed Ranges With Sprinklers Installed,,,,,,,
checkpoint-status,75% - Exposed Ranges With Sprinklers Installed,,,,,,,
checkpoint-status,100% - Exposed Ranges With Sprinklers Installed,,,,,,,
checkpoint-status,Other % (entered below) - Exposed Ranges With Sprinklers Installed - do not pass until 100%,,,,,,,
text,% Exposed Ranges With Sprinklers Installed,,,,,,,
checkpoint-status,Fire Hose Reels Installed,,,,,,,
checkpoint-status,Rough In Ranges Lift Lobby Ceilings,,,,,,,
checkpoint-status,Fit-off semi-recessed Sprinklers to Ceiling Grid (Lobby),,,,,,,
checkpoint-status,Fit-off Escutcheon Plates to Ceiling Grid (Lobby),,,,,,,
checkpoint-status,Fit-off semi-recessed Sprinklers to Ceiling Grid (Amenities & Other Areas),,,,,,,
checkpoint-status,Fit-off Escutcheon Plates to Ceiling Grid (Amenities & Other Areas),,,,,,,
checkpoint-status,Sprinkler Control Valves Installed,,,,,,,
checkpoint-status,Pumps & Tanks installed,,,,,,,
checkpoint-status,Hydrostatic Pressure Test 1400KPA (All tests verified by Supervisor/Manager),,,,,,,
checkpoint-status,North - Combined Hydrant Main Located in Fire Stairs (Temporary Hydrant),,,,,,,
checkpoint-status,South - Combined Hydrant Main Located in Fire Stairs (Temporary Hydrant),,,,,,,
checkpoint-status,North - Hydrant & Sprinkler Test Drains Located in Fire Stairs,,,,,,,
checkpoint-status,South - Hydrant & Sprinkler Test Drains Located in Fire Stairs,,,,,,,
checkpoint-status,Passive Fire Completion % entered below - do not pass until 100%,,,,,,,
text,Passive Fire Completion %,,,%,,,,
checkpoint-status,Total Floor Completion % entered below - do not pass until 100%,,,,,,,
text,Floor Completion %,,,,,,,
checkpoint-status,Floor Completed Sign Off,,,,,,,
holdpoint,Sign Off,,,,,,,
,,,,,,,,
checklist-flat,Fire Systems ITP - Levels,,,,,Yes,Fire Systems ITP - Levels,a0bfeed8-813f-4bd0-99d6-4a5495cac892
checkpoint-status,25% - Exposed Ranges With Sprinklers Installed,,,,,,,
checkpoint-status,50% - Exposed Ranges With Sprinklers Installed,,,,,,,
checkpoint-status,75% - Exposed Ranges With Sprinklers Installed,,,,,,,
checkpoint-status,100% - Exposed Ranges With Sprinklers Installed,,,,,,,
checkpoint-status,Other % (entered below) - Exposed Ranges With Sprinklers Installed - do not pass until 100%,,,,,,,
text,% Exposed Ranges With Sprinklers Installed,,,,,,,
checkpoint-status,Rough In Ranges Lift Lobby Ceilings,,,,,,,
checkpoint-status,Fit-off semi-recessed Sprinklers to Ceiling Grid (Lobby),,,,,,,
checkpoint-status,Fit-off Escutcheon Plates to Ceiling Grid (Lobby),,,,,,,
checkpoint-status,Fit-off semi-recessed Sprinklers to Ceiling Grid (Amenities & Other Areas),,,,,,,
checkpoint-status,Fit-off Escutcheon Plates to Ceiling Grid (Amenities & Other Areas),,,,,,,
checkpoint-status,Sprinkler Control Valves Installed,,,,,,,
checkpoint-status,Hydrostatic Pressure Test 1400KPA (All tests verified by Supervisor/Manager),,,,,,,
checkpoint-status,North - Combined Hydrant Main Located in Fire Stairs (Temporary Hydrant),,,,,,,
checkpoint-status,South - Combined Hydrant Main Located in Fire Stairs (Temporary Hydrant),,,,,,,
checkpoint-status,North - Hydrant & Sprinkler Test Drains Located in Fire Stairs,,,,,,,
checkpoint-status,South - Hydrant & Sprinkler Test Drains Located in Fire Stairs,,,,,,,
checkpoint-status,Passive Fire Completion % entered below - do not pass until 100%,,,,,,,
text,Passive Fire Completion %,,,%,,,,
checkpoint-status,Total Floor Completion % entered below - do not pass until 100%,,,,,,,
text,Floor Completion %,,,,,,,
checkpoint-status,Floor Completed Sign Off,,,,,,,
holdpoint,Sign Off,,,,,,,
,,,,,,,,
checklist-flat,Fire Systems ITP - Basements,,,,,Yes,Fire Systems ITP - Basements,e72d1007-6239-4186-8b6c-a8ad6c42f848
checkpoint-status,25% - Exposed Ranges With Sprinklers Installed,,,,,,,
checkpoint-status,50% - Exposed Ranges With Sprinklers Installed,,,,,,,
checkpoint-status,75% - Exposed Ranges With Sprinklers Installed,,,,,,,
checkpoint-status,100% - Exposed Ranges With Sprinklers Installed,,,,,,,
checkpoint-status,Other % (entered below) - Exposed Ranges With Sprinklers Installed - do not pass until 100%,,,,,,,
text,% Exposed Ranges With Sprinklers Installed,,,,,,,
checkpoint-status,Fire Hose Reels Installed,,,,,,,
checkpoint-status,Rough In Ranges Lift Lobby Ceilings,,,,,,,
checkpoint-status,Fit-off semi-recessed Sprinklers to Ceiling Grid (Lobby),,,,,,,
checkpoint-status,Fit-off Escutcheon Plates to Ceiling Grid (Lobby),,,,,,,
checkpoint-status,Sprinkler Control Valves Installed,,,,,,,
checkpoint-status,Hydrostatic Pressure Test 1400KPA (All tests verified by Supervisor/Manager),,,,,,,
checkpoint-status,North - Combined Hydrant Main Located in Fire Stairs (Temporary Hydrant),,,,,,,
checkpoint-status,South - Combined Hydrant Main Located in Fire Stairs (Temporary Hydrant),,,,,,,
checkpoint-status,North - Hydrant & Sprinkler Test Drains Located in Fire Stairs,,,,,,,
checkpoint-status,South - Hydrant & Sprinkler Test Drains Located in Fire Stairs,,,,,,,
checkpoint-status,Passive Fire Completion % entered below - do not pass until 100%,,,,,,,
text,Passive Fire Completion %,,,%,,,,
checkpoint-status,Total Floor Completion % entered below - do not pass until 100%,,,,,,,
text,Floor Completion %,,,,,,,
checkpoint-status,Floor Completed Sign Off,,,,,,,
holdpoint,Sign Off,,,,,,,
