Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Overall Progress,,,,,
,Scope,,,,
,Rows,,,,
,,Stage 1,,Stage 1,
,,Stage 2,,Stage 2,
,Columns,,,,
,,Upper Roof,,Upper Roof,
,,Lower Roof,,Lower Roof,
,,Windows - nAJ01,,nAJ01,
,,Windows - nAJ02,,nAJ02,
,,Windows - nAJ03,,nAJ03,
,,Windows - nAJ04,,nAJ04,
,,Windows - nAJ05,,nAJ05,
,,Windows - nAJ06,,nAJ06,
,,Windows - nAJ07,,nAJ07,
,,Windows - nAJ08,,nAJ08,
,,Windows - nAJ09,,nAJ09,
,,Windows - nAJ10,,nAJ10,
,,South Elevation Infills - No. 3,,No. 3,
,,South Elevation Infills - No. 4,,No. 4,
,,South Elevation Infills - No. 5,,No. 5,
,,South Elevation Infills - No. 6,,No. 6,
,,South Elevation Infills - No. 7,,No. 7,
,,South Elevation Infills - No. 8,,No. 8,
,,South Elevation Infills - No. 9,,No. 9,
,,Weatherboard Replacement - Northern Elevation,,Northern Elevation,
,,Weatherboard Replacement - Western Elevation,,Western Elevation,
,,Fume Cupboards - 1,,1,
,,Fume Cupboards - 2,,2,
