type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,Mt Eden Louvres,,,,,,QA - Mt Eden Louvres,
section,Details,,,,,,,
checkpoint,Location/Gridline details entered,,,,,,,
textbox,Location/Gridline:,,,,,,,
checkpoint,Materials checked and correct quantity for opening,,,,,,,
checkpoint,"Check level, plumb, square and opening size",,,,,,,
checkpoint,Flashing installed with sealant,,,,,,,
checkpoint,Brackets installed,,,,,,,
checkpoint,Louvre installed (show bracket fixings),,,,,,,
checkpoint,Install joint flatbars,,,,,,,
checkpoint,Install perimeter angle for PEF rod backing,,,,,,,
checkpoint,Install PEF rod and tape edges efore sealing,,,,,,,
checkpoint,Seal Louvre (interior and exterior),,,,,,,
checkpoint,Final Clean and Finished Product,,,,,,,
,,,,,,,,
,,,,,,,,
