"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"cf011aa4-5cd9-4e7b-a883-7aa1d140d165","","folder-normal","","","step","TRUE","FALSE","Basement 1"
"1a48dd9c-acf0-42a2-8975-34285606a9a2","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 1","B1-CP03"
"f9327b98-5d51-4a49-82b2-e00f62f72d7a","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 1","B1-CP01"
"af9479b9-0fb2-4f3b-83b0-6f60667e18ba","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 1","B1-P01"
"54c179b0-ee8f-4a7a-b1e4-14be6b610623","","folder-normal","","","step","TRUE","FALSE","Basement 2"
"2afa8f90-a278-485d-9bbc-fcc9a40823f8","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 2","B2-C01"
"e58b3035-a92d-4c72-a4c3-4c919075e32d","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 2","B2-C02"
"0867d130-b6c0-44a7-9ae9-bfb4784eaa35","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 2","B2-C03"
"3693f79d-4d08-4def-a87d-4297c59cab7c","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 2","B2-C04"
"6c5b1580-84a8-43cf-98a5-a241d4652254","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 2","B2-C05"
"c136f740-183b-4892-aebd-d828527b05d0","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 2","B2-C06"
"6449f0ce-04c9-4078-b44e-ef57b8178dee","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 2","B2-C07"
"544e21bb-33ec-45ee-a228-699d1d1ec51b","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 2","B2-C08"
"be6e7d43-3df7-439f-9dde-7e59b035f07e","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 2","B2-C09"
"5db23fb2-4299-42d2-80e8-160a4e94b82e","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 2","B2-C10"
"93071e8e-df5c-4a50-ba3a-49d45e820cbf","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 2","B2-C11"
"45ebc789-8164-47aa-ab99-159ed79d48e8","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 2","B2-C12"
"ce1ecfce-fbf1-4739-8c13-e419ad3dd010","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 2","B2-CP02"
"9fd41355-2505-469d-a700-d32f230f0cd9","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 2","B2-CP03"
"704ff941-0505-433d-8fab-d7efc9cad00d","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 2","B2-CP04"
"621a99f1-6fd6-4165-854b-4306e32c5fef","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 2","B2-CP01"
"dbcc4d7a-5d98-44ed-bed6-ac04b3598fe3","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 2","B2-CP02"
"2bdd54e2-9760-469b-9929-13a64a963b6e","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 2","B2-P01"
"cbc68100-39c2-440d-ba20-6332359429fc","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 2","B2-P02"
"35348dd0-60a4-480e-886c-2a628d19478b","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 2","B2-P03"
"2a3da490-3b22-434d-bc5f-d7904de131f4","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 2","B2-P04"
"e18305b2-4ea6-4203-b597-8e7b302b86fa","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 2","B2-P05"
"efc11b0b-eecb-4bb0-8c07-9b64c00bb2c2","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 2","B2-P06"
