"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fbb0bb1b-9e37-4f9e-9760-d886bfdfb525","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"68de3acc-c32c-4dcf-b224-16161458db8e","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Ward Level 1 Ground"
"08d8d949-d62e-41ed-b3a6-50958e5bfe13","","checklist-flat","pass","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 1 Ground","Stair 4 overrun Walls Checklist"
"e9aab489-5c19-47d4-9982-8fe326aa3dbd","","checklist-flat","pass","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 1 Ground","HV trench x 2 Walls Checklist"
"322f2b09-c9eb-4590-a70c-5da8d9719dbb","","checklist-flat","pass","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 1 Ground","Column C001 Checklist"
"37514c67-47ee-41cd-8c80-1e676a729006","","checklist-flat","pass","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 1 Ground","Columns Checklist lev 1 pour 1 8th nov"
"4e1cab05-f01e-4337-b6b4-0d6e41954dfa","","checklist-flat","pass","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 1 Ground","Stsir 4 Walls Checklist"
"fcd8a4ff-aa7c-47c8-a9fa-7981cba6d65f","","checklist-flat","pass","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 1 Ground"," Columns Checklist pour 2 14th nov"
"1b871352-b52b-40ac-b586-ac84f62c4128","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Ward Level 2"
"830566a4-0414-4eaa-8838-d831f7c855a0","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ward Level 2","Suspended Slab"
"56c21fa3-b25a-4c5d-9bc2-0c427915e71b","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 2","Suspended Slab","Suspended Slab Checklist"
"56ce81ff-f89c-4a56-9ead-9c5df34d696e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Ward Level 2","Core Walls"
"eac599fe-0762-4dcf-8083-6cc909bd33a3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Ward Level 2","Stair Walls"
"2a42e71d-d061-4dd3-8584-63ad7894712e","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ward Level 2","Columns"
"4ce3ea59-487d-4f61-a48b-21c0379d853b","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 2","Columns","Columns Checklist"
"2d4c7856-918b-45bb-8ad9-603ad9316d51","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ward Level 2","Stairs"
"04721cb6-3be3-457a-b604-5d99523f546c","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Ward Level 2","Stairs","Stairs Checklist"
"d229f341-50d3-492c-933c-a867e27cb309","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ward Level 2","Walls"
"0d85b98a-c681-4ac9-b698-5b69ce70b977","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 2","Walls","Walls Checklist"
"6330d014-4966-4e64-a9a1-9b74ba72b911","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Ward Level 2","Stairs Checklist"
"bd3f137d-d4b0-4b41-ad50-5d7643f4b67d","","checklist-flat","work-in-progress","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 2","Columns Checklist"
"3926c32c-6df3-42cd-b7b3-a1a708145739","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 2","Walls Checklist"
"94843e66-0f90-4f04-9a1f-fecd7e7cd1ac","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Ward Level 2","Suspended Slab Checklist"
"0908ac49-9d16-46fa-b993-0d6cf07d7e60","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Ward Level 2","Jump System / Climb Track Checklist Blank Template"
"c7a43e59-8ede-4c6a-98a4-3594d265328f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Ward Level 3"
"83ff3a55-7ace-4f07-b1d4-dc613d7b6719","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Ward Level 3","Suspended Slab"
"6ca64243-f5ba-4d45-8abb-fd0385c1cacc","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Ward Level 3","Core Walls"
"496759b9-309c-4635-9aa1-ec6dc08ebb99","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Ward Level 3","Stair Walls"
"be349aac-0a14-4e8e-a125-c404f5c6e6d5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Ward Level 3","Columns"
"07be9d09-7bec-4739-86ee-8890a010437a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Ward Level 3","Stairs"
"2b751630-dbdb-497c-af2c-bd7c71f7c9da","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Ward Level 3","Walls"
"be71e74f-3952-4638-b4ff-24e5dfa83273","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Ward Level 4"
"529b813b-7a4d-4f35-8d40-23c15c1229e2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Ward Level 4","Suspended Slab"
"a2354292-9340-4e85-b620-4359366afd73","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Ward Level 4","Core Walls"
"ac36c078-f040-4626-a1e9-35d765ac065e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Ward Level 4","Stair Walls"
"27c24366-99d3-4692-b0fe-e0d5e4a1a2d6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Ward Level 4","Columns"
"3d8c048b-bece-43c6-976a-1b6c29aa5ff8","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Ward Level 4","Stairs"
"d5feb9d3-5866-4141-8aca-768315ec8283","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Ward Level 4","Walls"
"9823847f-e091-45d9-9d6b-ddc24bedf03c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Ward Level 5"
"48091f82-a00c-4f6a-9a5f-4f09920bdd5c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Ward Level 5","Suspended Slab"
"e2a7a69b-1a89-4d00-b808-c8cda290ace0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Ward Level 5","Core Walls"
"607fcccb-007a-4afe-904b-1778625e66c4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Ward Level 5","Stair Walls"
"6af04e5b-1030-4277-985e-fb3c9eb42ad2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Ward Level 5","Columns"
"08aee9ed-fd62-4605-bf17-bec1fb1a8611","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Ward Level 5","Stairs"
