Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Remedials Progress (502 Water Testing),,,,,
,Scope,,,remedial work for 502 water testing,
,Rows,,,,
,,Level 1,dynamic,level 1,remedial work for 502 water testing
,,Level 2,dynamic,level 2,remedial work for 502 water testing
,,Level 3,dynamic,remedial work for 502 water testing,level 3
,,Level 4,dynamic,level 4,remedial work for 502 water testing
,,Level 5,dynamic,level 5,remedial work for 502 water testing
,,Level 6,dynamic,level 6,remedial work for 502 water testing
,,Level 7,dynamic,remedial work for 502 water testing,level 7
,,Level 8,dynamic,level 8,remedial work for 502 water testing
,Columns,,,,
,,Drainage plugs cleared or replaced to allow required functioning,,Drainage plugs cleared or replaced to allow required functioning,
,,Louvres removed & plenums fully sealed,,louvres removed and plenums fully sealed,
,,Sash rubbers to be modified & sealed as required,,sash rubbers to be modified and sealed as required,
,,Sealant to bottom corner mitres,,sealant to bottom corner mitres,
,,Sealant to glazing pocket,,sealant to glazing pocket,
,,Meeting stile seal changed for higher compression,,meeting stile seal changed for higher compression,
,,High performance threshold fitted,,high performance threshold fitted,
,,Perimeter frame seal replaced & small joint sealed,,perimeter frame seal replaced and small joint sealed,
