"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"25350b90-ad5e-46b2-ad56-bb7153b13851","","pass","","folder","TRUE","FALSE","Site QA"
"c030b650-3cba-4f47-aeac-ab41d33388aa","","pass","","folder","TRUE","FALSE","Site QA","Ground"
"2774c5f8-431f-4859-b3e8-1a17368366a1","","pass","Seismic Suite (non curtain wall)","checklist","FALSE","FALSE","Site QA","Ground","WG.01 / DG.01 / DG.14"
"e7054807-664a-4712-96a9-c4d9f9b8a0e8","","pass","Seismic Suite (non curtain wall)","checklist","FALSE","FALSE","Site QA","Ground","DG.15"
"0365c1a3-9678-4cf5-b622-c58f6df87564","","pass","","folder","TRUE","FALSE","Site QA","Level 1"
"881e9e26-d9a3-42e3-864b-7cabd7dce4d6","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 1","W101.01"
"12fda848-a288-4af8-9973-326c8a52a29c","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 1","W102.01"
"2e0cbc7e-ba47-4df6-89dc-7c352799842d","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 1","W102.02"
"a66a43ec-577e-4226-872b-812b2527e1b6","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 1","W104.01"
"977c1454-f623-4c4c-981d-e294897c28f0","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 1","W103.02"
"9ee42d6d-2d01-48b7-afd9-77da0fa8a1b9","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 1","W103.01"
"25d03c68-18ab-4e57-bb72-813faf984130","","pass","","folder","TRUE","FALSE","Site QA","Level 2"
"228e27d0-dbd6-47f0-8b8e-097759b7c0f1","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 2","W201.01"
"f35352aa-f3a9-4601-b5e9-3d360039a663","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 2","W202.01"
"8783ae8f-95bf-465b-9e74-b95880ca8cea","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 2","W202.02"
"fc0b3f74-8d95-412e-8ae7-5dfd9ec1d787","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 2","W204.01"
"289dbba0-2613-4e06-a595-0ae4ddb3f26b","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 2","W203.02"
"9dcd9440-0228-45e2-a732-fc4fd6eea918","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 2","W203.01"
"e7411612-3fd1-41c4-94f4-fbce82ab98cd","","pass","","folder","TRUE","FALSE","Site QA","Level 3"
"b5f2ed87-b8bd-4498-8c73-0f9a195a7c86","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 3","W301.01"
"c54a53d0-29ca-4ca9-850c-2d22716c4639","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 3","W302.01"
"6ebca946-c391-47ea-b3e3-59e2c90f7d8d","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 3","W302.02"
"d9c40d76-1339-464f-a6b8-cbd9c447abb3","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 3","W304.01"
"30fb42ac-075b-483e-af21-bc09bf04aa63","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 3","W303.02"
"33411b48-3559-4347-8295-e4ff9a724270","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 3","W303.01"
"97887f5e-bcb6-442b-8573-3990a8d3d0cc","","pass","","folder","TRUE","FALSE","Site QA","Level 4"
"773cbd4c-1a53-4092-8dad-cd1eb34496dc","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 4","W401.01"
"e3756437-b02f-4412-8411-2c2e0a4db166","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 4","W402.01"
"1edd5cf7-6af8-4272-88ac-a9c5a1a8b22a","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 4","W402.02"
"3c212dc5-d508-4129-9812-69838dff880a","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 4","W404.01"
"bbd8b01a-9749-4ee4-bb0b-a4fd4ee3e162","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 4","W403.02"
