"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"81ccdaa1-063b-4d2c-996e-1351694494e3","","pass","","folder","TRUE","FALSE","Externals "
"641cc4a1-72fb-4ca6-ad38-f841fdb849e8","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WS1.01"
"ca04b658-d202-4bb5-b6c4-43e3775a1069","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WS2.01"
"16ef5565-011a-441e-8275-d2b8ffb6bc09","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WS1.02"
"cf15baf2-8799-4968-8a3f-42e6ba523d5b","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WS2.02"
"d4726919-7a68-4436-8e0e-2cca00667fb9","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WS1.03"
"fcc7eec3-2782-4b39-b94a-5fc0b89e7792","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WS1.04"
"43504d8e-1858-4582-838d-c8b3bd3b9e36","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WS1.06"
"66dd62a3-a4ba-4ea7-8c59-fa26bd252c17","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WS1.08"
"44b5f429-3caf-4464-b2b3-1ab15e4f22df","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WS1.10"
"7f3537ea-8a88-4d90-8d9e-bad8bf24d304","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WS1.05"
"307c9c3f-7a1d-4bcf-ab54-c61fe47b1fa0","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WS1.09"
"0402eefc-cc42-446b-8918-da1a380ddea2","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WS1.11"
"ae634d64-b4cf-4010-9bb8-376bae2c7ea5","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WS2.03"
"0d6abfb6-d299-4315-aa79-ec21d985f7a9","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WS2.05"
"a518f40a-7e23-455c-83ae-973ca4c7779b","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WS2.06"
"f3d760ca-4e28-49e4-afaf-35514e607ef2","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WS1.07"
"ea3f3fe6-f0b3-4023-8adc-7689c2dbefb8","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WS2.04"
"d878db5a-c3a5-4c8c-b7f2-d7bfb4c0840a","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WS1.14"
"3068b92d-b46c-4ae0-9e15-a62c1175f0d5","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WS2.07"
"9df65147-6b2f-4ad1-ae24-b4a0ab7fa29b","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN1.01"
"930f81cd-ba08-4286-a804-493096b00637","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN2.01"
"fc94dc41-90e6-403b-a730-78f974b35635","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN1.02"
"ffd88ac1-04ab-4a20-895b-adb3299cdd9f","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN2.02"
"54472be2-4201-4f3b-bf00-dca71a864b3f","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN1.03"
"cbf1abca-dc3a-4596-9d2a-8dd29a311077","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN2.03"
"0a6e671f-ef02-49a1-a23c-e31ad8cd346f","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN1.04"
"9321c5a5-53c4-4748-9898-a0a6524e059c","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN2.04"
"52d0324c-1af4-4617-ab82-bf3a0c9edbd5","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN1.05"
"7ce468f7-dd79-4d7a-954c-e157b6bb36df","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN2.05"
"a366302a-58c8-4822-96da-cf49b021ea16","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN1.06"
"04e9ea1a-74c1-4f9c-bcae-3b8b7e17a2cb","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN2.06"
"1eedaa4a-08d8-4ada-9bbb-3dc881cae6c2","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN1.07"
"93661a2e-a6a4-421e-af6f-ee1e1c50727c","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN1.08"
"000b624e-abd3-4c14-b3c0-2b5b440c4ef7","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN1.09"
"c633f590-885e-4841-91cd-0edca5e4a576","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN1.10"
"b701a478-27d6-4527-ada6-10157f23bdf6","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN1.11"
"167137bb-8ac6-41cf-b851-d0d5285f739d","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN2.08"
"befa60fc-8e2a-49f0-97fb-554d36de7db7","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN1.12"
"2ab63fa4-f3a4-417a-958d-9adab3bd8a28","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN2.09"
"a15fb185-a1e3-4ddc-8446-f1d8cff1a648","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN1.13"
"2a1d4669-a881-40c0-9b00-2d0119cad6ea","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN2.10"
"481aaa37-0db2-49a7-94af-010e675fb7c3","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN1.14"
"b3e771cc-3024-4546-b58d-10f040b948a5","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN2.11"
"5b717777-1091-4776-abed-a6901fd03c09","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN1.15"
"889f5313-e165-4b8d-a1e5-9c5002dad6b0","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN2.13"
"1690cd66-cece-4f7b-b7c3-9993c1c232b6","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN2.07"
"1755836f-be9e-4998-a384-5bc705f8a778","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN2.12"
"a286c520-c9ec-482a-a1e9-6f21daa2ab9c","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WE1.01"
"e1749ab1-477f-4c96-8838-a454503b3909","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WE1.02"
"3200ffa2-fd61-48eb-8091-f3b19ddd1a42","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WE2.01"
"8c02cf7a-2be6-42af-98f4-419d0c6a8236","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WER.01"
"02b1a4f1-a2a3-49d7-b5e2-c75f51edc916","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WER.02"
"93a47570-66c1-41da-857c-3184812711f2","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WER.03"
"b259dee4-904f-4f36-b306-bf44dbcc3d76","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WER.04"
