resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,
,step,,,Level 2,,,,,,,,,,
QA - Waste / Stacks,checklist,,,,Common Waste & Stacks ,,,,,,,,,
QA - Main Water Reticulation,checklist,,,,Main Water Reticulation,,,,,,,,,
,step,,,,201,,,,,,,,,
QA - Apartment Waste,checklist,,,,,First Fix,,,,,,,,
Apartment 2nd Fix QA Checklist,checklist,,,,,Second Fix,,,,,,,,
,step,,,,202,,,,,,,,,
QA - Apartment Waste,checklist,,,,,First Fix,,,,,,,,
Apartment 2nd Fix QA Checklist,checklist,,,,,Second Fix,,,,,,,,
,step,,,,203,,,,,,,,,
QA - Apartment Waste,checklist,,,,,First Fix,,,,,,,,
Apartment 2nd Fix QA Checklist,checklist,,,,,Second Fix,,,,,,,,
,step,,,,204,,,,,,,,,
QA - Apartment Waste,checklist,,,,,First Fix,,,,,,,,
Apartment 2nd Fix QA Checklist,checklist,,,,,Second Fix,,,,,,,,
,step,,,,205,,,,,,,,,
QA - Apartment Waste,checklist,,,,,First Fix,,,,,,,,
Apartment 2nd Fix QA Checklist,checklist,,,,,Second Fix,,,,,,,,
,step,,,,206,,,,,,,,,
QA - Apartment Waste,checklist,,,,,First Fix,,,,,,,,
Apartment 2nd Fix QA Checklist,checklist,,,,,Second Fix,,,,,,,,
,step,,,,207,,,,,,,,,
QA - Apartment Waste,checklist,,,,,First Fix,,,,,,,,
Apartment 2nd Fix QA Checklist,checklist,,,,,Second Fix,,,,,,,,
,step,,,,208,,,,,,,,,
QA - Apartment Waste,checklist,,,,,First Fix,,,,,,,,
Apartment 2nd Fix QA Checklist,checklist,,,,,Second Fix,,,,,,,,
,step,,,Level 3,,,,,,,,,,
QA - Waste / Stacks,checklist,,,,Common Waste & Stacks ,,,,,,,,,
QA - Main Water Reticulation,checklist,,,,Main Water Reticulation,,,,,,,,,
,step,,,,301,,,,,,,,,
QA - Apartment Waste,checklist,,,,,First Fix,,,,,,,,
Apartment 2nd Fix QA Checklist,checklist,,,,,Second Fix,,,,,,,,
,step,,,,302,,,,,,,,,
QA - Apartment Waste,checklist,,,,,First Fix,,,,,,,,
Apartment 2nd Fix QA Checklist,checklist,,,,,Second Fix,,,,,,,,
,step,,,,303,,,,,,,,,
QA - Apartment Waste,checklist,,,,,First Fix,,,,,,,,
Apartment 2nd Fix QA Checklist,checklist,,,,,Second Fix,,,,,,,,
,step,,,,304,,,,,,,,,
QA - Apartment Waste,checklist,,,,,First Fix,,,,,,,,
Apartment 2nd Fix QA Checklist,checklist,,,,,Second Fix,,,,,,,,
,step,,,,305,,,,,,,,,
QA - Apartment Waste,checklist,,,,,First Fix,,,,,,,,
Apartment 2nd Fix QA Checklist,checklist,,,,,Second Fix,,,,,,,,
,step,,,,306,,,,,,,,,
QA - Apartment Waste,checklist,,,,,First Fix,,,,,,,,
Apartment 2nd Fix QA Checklist,checklist,,,,,Second Fix,,,,,,,,
,step,,,,307,,,,,,,,,
QA - Apartment Waste,checklist,,,,,First Fix,,,,,,,,
Apartment 2nd Fix QA Checklist,checklist,,,,,Second Fix,,,,,,,,
,step,,,,308,,,,,,,,,
QA - Apartment Waste,checklist,,,,,First Fix,,,,,,,,
Apartment 2nd Fix QA Checklist,checklist,,,,,Second Fix,,,,,,,,
,step,,,Level 4,,,,,,,,,,
QA - Waste / Stacks,checklist,,,,Common Waste & Stacks ,,,,,,,,,
QA - Main Water Reticulation,checklist,,,,Main Water Reticulation,,,,,,,,,
,step,,,,401,,,,,,,,,
QA - Apartment Waste,checklist,,,,,First Fix,,,,,,,,
Apartment 2nd Fix QA Checklist,checklist,,,,,Second Fix,,,,,,,,
,step,,,,402,,,,,,,,,
QA - Apartment Waste,checklist,,,,,First Fix,,,,,,,,
Apartment 2nd Fix QA Checklist,checklist,,,,,Second Fix,,,,,,,,
,step,,,,403,,,,,,,,,
QA - Apartment Waste,checklist,,,,,First Fix,,,,,,,,
Apartment 2nd Fix QA Checklist,checklist,,,,,Second Fix,,,,,,,,
,step,,,,404,,,,,,,,,
QA - Apartment Waste,checklist,,,,,First Fix,,,,,,,,
Apartment 2nd Fix QA Checklist,checklist,,,,,Second Fix,,,,,,,,
,step,,,,405,,,,,,,,,
QA - Apartment Waste,checklist,,,,,First Fix,,,,,,,,
Apartment 2nd Fix QA Checklist,checklist,,,,,Second Fix,,,,,,,,
,step,,,,406,,,,,,,,,
QA - Apartment Waste,checklist,,,,,First Fix,,,,,,,,
Apartment 2nd Fix QA Checklist,checklist,,,,,Second Fix,,,,,,,,
,step,,,Level 5,,,,,,,,,,
QA - Waste / Stacks,checklist,,,,Common Waste & Stacks ,,,,,,,,,
QA - Main Water Reticulation,checklist,,,,Main Water Reticulation,,,,,,,,,
,step,,,,401,,,,,,,,,
QA - Apartment Waste,checklist,,,,,First Fix,,,,,,,,
Apartment 2nd Fix QA Checklist,checklist,,,,,Second Fix,,,,,,,,
,step,,,,402,,,,,,,,,
QA - Apartment Waste,checklist,,,,,First Fix,,,,,,,,
Apartment 2nd Fix QA Checklist,checklist,,,,,Second Fix,,,,,,,,
