type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,ITP 1a - Confirm EMS meter is Commissioned and readings match between display & EMS System,,,,,,,
section,MSB & MDB Meters,,,,,,,
checkpoint,MDB-L9 METER,,,,,,,
checkpoint,MDB-G-L3 METER,,,,,,,
checkpoint,PMCS METER,,,,,,,
checkpoint,CAFE METER,,,,,,,
checkpoint,RETAIL METER,,,,,,,
checkpoint,MDB-L2 METER,,,,,,,
checkpoint,MDB-L8 METER,,,,,,,
checkpoint,PMCS METER,,,,,,,
checkpoint,MSSB-G-01 METER,,,,,,,
checkpoint,HDB-LG METER,,,,,,,
checkpoint,LIFT-3 METER,,,,,,,
checkpoint,HYD METER,,,,,,,
checkpoint,125 kVA METER,,,,,,,
checkpoint,SAFETY SERVICES METER,,,,,,,
checkpoint,LIFT-1 METER,,,,,,,
checkpoint,LIFT-2 METER,,,,,,,
checkpoint,MSSB-LG-01 METER,,,,,,,
checkpoint,ELEC FIRE PUMP METER,,,,,,,
checkpoint,MSSB-ESS-PLANT METER,,,,,,,
,,,,,,,,
checklist,ITP 1b - Confirm EMS meter is Commissioned and readings match between display & EMS System,,,,,,,
section,TDBs & HDBs Field Meters,,,,,,,
checkpoint,TDB-01-UG  Lighting ,,,,,,,
checkpoint,TDB-01-UG  Power,,,,,,,
checkpoint,TDB-01-UG  Mechanical,,,,,,,
checkpoint,TDB-L1  Lighting ,,,,,,,
checkpoint,TDB-L1  Power,,,,,,,
checkpoint,TDB-L1  Mechanical,,,,,,,
checkpoint,TDB-L2  Lighting ,,,,,,,
checkpoint,TDB-L2  Power,,,,,,,
checkpoint,TDB-L2  Mechanical,,,,,,,
checkpoint,TDB-L3  Lighting ,,,,,,,
checkpoint,TDB-L3  Power,,,,,,,
checkpoint,TDB-L3  Mechanical,,,,,,,
checkpoint,TDB-L4  Lighting ,,,,,,,
checkpoint,TDB-L4  Power,,,,,,,
checkpoint,TDB-L4  Mechanical,,,,,,,
checkpoint,TDB-L5  Lighting ,,,,,,,
checkpoint,TDB-L5  Power,,,,,,,
checkpoint,TDB-L5  Mechanical,,,,,,,
checkpoint,TDB-L6  Lighting ,,,,,,,
checkpoint,TDB-L6  Power,,,,,,,
checkpoint,TDB-L6  Mechanical,,,,,,,
checkpoint,TDB-L7 Lighting ,,,,,,,
checkpoint,TDB-L7  Power,,,,,,,
checkpoint,TDB-L7  Mechanical,,,,,,,
checkpoint,TDB-L8  Lighting ,,,,,,,
checkpoint,TDB-L8  Power,,,,,,,
checkpoint,TDB-L8  Mechanical,,,,,,,
checkpoint,TDB-L9  Lighting ,,,,,,,
checkpoint,TDB-L9  Power,,,,,,,
checkpoint,TDB-L9  Mechanical,,,,,,,
checkpoint,TDB-L10  Lighting ,,,,,,,
checkpoint,TDB-L10  Power,,,,,,,
