Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,,,,
82c61008-ae3b-46da-8fbf-b9ee696a3ea5,,folder-normal,,,step,TRUE,FALSE,Site QA,,,,,,,
a3d2f996-e0e0-4aed-aa6f-26e1758df441,,folder-normal,,,step,TRUE,FALSE,Site QA,Early works - Incoming water / gas (2020),,,,,,
4ee2aa31-4bd1-41d6-b1f0-4c6940d4ce75,,folder-normal,,,step,TRUE,FALSE,Site QA,Early works - Incoming water / gas (2020),Domestic Cold Water,,,,,
66b17039-8a08-4878-9b8f-4066f590de45,,checklist-flat,,e16ee31ba42a467b28d1c98cb4b77cf8cd0a9cccac052ca1c89a4ffc200b4789,checklist-flat,FALSE,FALSE,Site QA,Early works - Incoming water / gas (2020),Domestic Cold Water,QA.9 - Flushing,,,,
4cb15adc-a162-46f6-bab7-c9134d040043,,checklist-flat,,0af9a447ef7bf4188720908910a1223e17c686adb85018fb6db24a58f6e94941,checklist-flat,FALSE,FALSE,Site QA,Early works - Incoming water / gas (2020),Domestic Cold Water,QA.8C - Inground Water Inspection,,,,
545ae9cd-3198-4245-82c8-9635ed412a5b,,folder-normal,,,step,TRUE,FALSE,Site QA,Early works - Incoming water / gas (2020),Gas Supply,,,,,
ce132221-3467-4988-80d1-e54a7c9b932b,"Child AUTHORITY INSPECTION (if applicable)(832f6a46-9064-46cf-af43-d394983424f7): DataPoint Report attached or referenced below(a4ca52d2-2ff6-4eb0-bd37-209e455e39e8) is missing 'button' values
Child AS BUILT INFORMATION UPDATED ONTO DRAWINGS(98270bc7-b76b-447b-a0fe-df13af4b1df0): DataPoint Asbuilts attached or referenced below(4d92df2e-4871-4e64-ad40-fcfaafe0e486) is missing 'button' values",checklist-flat,,8513ee3550fd8465e56504555569c8d478297349be2620f8b0c9784c47d9ee55,checklist-flat,FALSE,FALSE,Site QA,Early works - Incoming water / gas (2020),Gas Supply,QA.8A - Inground Services,,,,
93110e21-a546-4837-a428-031ab17360ca,,folder-normal,,,step,TRUE,FALSE,Site QA,Early works - Incoming water / gas (2020),Sanitary Drainage,,,,,
f259bb4c-f5aa-48b3-a32f-e3410ae2a20d,,checklist-flat,,6eba68d128c3eedc9779aeda25ad0332de34b963aa62b98426a0e39dea9d1795,checklist-flat,FALSE,FALSE,Site QA,Early works - Incoming water / gas (2020),Sanitary Drainage,QA.8E - Inground Sewer Inspection,,,,
065802cf-f853-4419-a6cc-8a51ee093ee4,,checklist-flat,,QA 8F - Grease trap / pits checklist V.090421,checklist-flat,FALSE,FALSE,Site QA,Early works - Incoming water / gas (2020),Sanitary Drainage,QA.8F - Grease Trap,,,,
0d95fb85-b5ef-4e44-9a06-97c6dc98bd22,,folder-normal,,,step,TRUE,FALSE,Site QA,Inground Works,,,,,,
9c982748-aa5f-4eea-b4bf-f897d6ae220a,,folder-normal,,,step,TRUE,FALSE,Site QA,Inground Works,Sanitary Drainage (2020),,,,,
ad48d049-1a98-49ec-a1b1-467694ccbbef,,folder-normal,,,step,TRUE,FALSE,Site QA,Inground Works,Sanitary Drainage (2020),  Ingrounds  Sewer Main GPL H1000,,,,
75719389-b331-449e-802d-331c77551a95,,checklist-flat,,ae8ec77d907f3b20e5515f32fa2cdb0433417ebf8958d3bfc4804bf611e888ca,checklist-flat,FALSE,FALSE,Site QA,Inground Works,Sanitary Drainage (2020),  Ingrounds  Sewer Main GPL H1000,Below Ground Pipework Checklist - Sewer,,,
014c51bd-2d18-5b0a-b5b1-9d755be0788f,,checklist-flat,,QA 8A - Grease Trap Checklist,checklist-flat,FALSE,FALSE,Site QA,Inground Works,Sanitary Drainage (2020),  Ingrounds  Sewer Main GPL H1000,Grease Trap and Cooling Pit,,,
d34d4780-18a6-4f83-b045-c3ab34ac5cd7,,checklist-flat,,QA 8 - Below Ground Pipework Checklist - Sewer (July 2020),checklist-flat,FALSE,FALSE,Site QA,Inground Works,Sanitary Drainage (2020),B3A-116,,,,
5c4ed291-bc93-4b11-b873-49d4a529c04e,,checklist-flat,,QA 8 - Below Ground Pipework Checklist - Sewer (July 2020),checklist-flat,FALSE,FALSE,Site QA,Inground Works,Sanitary Drainage (2020),B3-063,,,,
f3a6d692-5105-45c9-a617-636395eb0904,,checklist-flat,,QA 8 - Below Ground Pipework Checklist - Sewer (July 2020),checklist-flat,FALSE,FALSE,Site QA,Inground Works,Sanitary Drainage (2020),B3A-143,,,,
37ae4347-08a7-41a5-9a28-07257f6e9fe4,,checklist-flat,,QA 8 - Below Ground Pipework Checklist - Sewer (July 2020),checklist-flat,FALSE,FALSE,Site QA,Inground Works,Petrol and oil interceptor (2020),,,,,
5ca5a4af-8837-42a4-bb6d-cf20ee315277,,checklist-flat,,QA 8F - Grease trap / pits checklist V.090421,checklist-flat,FALSE,FALSE,Site QA,Inground Works,2000 litre grease trap,,,,,
09c6173f-5304-4ea7-82d7-ec4b3e54fa78,,checklist-flat,,QA 8A - Grease Trap Checklist,checklist-flat,FALSE,FALSE,Site QA,Inground Works,Cooling Pit,,,,,
c5f74afc-642b-4220-9cd5-4c1d0775bb81,,checklist-flat,,QA 8A - Grease Trap Checklist,checklist-flat,FALSE,FALSE,Site QA,Inground Works,Neutralizer ,,,,,
727f00a6-63b6-47fc-9f8c-5ab965439070,,folder-normal,,,step,TRUE,FALSE,Site QA,Inground Works,Suction Line,,,,,
55a9b022-6e0b-48f4-8b64-1a60dec1f677,,folder-normal,,,step,TRUE,FALSE,Site QA,Inground Works,Suction Line,Pits with Kamlock coupling,,,,
53f1dd86-5ff2-4fb3-9ecc-00efdcb524dd,,checklist-flat,,QA 8F - Grease trap / pits checklist V.090421,checklist-flat,FALSE,FALSE,Site QA,Inground Works,Suction Line,Pits with Kamlock coupling,Neutralising pit,,,
b9b23e4b-c993-4774-9804-60d062391daa,,checklist-flat,,QA 8F - Grease trap / pits checklist V.090421,checklist-flat,FALSE,FALSE,Site QA,Inground Works,Suction Line,Pits with Kamlock coupling,2000 litre GIT,,,
de7facce-b437-426e-9411-bb76550b22de,,checklist-flat,,QA 8F - Grease trap / pits checklist V.090421,checklist-flat,FALSE,FALSE,Site QA,Inground Works,Suction Line,Pits with Kamlock coupling,Puraceptor,,,
d028714a-c07f-4881-813e-3a328aa201d2,,folder-normal,,,step,TRUE,FALSE,Site QA,Inground Works,Puraceptor / Helipad,,,,,
a6bd7227-d62c-448f-a80f-2387e764a7b1,,checklist-flat,,Add Project Photos,checklist-flat,FALSE,FALSE,Site QA,Inground Works,Puraceptor / Helipad,Project Photos,,,,
a56efff7-7418-4b84-940a-1aba98f932c7,,checklist-flat,,QA 8F - Grease trap / pits checklist V.090421,checklist-flat,FALSE,FALSE,Site QA,Inground Works,Puraceptor / Helipad,Helipad Install,,,,
c0f99d85-2603-4257-b797-a2e1b0d9bf69,,folder-normal,,,step,TRUE,FALSE,Site QA,Inground Works,Inground Trade Waste,,,,,
636375d5-97e1-469c-95ee-2c142d9a8caa,,checklist-flat,,QA 8E ITP Sewer Inground Inspection Report V.090421,checklist-flat,FALSE,FALSE,Site QA,Inground Works,Inground Trade Waste,Supply to 2000 litre grease trap,,,,
