Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,
Quality - Busduct,,,,,,,,,
,Scope,,,site qa,,,,,
,Rows,,,,,,,,
,,Terminal - Main Switchboards - EL-MSBE-01-301 (T1) - Busduct (EL-MSBE-01-301 (T1) - 301E-008.1),dynamic,busduct (el-msbe-01-301 (t1) - 301e-008.1),Lots - Switchboards,site qa,terminal,main switchboards,el-msbe-01-301 (t1)
,,Terminal - Main Switchboards - EL-MSBN-01-301 (T1) - Busduct (EL-MSBE-01-301 (T1) - 301E-002.1),dynamic,busduct (el-msbe-01-301 (t1) - 301e-002.1),Lots - Switchboards,el-msbn-01-301 (t1),site qa,terminal,main switchboards
,,Terminal - Main Switchboards - EL-MSBE-01-401 (T2) - Busduct (EL-MSBE-01-401 (T2) (Bus UNMETERED (UM)) - 401E-011.1),dynamic,Lots - Switchboards,site qa,terminal,main switchboards,busduct (el-msbe-01-401 (t2) (bus unmetered (um)) - 401e-011.1),el-msbe-01-401 (t2)
,,Terminal - Main Switchboards - EL-MSBN-01-401 (T2) - Busduct (EL-MSBE-01-401 (T2) (Bus Essential) - 401E-014.1),dynamic,Lots - Switchboards,site qa,terminal,el-msbn-01-401 (t2),main switchboards,busduct (el-msbe-01-401 (t2) (bus essential) - 401e-014.1)
,,Terminal - Main Switchboards - EL-MSB-01-203 (T3) - Busduct (EL-MSBE-01-301 (T1) - 301E-012.1),dynamic,Lots - Switchboards,site qa,terminal,busduct (el-msbe-01-301 (t1) - 301e-012.1),main switchboards,el-msb-01-203 (t3)
,,Terminal - Main Switchboards - EL-MSBE-01-203 (T3) - Busduct (EL-MSBE-01-301 (T1) - 301E-017.1),dynamic,el-msbe-01-203 (t3),Lots - Switchboards,site qa,terminal,busduct (el-msbe-01-301 (t1) - 301e-017.1),main switchboards
,,Terminal - Main Switchboards - EL-MSB-01-203 (T3) - Busduct (EL-MSBE-01-401 (T2) (Bus UNMETERED (UM)) - 401E-002.1),dynamic,busduct (el-msbe-01-401 (t2) (bus unmetered (um)) - 401e-002.1),Lots - Switchboards,site qa,terminal,main switchboards,el-msb-01-203 (t3)
,,Terminal - Main Switchboards - EL-MSB-01-201 (PC) - Busduct (EL-MSBE-01-401 (T2) (Bus Essential) - 401E-019.1),dynamic,Lots - Switchboards,site qa,terminal,main switchboards,busduct (el-msbe-01-401 (t2) (bus essential) - 401e-019.1),el-msb-01-201 (pc)
,,Terminal - Main Switchboards - EL-MSBE-01-201 (PC) - Busduct (EL-MSBN-01-203 (T3) (Bus NON ESSENTIAL) - 203N-024.1),dynamic,busduct (el-msbn-01-203 (t3) (bus non essential) - 203n-024.1),el-msbe-01-201 (pc),Lots - Switchboards,site qa,terminal,main switchboards
,,Terminal - Main Switchboards - EL-MSBN-01-201 (PC) - Busduct (EL-MSBN-01-203 (T3) (Bus NON ESSENTIAL) - 203N-029.1),dynamic,Lots - Switchboards,site qa,terminal,main switchboards,busduct (el-msbn-01-203 (t3) (bus non essential) - 203n-029.1),el-msbn-01-201 (pc)
,,Terminal - Main Switchboards - EL-MSB-01-701 (COOLING) - Busduct (EL-MSBN-01-203 (T3) (Bus NON ESSENTIAL) - 203N-034.1),dynamic,el-msb-01-701 (cooling),Lots - Switchboards,site qa,terminal,busduct (el-msbn-01-203 (t3) (bus non essential) - 203n-034.1),main switchboards
,,Terminal - Main Switchboards - EL-SBD-01-701 (COOLING) - Busduct (EL-MSBN-01-203 (T3) (Bus NON ESSENTIAL) - 203N-019.1),dynamic,el-sbd-01-701 (cooling),Lots - Switchboards,site qa,terminal,main switchboards,busduct (el-msbn-01-203 (t3) (bus non essential) - 203n-019.1)
,,Terminal - UPS MDBs - EL-UPSIO-01-301 - Busduct - RUN,dynamic,Lots - Switchboards,busduct - run,site qa,terminal,ups mdbs,el-upsio-01-301
,,Terminal - UPS MDBs - EL-UPSIO-01-201 - Busduct (EL-UPSIO-01-301 - 301U-030.01),dynamic,busduct (el-upsio-01-301 - 301u-030.01),Lots - Switchboards,site qa,terminal,ups mdbs,el-upsio-01-201
,,Terminal - UPS MDBs - EL-UPSIO-01-102 - Busduct (EL-UPSIO-01-301 - 301U-018.01),dynamic,Lots - Switchboards,site qa,terminal,ups mdbs,busduct (el-upsio-01-301 - 301u-018.01),el-upsio-01-102
,,Terminal - UPS MDBs - EL-UPSIO-01-203 - Busduct (EL-UPSIO-01-301 - 301U-045.01),dynamic,busduct (el-upsio-01-301 - 301u-045.01),Lots - Switchboards,site qa,terminal,el-upsio-01-203,ups mdbs
,Columns,,,,,,,,
,,Receipt of busduct/busway & take off box's delivery to site,,receipt of busduct/ busway & take off box's delivery to site,,,,,
,,"Set out - Ensure correct size, type & spare capacity",,"set out - ensure correct size, type and spare capacity",,,,,
,,Accessories to be factory made items,,accessories to be factory made items,,,,,
,,Hangers installed as per drawings,,hangers installed as per the drawings,,,,,
,,IR Test of Busduct - Separate - Test Result Above 1M Ω,,ir test of busduct - separate - test result above 1m ω,,,,,
,,Busduct Piece installed safely,,busduct piece are installed safely,,,,,
,,Busduct Torqued to 95Nm,,busduct torqued to 95nm,,,,,
,,IR Test of Busduct - Joined - Test Result Above 1M Ω,,ir test of busduct - joined - test result above 1m ω,,,,,
,,Photos attached of installed piece,,photos attached of installed piece,,,,,
