Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,
Quality - Mains and Sub Mains,,,,,,,,,
,Scope,,,site qa,,,,,
,Rows,,,,,,,,
,,Terminal - Distribution Boards - Main Switchboards - EL-MSBE-01-301 (T1) - Mains and Sub Mains (EL-MSBE-01-301 (T1)),dynamic,Lots - Switchboards,site qa,mains and sub mains (el-msbe-01-301 (t1)),terminal,main switchboards,el-msbe-01-301 (t1)
,,Terminal - Distribution Boards - Main Switchboards - EL-MSBN-01-301 (T1) - Mains and Sub Mains (EL-MSBN-01-301 (T1)),dynamic,Lots - Switchboards,el-msbn-01-301 (t1),site qa,terminal,main switchboards,mains and sub mains (el-msbn-01-301 (t1))
,,Terminal - Distribution Boards - Main Switchboards - EL-MSBE-01-401 (T2) - Mains and Sub Mains,dynamic,Lots - Switchboards,site qa,terminal,main switchboards,mains and sub mains,el-msbe-01-401 (t2)
,,Terminal - Distribution Boards - Main Switchboards - EL-MSBN-01-401 (T2) - Mains and Sub Mains (EL-MSBN-01-401 (T2)),dynamic,mains and sub mains (el-msbn-01-401 (t2)),Lots - Switchboards,site qa,terminal,el-msbn-01-401 (t2),main switchboards
,,Terminal - Distribution Boards - Main Switchboards - EL-MSB-01-203 (T3) - Mains and Sub Mains (EL-MSB-01-203 (T3)),dynamic,Lots - Switchboards,site qa,terminal,main switchboards,el-msb-01-203 (t3),mains and sub mains (el-msb-01-203 (t3))
,,Terminal - Distribution Boards - Main Switchboards - EL-MSBE-01-203 (T3) - Mains and Sub Mains (EL-MSBE-01-203 (T3)),dynamic,el-msbe-01-203 (t3),Lots - Switchboards,site qa,terminal,mains and sub mains (el-msbe-01-203 (t3)),main switchboards
,,Terminal - Distribution Boards - Main Switchboards - EL-MSB-01-203 (T3) - Mains and Sub Mains (EL-MSBN-01-203 (T3)),dynamic,Lots - Switchboards,mains and sub mains (el-msbn-01-203 (t3)),site qa,terminal,main switchboards,el-msb-01-203 (t3)
,,Terminal - Distribution Boards - Main Switchboards - EL-MSB-01-201 (PC) - Mains and Sub Mains (EL-MSB-01-201 (PC)),dynamic,Lots - Switchboards,mains and sub mains (el-msb-01-201 (pc)),site qa,terminal,main switchboards,el-msb-01-201 (pc)
,,Terminal - Distribution Boards - Main Switchboards - EL-MSBE-01-201 (PC) - Mains and Sub Mains (EL-MSBE-01-201 (PC)),dynamic,el-msbe-01-201 (pc),Lots - Switchboards,site qa,terminal,mains and sub mains (el-msbe-01-201 (pc)),main switchboards
,,Terminal - Distribution Boards - Main Switchboards - EL-MSBN-01-201 (PC) - Mains and Sub Mains (EL-MSBN-01-201 (PC)),dynamic,Lots - Switchboards,site qa,terminal,main switchboards,el-msbn-01-201 (pc),mains and sub mains (el-msbn-01-201 (pc))
,,Terminal - Distribution Boards - Main Switchboards - EL-MSB-01-701 (COOLING) - Mains and Sub Mains (EL-MSB-01-701 (COOLING)),dynamic,el-msb-01-701 (cooling),mains and sub mains (el-msb-01-701 (cooling)),Lots - Switchboards,site qa,terminal,main switchboards
,,Terminal - Distribution Boards - Main Switchboards - EL-SBD-01-701 (COOLING) - Mains and Sub Mains (EL-SBD-01-701 (COOLING)),dynamic,el-sbd-01-701 (cooling),mains and sub mains (el-sbd-01-701 (cooling)),Lots - Switchboards,site qa,terminal,main switchboards
,,Terminal - Distribution Boards - Main Switchboards - EL-SBD-01-702 (COOLING) - Mains and Sub Mains (EL-SBD-01-702 (COOLING)),dynamic,Lots - Switchboards,site qa,terminal,mains and sub mains (el-sbd-01-702 (cooling)),main switchboards,el-sbd-01-702 (cooling)
,,Terminal - Distribution Boards - Main Switchboards - EL-SBD-01-703 (COOLING) - Mains and Sub Mains (EL-SBD-01-703 (COOLING)),dynamic,Lots - Switchboards,site qa,terminal,main switchboards,mains and sub mains (el-sbd-01-703 (cooling)),el-sbd-01-703 (cooling)
,,Terminal - Distribution Boards - Main Switchboards - EL-MSB-01-103 (PW) - Mains and Sub Mains (EL-MSB-02-103 (PW)),dynamic,Lots - Switchboards,site qa,terminal,main switchboards,mains and sub mains (el-msb-02-103 (pw)),el-msb-01-103 (pw)
,,Terminal - Distribution Boards - Main Switchboards - EL-MSBE-02-103 (PW) - Mains and Sub Mains (EL-MSBE-02-103 (PW)),dynamic,el-msbe-02-103 (pw),Lots - Switchboards,site qa,terminal,main switchboards,mains and sub mains (el-msbe-02-103 (pw))
,,Terminal - Distribution Boards - Main Switchboards - EL-MSBN-02-103 (PW) - Mains and Sub Mains (EL-MSBN-02-103 (PW)),dynamic,mains and sub mains (el-msbn-02-103 (pw)),Lots - Switchboards,el-msbn-02-103 (pw),site qa,terminal,main switchboards
,,Terminal - Distribution Boards - Main Switchboards - EL-MSB-02-205 (PE) - Mains and Sub Mains (EL-MSB-02-205 (PE)),dynamic,Lots - Switchboards,site qa,el-msb-02-205 (pe),terminal,main switchboards,mains and sub mains (el-msb-02-205 (pe))
,,Terminal - Distribution Boards - Main Switchboards - EL-MSBE-02-205 (PE) - Mains and Sub Mains (EL-MSBE-02-205 (PE)),dynamic,Lots - Switchboards,site qa,terminal,main switchboards,mains and sub mains (el-msbe-02-205 (pe)),el-msbe-02-205 (pe)
,,Terminal - Distribution Boards - Main Switchboards - EL-MSBN-02-205 (PE) - Mains and Sub Mains (EL-MSBN-02-205 (PE)),dynamic,Lots - Switchboards,site qa,el-msbn-02-205 (pe),mains and sub mains (el-msbn-02-205 (pe)),terminal,main switchboards
,,Terminal - Distribution Boards - Main Switchboards - EL-MSB-02-801 (CARPARK) - Mains and Sub Mains (EL-MSB-02-801 (CARPARK)),dynamic,Lots - Switchboards,mains and sub mains (el-msb-02-801 (carpark)),site qa,terminal,main switchboards,el-msb-02-801 (carpark)
,,Terminal - Distribution Boards - UPS MDBs - EL-UPSIO-01-301 - Mains and Sub Mains (EL-UPSIO-01-301),dynamic,Lots - Switchboards,mains and sub mains (el-upsio-01-301),site qa,terminal,ups mdbs,el-upsio-01-301
,,Terminal - Distribution Boards - UPS MDBs - EL-UPSIO-01-201 - Mains and Sub Mains (EL-UPSIO-01-201),dynamic,Lots - Switchboards,site qa,terminal,mains and sub mains (el-upsio-01-201),ups mdbs,el-upsio-01-201
,,Terminal - Distribution Boards - UPS MDBs - EL-UPSIO-01-102 - Mains and Sub Mains (EL-UPSIO-02-102),dynamic,Lots - Switchboards,site qa,terminal,ups mdbs,mains and sub mains (el-upsio-02-102),el-upsio-01-102
,,Terminal - Distribution Boards - UPS MDBs - EL-UPSIO-01-203 - Mains and Sub Mains (EL-UPSIO-02-203),dynamic,Lots - Switchboards,site qa,terminal,mains and sub mains (el-upsio-02-203),el-upsio-01-203,ups mdbs
,,Terminal - Distribution Boards - UPS MDBs - EL-UPSIO-01-801 - Mains and Sub Mains (EL-UPSIO-02-801),dynamic,el-upsio-01-801,distribution boards,site qa,terminal,mains and sub mains (el-upsio-02-801),ups mdbs
,,TERS - Lots - Cable Tray & Conduits,grouping,ters - lots - cable tray & conduits,,,,,
,,TER 2 - Quality Mains and Sub Mains,,lots - cable tray & conduits,ter 2,site qa,ters,quality mains and sub mains,
,,TERS - Lots - Main Switchboard - TER 1 - EL-EMSB-02-1001 - Low Voltage Cables (Mains/Submains),dynamic,ter 1,low voltage cables (mains/submains),site qa,ters,lots - main switchboard,el-emsb-02-1001
,,TERS - Lots - Main Switchboard - TER 2 - EL-EMSB-02-2001 - Low Voltage Cables (Mains/Submains),dynamic,low voltage cables (mains/submains),ter 2,site qa,ters,el-emsb-02-2001,lots - main switchboard
,,TERS - Lots - UPS MDB - TER 1 - EL-UPSIO-01-1001 - Low Voltage Cables (Mains/Submains),dynamic,ter 1,low voltage cables (mains/submains),lots - ups mdb,site qa,ters,el-upsio-01-1001
,,TERS - Lots - UPS MDB - TER 2 - EL-UPSIO-02-2001 - Low Voltage Cables (Mains/Submains),dynamic,low voltage cables (mains/submains),lots - ups mdb,ter 2,el-upsio-02-2001,site qa,ters
,Columns,,,,,,,,
,,Receipt of cable containment delivery to site & storage,,receipt of cable containment delivery to site & storage. (itp reference item 1),,,,,
,,Cable storage & handling,,cable storage & handling. (itp reference item 2),,,,,
,,Correct cable size & type,,correct cable size & type. (itp reference item 3),,,,,
,,Cable pulling tension to not exceed manufacturer's recommendations,,cable pulling tension to not exceed manufacturer's recommendations. (itp reference item 4),,,,,
,,Cable lubrication if required,,cable lubrication if required. (itp reference item 5),,,,,
,,Installed to latest drawings – schematics/single line diagram & cable containment drawings,,installed to latest drawings – schematics/single line diagram & cable containment drawings. (itp reference item 6),,,,,
,,Correct cable tag installed,,correct cable tag installed. (itp reference item 7),,,,,
,,Photo evidence captured for cable containment install,,photo evidence captured for cable containment install. (itp reference item 8),,,,,
