"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"964e8635-3a8f-4a1f-b7ad-90a459b17da6","","folder-normal","work-in-progress","","step","TRUE","FALSE","ROOF LEVEL 1 "
"da7deaf5-bc27-4270-a0b7-22cc8ee20363","","folder-normal","work-in-progress","","step","TRUE","FALSE","ROOF LEVEL 1 ","AREA 5"
"52faeeac-e11a-4ec8-be48-459d8537b2b0","","checklist-sectioned","work-in-progress","EnviroShield+ 250NS","checklist","FALSE","FALSE","ROOF LEVEL 1 ","AREA 5","EnviroShield+ 250NS"
"0462f32c-ac29-4671-abf1-5f5d650c0193","","checklist-flat","pass","Document Upload Checklist","checklist-flat","FALSE","FALSE","ROOF LEVEL 1 ","AREA 5","Markup drawing"
"d8b12267-0084-4996-8312-c7260533e7c8","","folder-normal","work-in-progress","","step","TRUE","FALSE","ROOF LEVEL 1 ","AREA 6"
"5a06d932-f69d-457d-8284-00eb7478dddd","","checklist-sectioned","work-in-progress","EnviroShield+ 250NS","checklist","FALSE","FALSE","ROOF LEVEL 1 ","AREA 6","EnviroShield+ 250NS"
"62334944-ee31-4980-abc4-bd9d6ca888a1","","checklist-flat","pass","Document Upload Checklist","checklist-flat","FALSE","FALSE","ROOF LEVEL 1 ","AREA 6","Markup drawing"
"6fdd4c86-d063-4881-a678-859b5ba3e2c1","","folder-normal","work-in-progress","","step","TRUE","FALSE","ROOF LEVEL 1 ","AREA 8 "
"a2b0a037-4abf-4031-ac08-73158ae003fc","","checklist-sectioned","work-in-progress","EnviroShield+ 250NS","checklist","FALSE","FALSE","ROOF LEVEL 1 ","AREA 8 ","EnviroShield+ 250NS"
"c0e34693-b0cc-488b-92a7-5da27c41a652","","checklist-flat","pass","Document Upload Checklist","checklist-flat","FALSE","FALSE","ROOF LEVEL 1 ","AREA 8 ","Markup drawing"
"0442cd69-d754-47b2-90b7-a676b87e6c7a","","folder-normal","work-in-progress","","step","TRUE","FALSE","ROOF LEVEL 1 ","AREA 9"
"797afb18-28aa-4965-b6e9-22a674bee041","","checklist-sectioned","not-started","EnviroShield+ 250NS","checklist","FALSE","FALSE","ROOF LEVEL 1 ","AREA 9","EnviroShield+ 250NS"
"2af63c35-156a-4737-a3df-1bbe6045d93d","","checklist-flat","pass","Document Upload Checklist","checklist-flat","FALSE","FALSE","ROOF LEVEL 1 ","AREA 9","Markup drawing"
"11336386-8347-4602-b9d1-d3b880e4c8c3","","folder-normal","work-in-progress","","step","TRUE","FALSE","ROOF LEVEL 1 ","AREA 10"
"8f4a3226-80b0-4676-a792-b3e62160dfde","","checklist-sectioned","not-started","EnviroShield+ 250NS","checklist","FALSE","FALSE","ROOF LEVEL 1 ","AREA 10","EnviroShield+ 250NS"
