"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b464c085-06c6-4e56-8470-968482d81912","","folder-normal","","","step","TRUE","FALSE","Building A"
"09d45c23-37b4-4041-a159-d752b6d90bb7","","folder-normal","","","step","TRUE","FALSE","Building A","Level 1"
"2d27383b-05cf-4ddd-8672-0205fc269570","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Apt 101"
"1536dc1e-2ef4-499a-8cda-f79ff222182d","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Apt 102"
"c3e3141b-1625-452d-8978-36288193bf6f","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Apt 103"
"2646c2a4-da41-4cc3-902b-861fc06454ac","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Apt 104"
"75ed70f6-1ad5-4f77-b3f3-2175ff3d3547","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Apt 105"
"9d98483d-5749-455e-b8b9-708a5c9aae2b","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Apt 106"
"e9579d42-a081-4f01-a5f4-a8b86cf03641","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Apt 107"
"df75bd9a-baab-478a-92c8-718e2c7ed9fd","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Apt 108"
"5073d26b-7750-46c3-841e-c20543e5e49f","","folder-normal","","","step","TRUE","FALSE","Building A","Level 2"
"8c903c93-1c4f-4452-bc83-c83954d01595","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 2","Apt 201"
"bea13978-dc32-44a0-936c-7472367e05fc","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 2","Apt 202"
"db791d69-6b9c-4663-9ab7-23eef638b7f0","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 2","Apt 203"
"e0b5e7ea-5686-41c4-af35-30491b50be5b","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 2","Apt 204"
"678afa21-8e81-4d0f-8c39-70bd7df1375c","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 2","Apt 205"
"28ff700d-6418-41e9-9353-cad9f3c64850","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 2","Apt 206"
"7c83d249-c6c5-493e-88fe-5d943bff277b","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 2","Apt 207"
"07be483a-94c3-482d-aef9-97c9b793cfab","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 2","Apt 208"
"60b14b89-427b-4632-915e-5a3a18bf6593","","folder-normal","","","step","TRUE","FALSE","Building A","Level 3"
"1de97ffd-c0b3-4359-b9f2-283da542eb7b","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 3","Apt 301"
"85e0732d-9a3f-4c31-8602-4ed40286837d","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 3","Apt 302"
"03d98b51-3804-4411-9ccb-b814f1863fd0","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 3","Apt 303"
"b5a02c2f-53c2-47af-b996-8c5bba8fdd0e","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 3","Apt 304"
"f7608357-4c0b-4484-855a-f8ea89529f07","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 3","Apt 305"
"c8a7e9df-aa06-4463-b213-a212bb76dfc8","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 3","Apt 306"
"e40b5e6a-a5b6-4d99-9d65-bb8cd13d9148","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 3","Apt 307"
"4ce8d614-88c2-4d3d-938d-ed6e42ea35ca","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 3","Apt 308"
"8a7f9621-4904-4050-a56b-f9b281d3d391","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 3","Apt 309"
"95e6a372-1dec-4432-8e5b-edf49a8b736a","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 3","Apt 310"
"f9f86ce5-9530-4954-bb48-ac729f6843d3","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 3","Apt 311"
"4ae974d0-9c24-4947-ba41-e552bd9a1b25","","checklist-flat","","Postless Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 3","Apt 312"
"40c45f51-5d34-4ea7-956a-a918b056c6d8","","checklist-flat","","Postless Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 3","Apt 313"
"434d3b53-56c9-479e-bdb9-f5f669cdd44d","","checklist-flat","","Postless Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 3","Apt 314"
"ad81a05b-a8fd-4da9-a873-b3c6c3176e3d","","checklist-flat","","Postless Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 3","Apt 315"
"7789d233-4125-4baa-a414-19e70d9c1c5b","","checklist-flat","","Postless Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 3","Apt 316"
"d1fbcfeb-71aa-47f0-9170-84d1e059b6b1","","checklist-flat","","Postless Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 3","Apt 317"
"aab62bfe-939d-47fa-adca-ba153448c762","","checklist-flat","","Postless Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 3","Apt 318"
"ec8ba6f5-ad99-4a43-a7b0-e3d81b2941e9","","checklist-flat","","Postless Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 3","Apt 319"
"e640c2c8-7973-4c31-ae1b-1d547c2dd830","","checklist-flat","","Postless Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 3","Apt 320"
"b251ea94-11a9-40e7-8ed4-40386cf571ee","","checklist-flat","","Postless Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 3","Apt 321"
"ba5c997b-994b-4cca-a075-187b5df82f7c","","checklist-flat","","Postless Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 3","Apt 322"
"f30bda6f-629e-4f36-982b-53fdc98c6ade","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 3","Apt 323"
"33961e41-5e05-4153-9ebc-307b9de4fa4d","","folder-normal","","","step","TRUE","FALSE","Building A","Level 4"
"1d86946f-0bd2-4a92-ad43-09f57a278c28","","checklist-flat","","Postless Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 4","Apt 401"
"50e18ff9-a3ae-4684-92d4-2dd7ca7e8527","","checklist-flat","","Postless Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 4","Apt 402"
"88ab4ed2-a92a-4484-87af-1d0219aa5632","","checklist-flat","","Postless Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 4","Apt 403"
"4d72fdca-00aa-4777-8fe6-88c45112fd48","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 4","Apt 404"
"a6be8582-7c17-4b5b-8db9-1b5a79601b49","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 4","Apt 405"
"739d5fd7-7e3c-4bb1-862c-e5ededc3afbd","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 4","Apt 406"
"1dc51c8e-6617-4f13-aacf-0686445ed913","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","Building A","Level 4","Apt 407"
