resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,step,,,Unit 7,,,,,,,,
Pre-construction Concrete Substrate Readiness Checklist,Underslab Checklist,Vertical Checklist,folder-with-checklists,,,,Grid 5-3,,,,,,,
,,,step,,,Unit 8,,,,,,,,
Pre-construction Concrete Substrate Readiness Checklist,Underslab Checklist,Vertical Checklist,folder-with-checklists,,,,Grid 5-3,,,,,,,
,,,step,,,Unit 9,,,,,,,,
Pre-construction Concrete Substrate Readiness Checklist,Underslab Checklist,Vertical Checklist,folder-with-checklists,,,,Grid 5-3,,,,,,,
,,,step,,,Unit 10,,,,,,,,
Pre-construction Concrete Substrate Readiness Checklist,Underslab Checklist,Vertical Checklist,folder-with-checklists,,,,Grid 5-12,,,,,,,
,,,step,,,Unit 11,,,,,,,,
Pre-construction Concrete Substrate Readiness Checklist,Underslab Checklist,Vertical Checklist,folder-with-checklists,,,,Grid 5-12,,,,,,,
,,,step,,,Unit 12,,,,,,,,
Pre-construction Concrete Substrate Readiness Checklist,Underslab Checklist,Vertical Checklist,folder-with-checklists,,,,Grid 5-12,,,,,,,
,,,step,,,Unit 13,,,,,,,,
Pre-construction Concrete Substrate Readiness Checklist,Underslab Checklist,Vertical Checklist,folder-with-checklists,,,,Grid 5-12,,,,,,,
,,,step,,,Unit 14,,,,,,,,
Pre-construction Concrete Substrate Readiness Checklist,Underslab Checklist,Vertical Checklist,folder-with-checklists,,,,Grid 5-21 ,,,,,,,
,,,step,,,Unit 15,,,,,,,,
Pre-construction Concrete Substrate Readiness Checklist,Underslab Checklist,Vertical Checklist,folder-with-checklists,,,,Grid 5-21 ,,,,,,,
,,,step,,,Unit 16,,,,,,,,
Pre-construction Concrete Substrate Readiness Checklist,Underslab Checklist,Vertical Checklist,folder-with-checklists,,,,Grid 5-21 ,,,,,,,
,,,step,,,Unit 17,,,,,,,,
Pre-construction Concrete Substrate Readiness Checklist,Underslab Checklist,Vertical Checklist,folder-with-checklists,,,,Grid 5-21 ,,,,,,,
,,,step,,,Unit 26,,,,,,,,
Pre-construction Concrete Substrate Readiness Checklist,Underslab Checklist,Vertical Checklist,folder-with-checklists,,,,Grid 3-10 ,,,,,,,
