Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Installation QA Progress,,,,,,
,Scope,,,installation qa,,
,Rows,,,,,
,,Level 3 Balustrade,dynamic,balustrade,installation qa,level 3
,,Level 4,dynamic,level 4,installation qa,
,,Level 5 Column,dynamic,column,level 5,installation qa
,,Level 5 Balustrade,dynamic,balustrade,level 5,installation qa
,,Level 5 Panel,dynamic,panel,level 5,installation qa
,,Level 6 Panel,dynamic,panel,level 6,installation qa
,,Level 6 Column,dynamic,column,level 6,installation qa
,,Level 6 Balustrade,dynamic,balustrade,level 6,installation qa
,,Level 7 Balustrade,dynamic,balustrade,installation qa,level 7
,,Level 8 Balustrade,dynamic,level 8,balustrade,installation qa
,,Level 9 Balustrade,dynamic,level 9,balustrade,installation qa
,,Level 9 Column,dynamic,column,level 9,installation qa
,,Level 9 Panel,dynamic,panel,level 9,installation qa
,,Level 10 Balustrade,dynamic,balustrade,level 10,installation qa
,,Level 10 Column,dynamic,column,level 10,installation qa
,,Level 10 Panel,dynamic,panel,level 10,installation qa
,,Level 11 Balustrade,dynamic,balustrade,level 11,installation qa
,,Level 11 Column,dynamic,column,level 11,installation qa
,,Level 11 Panel,dynamic,panel,level 11,installation qa
,,Level 12 Balustrade,dynamic,level 12,balustrade,installation qa
,,Level 12 Column,dynamic,column,level 12,installation qa
,,Level 12 Panel,dynamic,panel,level 12,installation qa
,,Level 13 Balustrade,dynamic,balustrade,installation qa,level 13
,,Level 13 Column,dynamic,column,installation qa,level 13
,,Level 13 Panel,dynamic,panel,installation qa,level 13
,,Level 14 Balustrade,dynamic,balustrade,installation qa,level 14
,,Level 15 Balustrade,dynamic,balustrade,level 15,installation qa
,,Level 15 Column,dynamic,column,level 15,installation qa
,,Level 15 Panel,dynamic,panel,level 15,installation qa
,,Level 16 Balustrade,dynamic,level 16,balustrade,installation qa
,,Level 16 Balustrade,dynamic,level 16,balustrade,installation qa
,,Level 16 Column,dynamic,level 16,column,installation qa
,,Level 16 Core Life,dynamic,level 16,installation qa,core lift
,,Level 16 Panel,dynamic,level 16,panel,installation qa
,,Level 17,dynamic,installation qa,level 17,
,Columns,,,,,
,,Bedding grout placed & finished as per project reqs.,,Bedding grout placed and finished as per project requirements,,
,,Bedding grout (trowelable) used is as per project spec.,Bedding grout (trowelable) used is as per project specification (PHOTO REQUIRED of the grout bag),Bedding grout placed and finished as per project requirements,,
,,Bedding grout - Grout mixed in line with manufacturers recs.,Grout mixed in line with manufacturers recommendations,Bedding grout placed and finished as per project requirements,,
,,Grout bed sufficient to ensure full coverage,Grout bed sufficient to ensure full coverage (PHOTO REQUIRED of grout bed prior to landing element),Bedding grout placed and finished as per project requirements,,
,,Element installed to:,,Element installed to (PHOTO REQUIRED to show survey pins and spirit level bubble):,,
,,Survey Pins,Survey Pins,Element installed to (PHOTO REQUIRED to show survey pins and spirit level bubble):,,
,,Within 5mm of vertical plumb,Within 5mm of vertical plumb,Element installed to (PHOTO REQUIRED to show survey pins and spirit level bubble):,,
,,Face alignment within 5mm,Face alignment within 5mm,Element installed to (PHOTO REQUIRED to show survey pins and spirit level bubble):,,
,,Element propped as per Euro Precast PEDS,,Element propped as per Euro Precast PEDS (PHOTO REQUIRED of element propped),,
,,Prop bolts installed with tool to ensure locking mechanism can't be removed,Prop bolts installed with tool to ensure locking mechanism can't be removed by hand,Element propped as per Euro Precast PEDS (PHOTO REQUIRED of element propped),,
,,Dowel tube (flowable) grout placed &finished as per project reqs.,,Dowel tube (flowable) grout placed and finished as per project requirements,,
,,Dowel tube grout used is as per project specs.,Dowel tube grout used is as per project specification (PHOTO REQUIRED of the grout bag),Dowel tube (flowable) grout placed and finished as per project requirements,,
,,Dowel tube (flowable) - Grout mixed in line with manufacturers recs.,Grout mixed in line with manufacturers recommendations,Dowel tube (flowable) grout placed and finished as per project requirements,,
,,Dowel tubes filled to top of tubes,Dowel tubes filled to top of tubes,Dowel tube (flowable) grout placed and finished as per project requirements,,
,,Any transport/erection damage that needs to be fixed,,Is there any transport or erection damage that needs to be fixed (PHOTO REQUIRED of damaged area),,
,,Area cleaned from grout & rubbish,,Area has been cleaned from grout and rubbish (PHOTO REQUIRED of the area before leaving),,
