Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,
B01 - Overall Progress,,,,,,,,,
,Scope,,,,,,,,
,Rows,,,,,,,,
,,BASEMENT,grouping,BASEMENT,,,,,
,,Basement - North West Wing - Common & Service Areas,dynamic,Common & Service Areas,North West Wing ,Basement ,Fitout,B01,
,,Basement - North West Wing - Service Areas,grouping,North West Wing - Service Areas,,,,,
,,COMMS,,COMMS,Service Areas,North West Wing ,Basement ,Fitout,B01
,,Basement - South West Wing - Common & Service Areas,dynamic,Common & Service Areas,South West Wing ,Basement ,Fitout,B01,
,,Basement - Center - Common & Service Areas,dynamic,Common & Service Areas,Center,Basement ,Fitout,B01,
,,Basement - North East Wing - Common & Service Areas,dynamic,Common & Service Areas,North East Wing ,Basement ,Fitout,B01,
,,Basement - North East Wing - Service Areas,dynamic,Service Areas,North East Wing ,Basement ,Fitout,B01,
,,Basement - South East Wing - Common & Service Areas,dynamic,Common Areas,South East Wing ,Basement ,Fitout,B01,
,,GROUND LEVEL,grouping,GROUND LEVEL,,,,,
,,Ground Level - North West Wing - Common Areas,dynamic,Common Areas,North West Wing ,Ground level,Fitout,B01,
,,Ground Level - South West Wing - Common & Service Areas,dynamic,Common & Service Areas,South West Wing ,Ground level,Fitout,B01,
,,Ground Level - South West Wing - Care Units,dynamic,Care Units,South West Wing ,Ground level,Fitout,B01,
,,Ground Level - Center - Common & Service Areas,dynamic,Common & Service Areas,Center,Ground level,Fitout,B01,
,,Ground Level - North East Wing - Common & Service Areas,dynamic,Common & Service Areas,North East Wing ,Ground level,Fitout,B01,
,,Ground Level - North East Wing - Service Areas,grouping,North East Wing - Service Areas,,,,,
,,Service Riser,,Service Riser,Service Areas,North East Wing ,Ground level,Fitout,B01
,,Ground Level - North East Wing - Care Units,dynamic,Care Units,North East Wing ,Ground level,Fitout,B01,
,,Ground Level - South East Wing - Common & Service Areas,dynamic,Common & Service Areas,South East Wing ,Ground level,Fitout,B01,
,,Ground Level - South East Wing - Service Areas,grouping,Ground Level - South East Wing - Service Areas,,,,,
,,Service Riser,,Service Riser,Service Areas,South East Wing ,Ground level,Fitout,B01
,,Ground Level - South East Wing - Care Units,dynamic,Care Units,South East Wing,Ground level,Fitout,B01,
,,LEVEL 1,grouping,LEVEL 1,,,,,
,,Level 1 - North West Wing - Common & Service Areas,dynamic,Common & Service Areas,North West Wing ,Level 1,Fitout,B01,
,,Level 1 - North West Wing - Service Areas,grouping,Level 1 - North West Wing - Service Areas,,,,,
,,MSB (Electrical),,MSB (Electrical),Service Areas,North West Wing ,Level 1,Fitout,B01
,,Level 1 - North West Wing - Appartments (ALS),dynamic,Appartments (ALS),North West Wing ,Level 1,Fitout,B01,
,,Level 1 - South West Wing - Common & Service Areas,dynamic,Common & Service Areas,South West Wing,Level 1,Fitout,B01,
,,Level 1 - South West Wing - Service Areas,grouping,Level 1 - South West Wing - Service Areas,,,,,
,,COMMS,,COMMS,Service Areas,North West Wing ,Level 1,Fitout,B01
,,Level 1 - South West Wing - Appartments (ALS),dynamic,Appartments (ALS),South West Wing,Level 1,Fitout,B01,
,,Level 1 - Center - Common & Service Areas,dynamic,Common & Service Areas,Center,Level 1,Fitout,B01,
,,Level 1 - Center - Appartments (ALS),dynamic,Appartments (ALS),Center,Level 1,Fitout,B01,
,,Level 1 - North East Wing - Common & Service Areas,dynamic,Common & Service Areas,North East Wing ,Level 1,Fitout,B01,
,,Level 1 - North East Wing - Service Areas,grouping,Level 1 - North East Wing - Service Areas,,,,,
