"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,
,"Rows"
,,"Basement - Common Areas","grouping","basement","common areas"
,,"Store",,"basement","common areas","store"
,,"Lobby 1 Grids 02/04 - C/E",,"basement","common areas","lobby 1 grids 02/04 - c/e"
,,"Lobby 2 Grids 06/07 - C/E",,"basement","common areas","lobby 2 grids 06/07 - c/e"
,,"Stair",,"basement","common areas","stair"
,,"Ground Level - Apartments","grouping","ground level","apartments"
,,"G30",,"g30","ground level","apartments"
,,"G31",,"g31","ground level","apartments"
,,"G32",,"ground level","g32","apartments"
,,"G33",,"ground level","g33","apartments"
,,"G34",,"g34","ground level","apartments"
,,"G35",,"g35","ground level","apartments"
,,"G36",,"ground level","g36","apartments"
,,"G37",,"ground level","g37","apartments"
,,"G38",,"g38","ground level","apartments"
,,"G39",,"g39","ground level","apartments"
,,"Ground Level - Service Areas","grouping","service areas","ground level"
,,"MSB",,"service areas","msb","ground level"
,,"COMMS",,"comms","service areas","ground level"
,,"Ground Level - Common Areas","grouping","common areas","ground level"
,,"Entrance",,"entrance","common areas","ground level"
,,"Hallway Grids A-E",,"hallway grids a-e","common areas","ground level"
,,"Hallway Grids E-H",,"common areas","ground level","hallway grids e-h"
,,"Hallway Grids 01-05",,"common areas","ground level","hallway grids 01-05"
,,"Hallway Grids 06-08",,"common areas","hallway grids 06-08","ground level"
,,"Stair",,"common areas","ground level","stair"
,,"First Level - Apartments","grouping","first level","apartments"
,,"130",,"130","first level","apartments"
,,"131",,"131","first level","apartments"
,,"132",,"132","first level","apartments"
,,"133",,"133","first level","apartments"
,,"134",,"134","first level","apartments"
,,"135",,"135","first level","apartments"
,,"136",,"136","first level","apartments"
,,"137",,"137","first level","apartments"
,,"138",,"138","first level","apartments"
,,"139",,"139","first level","apartments"
,,"First Level - Service Areas","grouping","service areas","first level"
,,"Store 1 Grids: 04/05 - D/E",,"service areas","first level","store 1 grids: 04/05 - d/e"
,,"Store 2 Grids: 06/07 - D/E",,"service areas","first level","store 2 grids: 06/07 - d/e"
,,"First Level - Common Areas","grouping","common areas","first level"
,,"Hallway Grids A-E",,"hallway grids a-e","common areas","first level"
,,"Hallway Grids E-H",,"common areas","first level","hallway grids e-h"
,,"Hallway Grids 01-05",,"common areas","first level","hallway grids 01-05"
,,"Hallway Grids 06-08",,"common areas","hallway grids 06-08","first level"
,,"Stair",,"common areas","first level","stair"
,,"Second Level - Apartments","grouping","second level","apartments"
,,"230",,"230","second level","apartments"
,,"231",,"231","second level","apartments"
,,"232",,"232","second level","apartments"
,,"233",,"233","second level","apartments"
,,"234",,"234","second level","apartments"
,,"235",,"235","second level","apartments"
,,"236",,"236","second level","apartments"
,,"237",,"237","second level","apartments"
,,"238",,"238","second level","apartments"
,,"239",,"239","second level","apartments"
,,"Second Level - Service Areas","grouping","service areas","second level"
,,"Store 1 Grids: 04/05 - D/E",,"service areas","store 1 grids: 04/05 - d/e","second level"
,,"Store 2 Grids: 04/05 - D/E",,"service areas","store 2 grids: 04/05 - d/e","second level"
,,"Second Level - Common Areas","grouping","common areas","second level"
,,"Hallway Grids A-E",,"hallway grids a-e","common areas","second level"
,,"Hallway Grids E-H",,"common areas","hallway grids e-h","second level"
,,"Hallway Grids 01-05",,"common areas","hallway grids 01-05","second level"
,,"Hallway Grids 06-08",,"common areas","hallway grids 06-08","second level"
,,"Stair",,"common areas","stair","second level"
,"Columns"
,,"Steel Stud Framing",,"steel stud framing"
,,"Suspended ceiling grids",,"suspended ceiling grids"

