"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b72e8b31-46ba-48dc-9b73-d18886305f07","","folder-normal","pass","","step","TRUE","FALSE","Basement 1"
"c49c7e83-d79f-4965-8eef-a04a4278db82","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Basement 1","B1-C01"
"5d231230-06f6-4da5-b772-62dd0461aef9","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Basement 1","B1-C02"
"6357ae7d-47ca-45f1-89d2-d329bc3df72b","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Basement 1","B1-C03"
"6f6570af-4806-4333-8f46-6b7cf2d51e8d","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Basement 1","B1-C04"
"c8c68588-ad80-4d23-8f78-8e87e6d218a3","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Basement 1","B1-C05"
"ad68d9c0-5904-455f-babf-30591e07f8f9","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Basement 1","B1-C06"
"f8acce9f-f1f6-4e5c-8b87-7fe7052f9fc4","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Basement 1","B1-C07"
"6bee6050-5873-4d72-b5a0-1a9b52c8d95b","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Basement 1","B1-C08"
"af307209-e66a-423a-ab81-80a13d0d46eb","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Basement 1","B1-C09"
"affa3da3-1342-4d18-bcd0-3abd4f6968d0","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Basement 1","B1-C10"
"fe26e5ac-dc33-43cc-9cd2-444c580311cc","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Basement 1","B1-C11"
"445eb9ad-7d50-428a-926b-e4a486b7a93c","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Basement 1","B1-C12"
"0b42b7d1-3382-4718-8839-067a981fa5d5","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Basement 1","B1-C13"
"f4fdf7fc-e1fc-4df1-b039-8b2fa8efd077","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Basement 1","B1-C14"
"98cf1cc1-e87c-4459-a773-b08afc2a195e","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Basement 1","B1-C15"
"a73b2a86-17ee-4138-bccd-708d4cf4bcda","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Basement 1","B1-C16"
"09c550ad-b058-4231-a2c2-f02b549edfd4","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Basement 1","B1-C17"
"54c5bfe9-143e-4ae4-bd56-3fd7331c27cf","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Basement 1","B1-C18"
"bb18c761-3b26-4149-90a9-08fee89270c1","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Basement 1","B1-C19"
"3f8f8a46-da25-49f6-8d67-633a36a12051","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Basement 1","B1-C20"
"b0911cf7-d981-4241-9350-5ed8526a21b3","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Basement 1","B1-C21"
"5e2830d2-f730-4f4a-a67c-ad2fb02d8fcb","","checklist-sectioned","pass","ba85556131dcd4896e528440f230793f7af4273350bc4e4464580c53eb236bf4","checklist","FALSE","FALSE","Basement 1","B1-C22"
"c9eebdd6-4275-489b-b009-e4539ec4bfcd","","folder-normal","pass","","step","TRUE","FALSE","Ground Floor"
"c4b6622e-ea3f-49be-a918-54d0d5f12653","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","G-C25"
"2fe9fd28-0b7f-4fec-bb30-350496148a7e","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","G-C25A"
