Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Plastering & Internal Hebel Progress,,,,,,
,Scope,,,,,
,Rows,,,,,
,,Ground floor,grouping,Ground floor,,
,,Corridor,,Corridor,Ground floor,Site QA
,,Level 1,grouping,Level 1,,
,,Corridor,,Corridor,Level 1,Site QA
,,U101,,U101,Level 1,Site QA
,,U102,,U102,Level 1,Site QA
,,U103,,U103,Level 1,Site QA
,,U104,,U104,Level 1,Site QA
,,U105,,U105,Level 1,Site QA
,,U106,,U106,Level 1,Site QA
,,U107,,U107,Level 1,Site QA
,,Level 2,grouping,Level 2,,
,,Corridor,,Corridor,Level 2,Site QA
,,U201,,U201,Level 2,Site QA
,,U202,,U202,Level 2,Site QA
,,U203,,U203,Level 2,Site QA
,,U204,,U204,Level 2,Site QA
,,U205,,U205,Level 2,Site QA
,,U206,,U206,Level 2,Site QA
,,U207,,U207,Level 2,Site QA
,,Level 3,grouping,Level 3,,
,,Corridor,,Corridor,Level 3,Site QA
,,U301,,U301,Level 3,Site QA
,,U302,,U302,Level 3,Site QA
,,Level 4,grouping,Level 4,,
,,Corridor,,Corridor,Level 4,Site QA
,,U401,,U401,Level 4,Site QA
,,U402,,U402,Level 4,Site QA
,,U403,,U403,Level 4,Site QA
,,U404,,U404,Level 4,Site QA
,,Level 5,grouping,Level 5,,
,,Corridor,,Corridor,Level 5,Site QA
,,U501,,U501,Level 5,Site QA
,,U502,,U502,Level 5,Site QA
,,U503,,U503,Level 5,Site QA
,,U504,,U504,Level 5,Site QA
,,Level 6,grouping,Level 6,,
,,Corridor,,Corridor,Level 6,Site QA
,,U601,,U601,Level 6,Site QA
,,U602,,U602,Level 6,Site QA
,,U603,,U603,Level 6,Site QA
,,U604,,U604,Level 6,Site QA
,,Level 7,grouping,Level 7,,
,,Corridor,,Corridor,Level 7,Site QA
,,U701,,U701,Level 7,Site QA
,,U702,,U702,Level 7,Site QA
,,U703,,U703,Level 7,Site QA
,,U704,,U704,Level 7,Site QA
,,Level 8,grouping,Level 8,,
,,Corridor,,Corridor,Level 8,Site QA
,,U801,,U801,Level 8,Site QA
,,U802,,U802,Level 8,Site QA
,,U803,,U803,Level 8,Site QA
,,Level 9,grouping,Level 9,,
,,Corridor,,Corridor,Level 9,Site QA
,,U901,,U901,Level 9,Site QA
,,U902,,U902,Level 9,Site QA
,,U903,,U903,Level 9,Site QA
,,Level 10,grouping,Level 10,,
,,Corridor,,Corridor,Level 10,Site QA
,,U1001,,U1001,Level 10,Site QA
,,U1002,,U1002,Level 10,Site QA
,,U1003,,U1003,Level 10,Site QA
,,Level 11,grouping,Level 11,,
,,Corridor,,Corridor,Level 11,Site QA
,,U1101,,U1101,Level 11,Site QA
,,U1102,,U1102,Level 11,Site QA
,,U1103,,U1103,Level 11,Site QA
,,Level 12,grouping,Level 12,,
,,Corridor,,Corridor,Level 12,Site QA
,,U1201,,U1201,Level 12,Site QA
,,U1202,,U1202,Level 12,Site QA
,,U1203,,U1203,Level 12,Site QA
,,Level 13,grouping,Level 13,,
,,Corridor,,Corridor,Level 13,Site QA
,,U1301,,U1301,Level 13,Site QA
,,U1302,,U1302,Level 13,Site QA
,,U1303,,U1303,Level 13,Site QA
,Columns,,,,,
,,Framing,,Framing,,
,,Internal Hebel wall,,Internal Hebel wall,,
,,Plasterboard for Walls,,Plasterboard for Walls,,
,,Plasterboard for Ceiling,,Plasterboard for Ceiling,,
,,Setting & Sanding ,,Setting & Sanding ,,
