resource,resource,resource,resource,resource,resource,resource,resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,507,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,508,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,509,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,510,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,511,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,512,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,513,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,514,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,515,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,516,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,517,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,518,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,519,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,520,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,521,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,522,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,523,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,524,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,525,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,526,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,527,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,528,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,529,,,,,
,,,,,,,,,,,,,step,,,,,SOUTH Level 6,,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,601,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,602,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,603,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,604,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,605,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,606,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,607,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,608,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,609,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,610,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,611,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,612,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,613,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,614,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,615,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,616,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,617,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,618,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,619,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,620,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,621,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,622,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,623,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,624,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,625,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,626,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,627,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,628,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,629,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,630,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,631,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,632,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,633,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,634,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,635,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,636,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,637,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,638,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,639,,,,,
UQ Low Level Rough In,,,,,,,,,,,,,checklist,,,,,,640,,,,,
,,,,,,,,,,,,,step,,,,Fit Off/ Install,,,,,,,
,,,,,,,,,,,,,step,,,,,NORTH Ground,,,,,,
,,,,,,,,,,,,,step,,,,,,TH01,,,,,
UQ Fit Off/ Fixture Install Toilets & Cisterns,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install Toilets & Cisterns,,,,
UQ Fit Off/ Fixture Install - Showers & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Showers & Tapware,,,,
UQ Fit Off/ Fixture Install - Vanity Basin/s & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Vanity Basin/s & Tapware,,,,
UQ Fit Off/ Fixture Install - Kitchen sink & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Kitchen sink & Tapware,,,,
UQ Fit Off/ Fixture Install - Laundry trough & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Laundry trough & Tapware,,,,
UQ Fit Off/ Fixture Install - Bath & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Bath & Tapware,,,,
UQ Fit Off/ Fixture Install - Dishwasher ,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Dishwasher ,,,,
UQ Fit Off/ Fixture Install - Wall Tundish,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Wall Tundish,,,,
UQ Fit Off/ Fixture Install - Hose Taps,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Hose Taps,,,,
UQ Fit Off/ Fixture Install - TMV,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - TMV,,,,
UQ Fit Off/ Fixture Install - Tempering Valve,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Tempering Valve,,,,
UQ Fit Off/ Fixture Install - Gas Cooktop,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Gas Cooktop,,,,
UQ Fit Off/ Fixture Install - RPZD,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - RPZD,,,,
,,,,,,,,,,,,,step,,,,,,TH02,,,,,
UQ Fit Off/ Fixture Install Toilets & Cisterns,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install Toilets & Cisterns,,,,
UQ Fit Off/ Fixture Install - Showers & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Showers & Tapware,,,,
UQ Fit Off/ Fixture Install - Vanity Basin/s & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Vanity Basin/s & Tapware,,,,
UQ Fit Off/ Fixture Install - Kitchen sink & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Kitchen sink & Tapware,,,,
UQ Fit Off/ Fixture Install - Laundry trough & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Laundry trough & Tapware,,,,
UQ Fit Off/ Fixture Install - Bath & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Bath & Tapware,,,,
UQ Fit Off/ Fixture Install - Dishwasher ,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Dishwasher ,,,,
UQ Fit Off/ Fixture Install - Wall Tundish,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Wall Tundish,,,,
UQ Fit Off/ Fixture Install - Hose Taps,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Hose Taps,,,,
UQ Fit Off/ Fixture Install - TMV,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - TMV,,,,
UQ Fit Off/ Fixture Install - Tempering Valve,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Tempering Valve,,,,
UQ Fit Off/ Fixture Install - Gas Cooktop,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Gas Cooktop,,,,
UQ Fit Off/ Fixture Install - RPZD,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - RPZD,,,,
,,,,,,,,,,,,,step,,,,,,TH03,,,,,
UQ Fit Off/ Fixture Install Toilets & Cisterns,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install Toilets & Cisterns,,,,
UQ Fit Off/ Fixture Install - Showers & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Showers & Tapware,,,,
UQ Fit Off/ Fixture Install - Vanity Basin/s & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Vanity Basin/s & Tapware,,,,
UQ Fit Off/ Fixture Install - Kitchen sink & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Kitchen sink & Tapware,,,,
UQ Fit Off/ Fixture Install - Laundry trough & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Laundry trough & Tapware,,,,
UQ Fit Off/ Fixture Install - Bath & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Bath & Tapware,,,,
UQ Fit Off/ Fixture Install - Dishwasher ,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Dishwasher ,,,,
UQ Fit Off/ Fixture Install - Wall Tundish,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Wall Tundish,,,,
UQ Fit Off/ Fixture Install - Hose Taps,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Hose Taps,,,,
UQ Fit Off/ Fixture Install - TMV,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - TMV,,,,
UQ Fit Off/ Fixture Install - Tempering Valve,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Tempering Valve,,,,
UQ Fit Off/ Fixture Install - Gas Cooktop,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Gas Cooktop,,,,
UQ Fit Off/ Fixture Install - RPZD,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - RPZD,,,,
,,,,,,,,,,,,,step,,,,,,TH04,,,,,
UQ Fit Off/ Fixture Install Toilets & Cisterns,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install Toilets & Cisterns,,,,
UQ Fit Off/ Fixture Install - Showers & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Showers & Tapware,,,,
UQ Fit Off/ Fixture Install - Vanity Basin/s & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Vanity Basin/s & Tapware,,,,
UQ Fit Off/ Fixture Install - Kitchen sink & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Kitchen sink & Tapware,,,,
UQ Fit Off/ Fixture Install - Laundry trough & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Laundry trough & Tapware,,,,
UQ Fit Off/ Fixture Install - Bath & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Bath & Tapware,,,,
UQ Fit Off/ Fixture Install - Dishwasher ,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Dishwasher ,,,,
UQ Fit Off/ Fixture Install - Wall Tundish,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Wall Tundish,,,,
UQ Fit Off/ Fixture Install - Hose Taps,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Hose Taps,,,,
UQ Fit Off/ Fixture Install - TMV,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - TMV,,,,
UQ Fit Off/ Fixture Install - Tempering Valve,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Tempering Valve,,,,
UQ Fit Off/ Fixture Install - Gas Cooktop,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Gas Cooktop,,,,
UQ Fit Off/ Fixture Install - RPZD,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - RPZD,,,,
,,,,,,,,,,,,,step,,,,,,TH05,,,,,
UQ Fit Off/ Fixture Install Toilets & Cisterns,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install Toilets & Cisterns,,,,
UQ Fit Off/ Fixture Install - Showers & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Showers & Tapware,,,,
UQ Fit Off/ Fixture Install - Vanity Basin/s & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Vanity Basin/s & Tapware,,,,
UQ Fit Off/ Fixture Install - Kitchen sink & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Kitchen sink & Tapware,,,,
UQ Fit Off/ Fixture Install - Laundry trough & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Laundry trough & Tapware,,,,
UQ Fit Off/ Fixture Install - Bath & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Bath & Tapware,,,,
UQ Fit Off/ Fixture Install - Dishwasher ,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Dishwasher ,,,,
UQ Fit Off/ Fixture Install - Wall Tundish,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Wall Tundish,,,,
UQ Fit Off/ Fixture Install - Hose Taps,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Hose Taps,,,,
UQ Fit Off/ Fixture Install - TMV,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - TMV,,,,
UQ Fit Off/ Fixture Install - Tempering Valve,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Tempering Valve,,,,
UQ Fit Off/ Fixture Install - Gas Cooktop,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Gas Cooktop,,,,
UQ Fit Off/ Fixture Install - RPZD,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - RPZD,,,,
,,,,,,,,,,,,,step,,,,,NORTH Level 1,,,,,,
,,,,,,,,,,,,,step,,,,,,106,,,,,
UQ Fit Off/ Fixture Install Toilets & Cisterns,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install Toilets & Cisterns,,,,
UQ Fit Off/ Fixture Install - Showers & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Showers & Tapware,,,,
UQ Fit Off/ Fixture Install - Vanity Basin/s & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Vanity Basin/s & Tapware,,,,
UQ Fit Off/ Fixture Install - Kitchen sink & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Kitchen sink & Tapware,,,,
UQ Fit Off/ Fixture Install - Laundry trough & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Laundry trough & Tapware,,,,
UQ Fit Off/ Fixture Install - Bath & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Bath & Tapware,,,,
UQ Fit Off/ Fixture Install - Dishwasher ,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Dishwasher ,,,,
UQ Fit Off/ Fixture Install - Wall Tundish,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Wall Tundish,,,,
UQ Fit Off/ Fixture Install - Hose Taps,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Hose Taps,,,,
UQ Fit Off/ Fixture Install - TMV,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - TMV,,,,
UQ Fit Off/ Fixture Install - Tempering Valve,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Tempering Valve,,,,
UQ Fit Off/ Fixture Install - Gas Cooktop,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Gas Cooktop,,,,
UQ Fit Off/ Fixture Install - RPZD,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - RPZD,,,,
,,,,,,,,,,,,,step,,,,,,107,,,,,
UQ Fit Off/ Fixture Install Toilets & Cisterns,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install Toilets & Cisterns,,,,
UQ Fit Off/ Fixture Install - Showers & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Showers & Tapware,,,,
UQ Fit Off/ Fixture Install - Vanity Basin/s & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Vanity Basin/s & Tapware,,,,
UQ Fit Off/ Fixture Install - Kitchen sink & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Kitchen sink & Tapware,,,,
UQ Fit Off/ Fixture Install - Laundry trough & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Laundry trough & Tapware,,,,
UQ Fit Off/ Fixture Install - Bath & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Bath & Tapware,,,,
UQ Fit Off/ Fixture Install - Dishwasher ,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Dishwasher ,,,,
UQ Fit Off/ Fixture Install - Wall Tundish,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Wall Tundish,,,,
UQ Fit Off/ Fixture Install - Hose Taps,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Hose Taps,,,,
UQ Fit Off/ Fixture Install - TMV,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - TMV,,,,
UQ Fit Off/ Fixture Install - Tempering Valve,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Tempering Valve,,,,
UQ Fit Off/ Fixture Install - Gas Cooktop,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Gas Cooktop,,,,
UQ Fit Off/ Fixture Install - RPZD,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - RPZD,,,,
,,,,,,,,,,,,,step,,,,,,108,,,,,
UQ Fit Off/ Fixture Install Toilets & Cisterns,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install Toilets & Cisterns,,,,
UQ Fit Off/ Fixture Install - Showers & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Showers & Tapware,,,,
UQ Fit Off/ Fixture Install - Vanity Basin/s & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Vanity Basin/s & Tapware,,,,
UQ Fit Off/ Fixture Install - Kitchen sink & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Kitchen sink & Tapware,,,,
UQ Fit Off/ Fixture Install - Laundry trough & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Laundry trough & Tapware,,,,
UQ Fit Off/ Fixture Install - Bath & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Bath & Tapware,,,,
UQ Fit Off/ Fixture Install - Dishwasher ,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Dishwasher ,,,,
UQ Fit Off/ Fixture Install - Wall Tundish,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Wall Tundish,,,,
UQ Fit Off/ Fixture Install - Hose Taps,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Hose Taps,,,,
UQ Fit Off/ Fixture Install - TMV,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - TMV,,,,
UQ Fit Off/ Fixture Install - Tempering Valve,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Tempering Valve,,,,
UQ Fit Off/ Fixture Install - Gas Cooktop,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Gas Cooktop,,,,
UQ Fit Off/ Fixture Install - RPZD,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - RPZD,,,,
,,,,,,,,,,,,,step,,,,,,109,,,,,
UQ Fit Off/ Fixture Install Toilets & Cisterns,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install Toilets & Cisterns,,,,
UQ Fit Off/ Fixture Install - Showers & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Showers & Tapware,,,,
UQ Fit Off/ Fixture Install - Vanity Basin/s & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Vanity Basin/s & Tapware,,,,
UQ Fit Off/ Fixture Install - Kitchen sink & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Kitchen sink & Tapware,,,,
UQ Fit Off/ Fixture Install - Laundry trough & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Laundry trough & Tapware,,,,
UQ Fit Off/ Fixture Install - Bath & Tapware,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Bath & Tapware,,,,
UQ Fit Off/ Fixture Install - Dishwasher ,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Dishwasher ,,,,
UQ Fit Off/ Fixture Install - Wall Tundish,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Wall Tundish,,,,
UQ Fit Off/ Fixture Install - Hose Taps,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Hose Taps,,,,
UQ Fit Off/ Fixture Install - TMV,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - TMV,,,,
UQ Fit Off/ Fixture Install - Tempering Valve,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Tempering Valve,,,,
UQ Fit Off/ Fixture Install - Gas Cooktop,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - Gas Cooktop,,,,
UQ Fit Off/ Fixture Install - RPZD,,,,,,,,,,,,,checklist,,,,,,,UQ Fit Off/ Fixture Install - RPZD,,,,
,,,,,,,,,,,,,step,,,,,SOUTH Level 1,,,,,,
UQ Fit Off/ Fixture Install Toilets & Cisterns,UQ Fit Off/ Fixture Install - Showers & Tapware,UQ Fit Off/ Fixture Install - Vanity Basin/s & Tapware,UQ Fit Off/ Fixture Install - Kitchen sink & Tapware,UQ Fit Off/ Fixture Install - Laundry trough & Tapware,UQ Fit Off/ Fixture Install - Bath & Tapware,UQ Fit Off/ Fixture Install - Dishwasher ,UQ Fit Off/ Fixture Install - Wall Tundish,UQ Fit Off/ Fixture Install - Hose Taps,UQ Fit Off/ Fixture Install - TMV,UQ Fit Off/ Fixture Install - Tempering Valve,UQ Fit Off/ Fixture Install - Gas Cooktop,UQ Fit Off/ Fixture Install - RPZD,folder-with-checklists,,,,,,101,,,,,
UQ Fit Off/ Fixture Install Toilets & Cisterns,UQ Fit Off/ Fixture Install - Showers & Tapware,UQ Fit Off/ Fixture Install - Vanity Basin/s & Tapware,UQ Fit Off/ Fixture Install - Kitchen sink & Tapware,UQ Fit Off/ Fixture Install - Laundry trough & Tapware,UQ Fit Off/ Fixture Install - Bath & Tapware,UQ Fit Off/ Fixture Install - Dishwasher ,UQ Fit Off/ Fixture Install - Wall Tundish,UQ Fit Off/ Fixture Install - Hose Taps,UQ Fit Off/ Fixture Install - TMV,UQ Fit Off/ Fixture Install - Tempering Valve,UQ Fit Off/ Fixture Install - Gas Cooktop,UQ Fit Off/ Fixture Install - RPZD,folder-with-checklists,,,,,,102,,,,,
UQ Fit Off/ Fixture Install Toilets & Cisterns,UQ Fit Off/ Fixture Install - Showers & Tapware,UQ Fit Off/ Fixture Install - Vanity Basin/s & Tapware,UQ Fit Off/ Fixture Install - Kitchen sink & Tapware,UQ Fit Off/ Fixture Install - Laundry trough & Tapware,UQ Fit Off/ Fixture Install - Bath & Tapware,UQ Fit Off/ Fixture Install - Dishwasher ,UQ Fit Off/ Fixture Install - Wall Tundish,UQ Fit Off/ Fixture Install - Hose Taps,UQ Fit Off/ Fixture Install - TMV,UQ Fit Off/ Fixture Install - Tempering Valve,UQ Fit Off/ Fixture Install - Gas Cooktop,UQ Fit Off/ Fixture Install - RPZD,folder-with-checklists,,,,,,103,,,,,
UQ Fit Off/ Fixture Install Toilets & Cisterns,UQ Fit Off/ Fixture Install - Showers & Tapware,UQ Fit Off/ Fixture Install - Vanity Basin/s & Tapware,UQ Fit Off/ Fixture Install - Kitchen sink & Tapware,UQ Fit Off/ Fixture Install - Laundry trough & Tapware,UQ Fit Off/ Fixture Install - Bath & Tapware,UQ Fit Off/ Fixture Install - Dishwasher ,UQ Fit Off/ Fixture Install - Wall Tundish,UQ Fit Off/ Fixture Install - Hose Taps,UQ Fit Off/ Fixture Install - TMV,UQ Fit Off/ Fixture Install - Tempering Valve,UQ Fit Off/ Fixture Install - Gas Cooktop,UQ Fit Off/ Fixture Install - RPZD,folder-with-checklists,,,,,,104,,,,,
UQ Fit Off/ Fixture Install Toilets & Cisterns,UQ Fit Off/ Fixture Install - Showers & Tapware,UQ Fit Off/ Fixture Install - Vanity Basin/s & Tapware,UQ Fit Off/ Fixture Install - Kitchen sink & Tapware,UQ Fit Off/ Fixture Install - Laundry trough & Tapware,UQ Fit Off/ Fixture Install - Bath & Tapware,UQ Fit Off/ Fixture Install - Dishwasher ,UQ Fit Off/ Fixture Install - Wall Tundish,UQ Fit Off/ Fixture Install - Hose Taps,UQ Fit Off/ Fixture Install - TMV,UQ Fit Off/ Fixture Install - Tempering Valve,UQ Fit Off/ Fixture Install - Gas Cooktop,UQ Fit Off/ Fixture Install - RPZD,folder-with-checklists,,,,,,105,,,,,
