resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,,,,,,
,step,,,Facade QA,,,,,,,,,,,,,,,,,,
,step,,,,Area A,,,,,,,,,,,,,,,,,
,step,,,,,Bay A1,,,,,,,,,,,,,,,,
,step,,,,,,Panels,,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-4001,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-3001,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-2001,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-1001,,,,,,,,,,,,,,
,step,,,,,,Frames,,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK6001,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK5001,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK4001,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK3001,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK2001,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK4001,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK3001,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK2001,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK1001,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK4000,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK3000,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK2000,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK1000,,,,,,,,,,,,,,
Bay Completion / Inspection checklist,checklist,,,,,,Bay Completion Inspection,,,,,,,,,,,,,,,
,step,,,,,Bay A2,,,,,,,,,,,,,,,,
,step,,,,,,Panels,,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-4002,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-3002,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-2002,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-1002,,,,,,,,,,,,,,
,step,,,,,,Frames,,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK5002,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK4002,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK3002,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK2002,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK1002,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK4002,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK3002,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK2002,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK1002,,,,,,,,,,,,,,
Bay Completion / Inspection checklist,checklist,,,,,,Bay Completion Inspection,,,,,,,,,,,,,,,
,step,,,,,Bay A3,,,,,,,,,,,,,,,,
,step,,,,,,Panels,,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-4003,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-3003,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-2003,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-1003,,,,,,,,,,,,,,
,step,,,,,,Frames,,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK5003,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK4003,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK3003,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK2003,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK1003,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK4003,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK3003,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK2003,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK1003,,,,,,,,,,,,,,
Bay Completion / Inspection checklist,checklist,,,,,,Bay Completion Inspection,,,,,,,,,,,,,,,
,step,,,,,Bay A4,,,,,,,,,,,,,,,,
,step,,,,,,Panels,,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-4004,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-3004,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-2004,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-1004,,,,,,,,,,,,,,
,step,,,,,,Frames,,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK5004,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK4004,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK3004,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK2004,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK1004,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK4004,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK3004,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK2004,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK1004,,,,,,,,,,,,,,
Bay Completion / Inspection checklist,checklist,,,,,,Bay Completion Inspection,,,,,,,,,,,,,,,
,step,,,,,Bay A5,,,,,,,,,,,,,,,,
,step,,,,,,Panels,,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-4005,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-3005,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-2005,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-1005,,,,,,,,,,,,,,
,step,,,,,,Frames,,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK5005,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK4005,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK3005,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK2005,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK1005,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK4005,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK3005,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK2005,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK1005,,,,,,,,,,,,,,
Bay Completion / Inspection checklist,checklist,,,,,,Bay Completion Inspection,,,,,,,,,,,,,,,
,step,,,,,Bay A6,,,,,,,,,,,,,,,,
,step,,,,,,Panels,,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-4006,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-3006,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-2006,,,,,,,,,,,,,,
,step,,,,,,Frames,,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK5006,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK4006,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK3006,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK2006,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK4006,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK3006,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK2006,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK1006,,,,,,,,,,,,,,
Bay Completion / Inspection checklist,checklist,,,,,,Bay Completion Inspection,,,,,,,,,,,,,,,
,step,,,,,Bay A7,,,,,,,,,,,,,,,,
,step,,,,,,Panels,,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-4007,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-3007,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-2007,,,,,,,,,,,,,,
,step,,,,,,Frames,,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK5007,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK4007,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK3007,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK2007,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK4007,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK3007,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK2007,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-SK1007,,,,,,,,,,,,,,
Bay Completion / Inspection checklist,checklist,,,,,,Bay Completion Inspection,,,,,,,,,,,,,,,
,step,,,,,Bay A8,,,,,,,,,,,,,,,,
,step,,,,,,Panels,,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-4008,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-3008,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-2008,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-1008,,,,,,,,,,,,,,
,step,,,,,,Frames,,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK5008,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK4008,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK3008,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK2008,,,,,,,,,,,,,,
Panel/Frame Completion checklist,checklist,,,,,,,NFHE-A-HK1008,,,,,,,,,,,,,,
